time,subject,fuzzer,run,cov_type,cov
1619764711,dcmtk,aflnet,1,l_per,12.5
1619764711,dcmtk,aflnet,1,l_abs,4020
1619764711,dcmtk,aflnet,1,b_per,5.0
1619764711,dcmtk,aflnet,1,b_abs,2425
1619764713,dcmtk,aflnet,1,l_per,12.5
1619764713,dcmtk,aflnet,1,l_abs,4035
1619764713,dcmtk,aflnet,1,b_per,5.0
1619764713,dcmtk,aflnet,1,b_abs,2438
1619764714,dcmtk,aflnet,1,l_per,12.8
1619764714,dcmtk,aflnet,1,l_abs,4134
1619764714,dcmtk,aflnet,1,b_per,5.2
1619764714,dcmtk,aflnet,1,b_abs,2503
1619764716,dcmtk,aflnet,1,l_per,12.8
1619764716,dcmtk,aflnet,1,l_abs,4134
1619764716,dcmtk,aflnet,1,b_per,5.2
1619764716,dcmtk,aflnet,1,b_abs,2503
1619764720,dcmtk,aflnet,1,l_per,12.9
1619764720,dcmtk,aflnet,1,l_abs,4164
1619764720,dcmtk,aflnet,1,b_per,5.3
1619764720,dcmtk,aflnet,1,b_abs,2554
1619764721,dcmtk,aflnet,1,l_per,12.9
1619764721,dcmtk,aflnet,1,l_abs,4166
1619764721,dcmtk,aflnet,1,b_per,5.3
1619764721,dcmtk,aflnet,1,b_abs,2566
1619764723,dcmtk,aflnet,1,l_per,13.0
1619764723,dcmtk,aflnet,1,l_abs,4202
1619764723,dcmtk,aflnet,1,b_per,5.4
1619764723,dcmtk,aflnet,1,b_abs,2594
1619764725,dcmtk,aflnet,1,l_per,13.1
1619764725,dcmtk,aflnet,1,l_abs,4231
1619764725,dcmtk,aflnet,1,b_per,5.4
1619764725,dcmtk,aflnet,1,b_abs,2621
1619764726,dcmtk,aflnet,1,l_per,13.3
1619764726,dcmtk,aflnet,1,l_abs,4288
1619764726,dcmtk,aflnet,1,b_per,5.5
1619764726,dcmtk,aflnet,1,b_abs,2669
1619764728,dcmtk,aflnet,1,l_per,13.3
1619764728,dcmtk,aflnet,1,l_abs,4299
1619764728,dcmtk,aflnet,1,b_per,5.5
1619764728,dcmtk,aflnet,1,b_abs,2684
1619764730,dcmtk,aflnet,1,l_per,13.4
1619764730,dcmtk,aflnet,1,l_abs,4306
1619764730,dcmtk,aflnet,1,b_per,5.6
1619764730,dcmtk,aflnet,1,b_abs,2695
1619764732,dcmtk,aflnet,1,l_per,13.4
1619764732,dcmtk,aflnet,1,l_abs,4307
1619764732,dcmtk,aflnet,1,b_per,5.6
1619764732,dcmtk,aflnet,1,b_abs,2699
1619764735,dcmtk,aflnet,1,l_per,13.4
1619764735,dcmtk,aflnet,1,l_abs,4308
1619764735,dcmtk,aflnet,1,b_per,5.6
1619764735,dcmtk,aflnet,1,b_abs,2704
1619764738,dcmtk,aflnet,1,l_per,13.4
1619764738,dcmtk,aflnet,1,l_abs,4313
1619764738,dcmtk,aflnet,1,b_per,5.6
1619764738,dcmtk,aflnet,1,b_abs,2711
1619764740,dcmtk,aflnet,1,l_per,13.4
1619764740,dcmtk,aflnet,1,l_abs,4314
1619764740,dcmtk,aflnet,1,b_per,5.6
1619764740,dcmtk,aflnet,1,b_abs,2718
1619764743,dcmtk,aflnet,1,l_per,13.4
1619764743,dcmtk,aflnet,1,l_abs,4319
1619764743,dcmtk,aflnet,1,b_per,5.7
1619764743,dcmtk,aflnet,1,b_abs,2741
1619764752,dcmtk,aflnet,1,l_per,13.4
1619764752,dcmtk,aflnet,1,l_abs,4319
1619764752,dcmtk,aflnet,1,b_per,5.7
1619764752,dcmtk,aflnet,1,b_abs,2744
1619764757,dcmtk,aflnet,1,l_per,13.5
1619764757,dcmtk,aflnet,1,l_abs,4354
1619764757,dcmtk,aflnet,1,b_per,5.7
1619764757,dcmtk,aflnet,1,b_abs,2771
1619764762,dcmtk,aflnet,1,l_per,13.5
1619764762,dcmtk,aflnet,1,l_abs,4357
1619764762,dcmtk,aflnet,1,b_per,5.8
1619764762,dcmtk,aflnet,1,b_abs,2796
1619764768,dcmtk,aflnet,1,l_per,13.5
1619764768,dcmtk,aflnet,1,l_abs,4357
1619764768,dcmtk,aflnet,1,b_per,5.8
1619764768,dcmtk,aflnet,1,b_abs,2796
1619764773,dcmtk,aflnet,1,l_per,13.6
1619764773,dcmtk,aflnet,1,l_abs,4370
1619764773,dcmtk,aflnet,1,b_per,5.8
1619764773,dcmtk,aflnet,1,b_abs,2800
1619764785,dcmtk,aflnet,1,l_per,13.6
1619764785,dcmtk,aflnet,1,l_abs,4371
1619764785,dcmtk,aflnet,1,b_per,5.8
1619764785,dcmtk,aflnet,1,b_abs,2813
1619764802,dcmtk,aflnet,1,l_per,13.6
1619764802,dcmtk,aflnet,1,l_abs,4373
1619764802,dcmtk,aflnet,1,b_per,5.8
1619764802,dcmtk,aflnet,1,b_abs,2815
1619764806,dcmtk,aflnet,1,l_per,13.6
1619764806,dcmtk,aflnet,1,l_abs,4373
1619764806,dcmtk,aflnet,1,b_per,5.8
1619764806,dcmtk,aflnet,1,b_abs,2818
1619764821,dcmtk,aflnet,1,l_per,13.6
1619764821,dcmtk,aflnet,1,l_abs,4373
1619764821,dcmtk,aflnet,1,b_per,5.8
1619764821,dcmtk,aflnet,1,b_abs,2818
1619764838,dcmtk,aflnet,1,l_per,13.6
1619764838,dcmtk,aflnet,1,l_abs,4373
1619764838,dcmtk,aflnet,1,b_per,5.8
1619764838,dcmtk,aflnet,1,b_abs,2818
1619764888,dcmtk,aflnet,1,l_per,13.6
1619764888,dcmtk,aflnet,1,l_abs,4377
1619764888,dcmtk,aflnet,1,b_per,5.8
1619764888,dcmtk,aflnet,1,b_abs,2821
1619764956,dcmtk,aflnet,1,l_per,13.7
1619764956,dcmtk,aflnet,1,l_abs,4415
1619764956,dcmtk,aflnet,1,b_per,5.9
1619764956,dcmtk,aflnet,1,b_abs,2838
1619764983,dcmtk,aflnet,1,l_per,13.7
1619764983,dcmtk,aflnet,1,l_abs,4419
1619764983,dcmtk,aflnet,1,b_per,5.9
1619764983,dcmtk,aflnet,1,b_abs,2843
1619765004,dcmtk,aflnet,1,l_per,13.7
1619765004,dcmtk,aflnet,1,l_abs,4419
1619765004,dcmtk,aflnet,1,b_per,5.9
1619765004,dcmtk,aflnet,1,b_abs,2844
1619765007,dcmtk,aflnet,1,l_per,13.7
1619765007,dcmtk,aflnet,1,l_abs,4421
1619765007,dcmtk,aflnet,1,b_per,5.9
1619765007,dcmtk,aflnet,1,b_abs,2852
1619765015,dcmtk,aflnet,1,l_per,13.7
1619765015,dcmtk,aflnet,1,l_abs,4422
1619765015,dcmtk,aflnet,1,b_per,5.9
1619765015,dcmtk,aflnet,1,b_abs,2855
1619765090,dcmtk,aflnet,1,l_per,13.7
