subject,fuzzer,run,execs
bftpd,aflnet,0,3.47
bftpd,aflnet,1,3.36
bftpd,aflnet,2,7.29
bftpd,aflnet,3,2.66
bftpd,aflnet,4,7.47
bftpd,aflnet,5,2.32
bftpd,aflnet,6,4.53
bftpd,aflnet,7,4.23
bftpd,aflnet,8,2.12
bftpd,aflnet,9,4.25
bftpd,aflnet-no-state,0,3.04
bftpd,aflnet-no-state,1,2.97
bftpd,aflnet-no-state,2,4.17
bftpd,aflnet-no-state,3,3.46
bftpd,aflnet-no-state,4,1.66
bftpd,aflnet-no-state,5,3.45
bftpd,aflnet-no-state,6,1.77
bftpd,aflnet-no-state,7,4.68
bftpd,aflnet-no-state,8,2.40
bftpd,aflnet-no-state,9,3.45
bftpd,aflnwe,0,5.61
bftpd,aflnwe,1,4.70
bftpd,aflnwe,2,3.98
bftpd,aflnwe,3,3.56
bftpd,aflnwe,4,0.20
bftpd,aflnwe,5,3.52
bftpd,aflnwe,6,3.08
bftpd,aflnwe,7,5.90
bftpd,aflnwe,8,1.04
bftpd,aflnwe,9,3.26
bftpd,nyx,0,659.508539112
bftpd,nyx,1,627.557513524
bftpd,nyx,2,673.415977205
bftpd,nyx,3,706.478854812
bftpd,nyx,4,689.126767269
bftpd,nyx,5,688.598403111
bftpd,nyx,6,647.244821692
bftpd,nyx,7,692.741104785
bftpd,nyx,8,733.273761313
bftpd,nyx,9,585.485312215
bftpd,nyx-balanced,0,1014.63913753
bftpd,nyx-balanced,1,1099.43592003
bftpd,nyx-balanced,2,1071.13728897
bftpd,nyx-balanced,3,924.058963813
bftpd,nyx-balanced,4,1080.88477876
bftpd,nyx-balanced,5,1008.71589806
bftpd,nyx-balanced,6,1022.64239967
bftpd,nyx-balanced,7,1071.41048143
bftpd,nyx-balanced,8,983.212453918
bftpd,nyx-balanced,9,995.666037859
bftpd,nyx-aggressive,0,1443.18965399
bftpd,nyx-aggressive,1,1240.70175532
bftpd,nyx-aggressive,2,1124.07600083
bftpd,nyx-aggressive,3,1207.54167288
bftpd,nyx-aggressive,4,1214.38440798
bftpd,nyx-aggressive,5,1348.42146592
bftpd,nyx-aggressive,6,1264.77161799
bftpd,nyx-aggressive,7,1250.23232135
bftpd,nyx-aggressive,8,1214.53406853
bftpd,nyx-aggressive,9,1192.8890056
