subject,fuzzer,run,execs
dcmtk,aflnet,0,35.51
dcmtk,aflnet,1,31.22
dcmtk,aflnet,2,35.47
dcmtk,aflnet,3,30.92
dcmtk,aflnet,4,36.20
dcmtk,aflnet,5,36.26
dcmtk,aflnet,6,36.02
dcmtk,aflnet,7,31.52
dcmtk,aflnet,8,33.05
dcmtk,aflnet,9,32.20
dcmtk,aflnet-no-state,0,35.25
dcmtk,aflnet-no-state,1,35.61
dcmtk,aflnet-no-state,2,36.00
dcmtk,aflnet-no-state,3,34.05
dcmtk,aflnet-no-state,4,38.39
dcmtk,aflnet-no-state,5,31.69
dcmtk,aflnet-no-state,6,31.09
dcmtk,aflnet-no-state,7,27.59
dcmtk,aflnet-no-state,8,34.99
dcmtk,aflnet-no-state,9,36.77
dcmtk,aflnwe,0,36.93
dcmtk,aflnwe,1,36.93
dcmtk,aflnwe,2,37.73
dcmtk,aflnwe,3,39.46
dcmtk,aflnwe,4,39.01
dcmtk,aflnwe,5,39.49
dcmtk,aflnwe,6,39.31
dcmtk,aflnwe,7,38.54
dcmtk,aflnwe,8,37.81
dcmtk,aflnwe,9,38.93
dcmtk,nyx,0,1789.6781261
dcmtk,nyx,1,1580.34587024
dcmtk,nyx,2,1776.8430828
dcmtk,nyx,3,1742.12167823
dcmtk,nyx,4,1700.17199747
dcmtk,nyx,5,1996.87781104
dcmtk,nyx,6,1726.69229806
dcmtk,nyx,7,1639.56230552
dcmtk,nyx,8,1540.63453291
dcmtk,nyx,9,1674.39253498
dcmtk,nyx-balanced,0,1865.67400607
dcmtk,nyx-balanced,1,1703.22609388
dcmtk,nyx-balanced,2,1786.27681657
dcmtk,nyx-balanced,3,1863.81467163
dcmtk,nyx-balanced,4,1057.9749755
dcmtk,nyx-balanced,5,1582.3353375
dcmtk,nyx-balanced,6,1846.79124225
dcmtk,nyx-balanced,7,1705.2435015
dcmtk,nyx-balanced,8,1808.09223102
dcmtk,nyx-balanced,9,1519.62724579
dcmtk,nyx-aggressive,0,1714.41679388
dcmtk,nyx-aggressive,1,1891.01129734
dcmtk,nyx-aggressive,2,1909.8830386
dcmtk,nyx-aggressive,3,1814.51428938
dcmtk,nyx-aggressive,4,1912.38818603
dcmtk,nyx-aggressive,5,1692.91246981
dcmtk,nyx-aggressive,6,1704.76288565
dcmtk,nyx-aggressive,7,1780.29717495
dcmtk,nyx-aggressive,8,1757.79678256
dcmtk,nyx-aggressive,9,1647.2835594
