subject,fuzzer,run,execs
dnsmasq,aflnet,0,4.46
dnsmasq,aflnet,1,0.51
dnsmasq,aflnet,2,3.96
dnsmasq,aflnet,3,3.78
dnsmasq,aflnet,4,4.13
dnsmasq,aflnet,5,0.00
dnsmasq,aflnet,6,4.31
dnsmasq,aflnet,7,3.71
dnsmasq,aflnet,8,4.14
dnsmasq,aflnet,9,4.22
dnsmasq,aflnet-no-state,0,4.08
dnsmasq,aflnet-no-state,1,4.02
dnsmasq,aflnet-no-state,2,4.00
dnsmasq,aflnet-no-state,3,3.59
dnsmasq,aflnet-no-state,4,4.12
dnsmasq,aflnet-no-state,5,4.01
dnsmasq,aflnet-no-state,6,3.91
dnsmasq,aflnet-no-state,7,0.36
dnsmasq,aflnet-no-state,8,3.93
dnsmasq,aflnet-no-state,9,4.26
dnsmasq,aflnwe,0,0.28
dnsmasq,aflnwe,1,0.27
dnsmasq,aflnwe,2,0.36
dnsmasq,aflnwe,3,0.51
dnsmasq,aflnwe,4,4.49
dnsmasq,aflnwe,5,0.24
dnsmasq,aflnwe,6,4.45
dnsmasq,aflnwe,7,0.51
dnsmasq,aflnwe,8,4.46
dnsmasq,aflnwe,9,0.35
dnsmasq,aflpp,0,4.54
dnsmasq,aflpp,1,4.51
dnsmasq,aflpp,2,4.42
dnsmasq,aflpp,3,4.45
dnsmasq,aflpp,4,4.53
dnsmasq,aflpp,5,4.54
dnsmasq,aflpp,6,4.47
dnsmasq,aflpp,7,4.56
dnsmasq,aflpp,8,4.52
dnsmasq,aflpp,9,4.52
dnsmasq,nyx,0,2586.48454331
dnsmasq,nyx,1,2553.83572332
dnsmasq,nyx,2,2853.56811892
dnsmasq,nyx,3,2774.41711991
dnsmasq,nyx,4,2671.50275153
dnsmasq,nyx,5,2971.16869434
dnsmasq,nyx,6,2841.62969129
dnsmasq,nyx,7,2627.64591021
dnsmasq,nyx,8,2502.0826495
dnsmasq,nyx,9,2944.50037643
dnsmasq,nyx-balanced,0,2550.83271176
dnsmasq,nyx-balanced,1,2784.26700994
dnsmasq,nyx-balanced,2,2668.71997762
dnsmasq,nyx-balanced,3,2487.90915204
dnsmasq,nyx-balanced,4,2742.47721248
dnsmasq,nyx-balanced,5,2475.92890338
dnsmasq,nyx-balanced,6,2564.79824525
dnsmasq,nyx-balanced,7,2544.02940454
dnsmasq,nyx-balanced,8,2336.87805384
dnsmasq,nyx-balanced,9,2676.66317203
dnsmasq,nyx-aggressive,0,2535.60593487
dnsmasq,nyx-aggressive,1,2708.8753805
dnsmasq,nyx-aggressive,2,2792.83700932
dnsmasq,nyx-aggressive,3,2500.64761527
dnsmasq,nyx-aggressive,4,2810.52580116
dnsmasq,nyx-aggressive,5,2908.10130053
dnsmasq,nyx-aggressive,6,2820.50046396
dnsmasq,nyx-aggressive,7,2850.46264134
dnsmasq,nyx-aggressive,8,2892.5896492
dnsmasq,nyx-aggressive,9,2670.76059641
