subject,fuzzer,run,execs
forked-daapd,aflnet,0,0.44
forked-daapd,aflnet,1,0.43
forked-daapd,aflnet,2,0.44
forked-daapd,aflnet,3,0.41
forked-daapd,aflnet,4,0.44
forked-daapd,aflnet,5,0.44
forked-daapd,aflnet,6,0.44
forked-daapd,aflnet,7,0.45
forked-daapd,aflnet,8,0.45
forked-daapd,aflnet,9,0.45
forked-daapd,aflnet-no-state,0,0.44
forked-daapd,aflnet-no-state,1,0.44
forked-daapd,aflnet-no-state,2,0.44
forked-daapd,aflnet-no-state,3,0.44
forked-daapd,aflnet-no-state,4,0.44
forked-daapd,aflnet-no-state,5,0.44
forked-daapd,aflnet-no-state,6,0.44
forked-daapd,aflnet-no-state,7,0.37
forked-daapd,aflnet-no-state,8,0.31
forked-daapd,aflnet-no-state,9,0.44
forked-daapd,aflnwe,0,0.45
forked-daapd,aflnwe,1,0.45
forked-daapd,aflnwe,2,0.45
forked-daapd,aflnwe,3,0.45
forked-daapd,aflnwe,4,0.45
forked-daapd,aflnwe,5,0.45
forked-daapd,aflnwe,6,0.45
forked-daapd,aflnwe,7,0.45
forked-daapd,aflnwe,8,0.45
forked-daapd,aflnwe,9,0.45
forked-daapd,aflpp,0,1.19
forked-daapd,aflpp,1,1.31
forked-daapd,aflpp,2,1.22
forked-daapd,aflpp,3,1.21
forked-daapd,aflpp,4,1.20
forked-daapd,aflpp,5,1.19
forked-daapd,aflpp,6,1.26
forked-daapd,aflpp,7,1.22
forked-daapd,aflpp,8,1.20
forked-daapd,aflpp,9,1.19
forked-daapd,nyx,0,14.8565264278
forked-daapd,nyx,1,12.7278395785
forked-daapd,nyx,2,10.5084096231
forked-daapd,nyx,3,12.4460413657
forked-daapd,nyx,4,12.6593563567
forked-daapd,nyx,5,10.7887242497
forked-daapd,nyx,6,16.8607743034
forked-daapd,nyx,7,15.7803593616
forked-daapd,nyx,8,8.84074501246
forked-daapd,nyx,9,14.463403528
forked-daapd,nyx-balanced,0,12.947908289
forked-daapd,nyx-balanced,1,11.4537446271
forked-daapd,nyx-balanced,2,14.187187101
forked-daapd,nyx-balanced,3,15.500147406
forked-daapd,nyx-balanced,4,14.7502808102
forked-daapd,nyx-balanced,5,12.8534554107
forked-daapd,nyx-balanced,6,13.1759473496
forked-daapd,nyx-balanced,7,14.6628382468
forked-daapd,nyx-balanced,8,10.2169235584
forked-daapd,nyx-balanced,9,14.8328038897
forked-daapd,nyx-aggressive,0,15.5948761635
forked-daapd,nyx-aggressive,1,16.487691521
forked-daapd,nyx-aggressive,2,15.0093628801
forked-daapd,nyx-aggressive,3,15.3077804609
forked-daapd,nyx-aggressive,4,11.9088489794
forked-daapd,nyx-aggressive,5,12.9210074021
forked-daapd,nyx-aggressive,6,9.96298508694
forked-daapd,nyx-aggressive,7,11.1596213546
forked-daapd,nyx-aggressive,8,12.6356697534
forked-daapd,nyx-aggressive,9,14.9137029653
