subject,fuzzer,run,execs
live555,aflnet,0,7.38
live555,aflnet,1,7.34
live555,aflnet,2,6.27
live555,aflnet,3,11.01
live555,aflnet,4,6.72
live555,aflnet,5,6.43
live555,aflnet,6,5.41
live555,aflnet,7,7.65
live555,aflnet,8,13.41
live555,aflnet,9,5.39
live555,aflnet-no-state,0,6.95
live555,aflnet-no-state,1,6.76
live555,aflnet-no-state,2,7.98
live555,aflnet-no-state,3,8.14
live555,aflnet-no-state,4,9.27
live555,aflnet-no-state,5,8.38
live555,aflnet-no-state,6,7.69
live555,aflnet-no-state,7,8.58
live555,aflnet-no-state,8,11.27
live555,aflnet-no-state,9,13.08
live555,aflnwe,0,27.19
live555,aflnwe,1,29.75
live555,aflnwe,2,28.80
live555,aflnwe,3,29.16
live555,aflnwe,4,28.88
live555,aflnwe,5,27.68
live555,aflnwe,6,29.57
live555,aflnwe,7,28.66
live555,aflnwe,8,28.24
live555,aflnwe,9,0.83
live555,nyx,0,63.9035255721
live555,nyx,1,55.7807437653
live555,nyx,2,61.9290730962
live555,nyx,3,57.2565526163
live555,nyx,4,72.1030271072
live555,nyx,5,70.2722528846
live555,nyx,6,61.2203264022
live555,nyx,7,58.985266111
live555,nyx,8,69.9522318919
live555,nyx,9,59.309975398
live555,nyx-balanced,0,93.5724278125
live555,nyx-balanced,1,102.189368051
live555,nyx-balanced,2,75.5692295118
live555,nyx-balanced,3,76.8480112574
live555,nyx-balanced,4,82.8762258228
live555,nyx-balanced,5,71.0118604328
live555,nyx-balanced,6,74.311858951
live555,nyx-balanced,7,82.2677747801
live555,nyx-balanced,8,102.914635395
live555,nyx-balanced,9,80.3465209449
live555,nyx-aggressive,0,95.053208243
live555,nyx-aggressive,1,105.951942133
live555,nyx-aggressive,2,104.332399761
live555,nyx-aggressive,3,116.22686225
live555,nyx-aggressive,4,106.719562133
live555,nyx-aggressive,5,117.027804427
live555,nyx-aggressive,6,104.020790269
live555,nyx-aggressive,7,109.682223553
live555,nyx-aggressive,8,100.572437905
live555,nyx-aggressive,9,94.1723766655
