subject,fuzzer,run,execs
openssl,aflnet,0,0.22
openssl,aflnet,1,0.27
openssl,aflnet,2,0.58
openssl,aflnet,3,0.20
openssl,aflnet,4,0.35
openssl,aflnet,5,0.35
openssl,aflnet,6,0.29
openssl,aflnet,7,0.53
openssl,aflnet,8,0.16
openssl,aflnet,9,0.52
openssl,aflnet-no-state,0,0.27
openssl,aflnet-no-state,1,0.42
openssl,aflnet-no-state,2,0.27
openssl,aflnet-no-state,3,0.66
openssl,aflnet-no-state,4,0.27
openssl,aflnet-no-state,5,0.22
openssl,aflnet-no-state,6,0.35
openssl,aflnet-no-state,7,0.18
openssl,aflnet-no-state,8,0.00
openssl,aflnet-no-state,9,5.22
openssl,aflnwe,0,15.62
openssl,aflnwe,1,15.74
openssl,aflnwe,2,15.71
openssl,aflnwe,3,15.77
openssl,aflnwe,4,16.20
openssl,aflnwe,5,16.20
openssl,aflnwe,6,16.31
openssl,aflnwe,7,16.27
openssl,aflnwe,8,16.12
openssl,aflnwe,9,15.61
openssl,aflpp,0,16.03
openssl,aflpp,1,16.93
openssl,aflpp,2,16.81
openssl,aflpp,3,17.55
openssl,aflpp,4,17.38
openssl,aflpp,5,17.14
openssl,aflpp,6,16.08
openssl,aflpp,7,16.08
openssl,aflpp,8,16.57
openssl,aflpp,9,17.17
openssl,nyx,0,464.624726713
openssl,nyx,1,440.725252236
openssl,nyx,2,450.096725573
openssl,nyx,3,483.863644477
openssl,nyx,4,444.878039211
openssl,nyx,5,431.038538868
openssl,nyx,6,461.470538944
openssl,nyx,7,446.987302432
openssl,nyx,8,463.909515243
openssl,nyx,9,452.084283355
openssl,nyx-balanced,0,495.718830293
openssl,nyx-balanced,1,433.143972397
openssl,nyx-balanced,2,449.893019029
openssl,nyx-balanced,3,490.641019938
openssl,nyx-balanced,4,459.000769823
openssl,nyx-balanced,5,485.33307826
openssl,nyx-balanced,6,488.338178126
openssl,nyx-balanced,7,465.297892256
openssl,nyx-balanced,8,457.674236324
openssl,nyx-balanced,9,446.411774387
openssl,nyx-aggressive,0,472.408820121
openssl,nyx-aggressive,1,466.644313029
openssl,nyx-aggressive,2,426.939555994
openssl,nyx-aggressive,3,484.786249009
openssl,nyx-aggressive,4,457.569531859
openssl,nyx-aggressive,5,450.843490632
openssl,nyx-aggressive,6,479.530080944
openssl,nyx-aggressive,7,454.941068989
openssl,nyx-aggressive,8,475.231869913
openssl,nyx-aggressive,9,454.278681488
