subject,fuzzer,run,execs
proftpd,aflnet,0,1.50
proftpd,aflnet,1,1.66
proftpd,aflnet,2,3.93
proftpd,aflnet,3,4.60
proftpd,aflnet,4,2.19
proftpd,aflnet,5,2.20
proftpd,aflnet,6,4.03
proftpd,aflnet,7,1.77
proftpd,aflnet,8,3.43
proftpd,aflnet,9,1.08
proftpd,aflnet-no-state,0,1.49
proftpd,aflnet-no-state,1,1.05
proftpd,aflnet-no-state,2,1.75
proftpd,aflnet-no-state,3,2.94
proftpd,aflnet-no-state,4,3.28
proftpd,aflnet-no-state,5,1.25
proftpd,aflnet-no-state,6,1.42
proftpd,aflnet-no-state,7,1.36
proftpd,aflnet-no-state,8,1.36
proftpd,aflnet-no-state,9,1.46
proftpd,aflnwe,0,3.43
proftpd,aflnwe,1,4.53
proftpd,aflnwe,2,2.38
proftpd,aflnwe,3,1.71
proftpd,aflnwe,4,2.95
proftpd,aflnwe,5,1.72
proftpd,aflnwe,6,2.02
proftpd,aflnwe,7,3.26
proftpd,aflnwe,8,2.80
proftpd,aflnwe,9,4.23
proftpd,nyx,0,369.148388605
proftpd,nyx,1,243.095054902
proftpd,nyx,2,337.127881716
proftpd,nyx,3,320.836989922
proftpd,nyx,4,343.930910067
proftpd,nyx,5,307.216700992
proftpd,nyx,6,353.578117004
proftpd,nyx,7,351.217006265
proftpd,nyx,8,331.506834238
proftpd,nyx,9,369.29116208
proftpd,nyx-balanced,0,357.574260467
proftpd,nyx-balanced,1,429.998222141
proftpd,nyx-balanced,2,580.6207549
proftpd,nyx-balanced,3,465.773234161
proftpd,nyx-balanced,4,350.87805924
proftpd,nyx-balanced,5,467.279367119
proftpd,nyx-balanced,6,383.196800195
proftpd,nyx-balanced,7,483.853147625
proftpd,nyx-balanced,8,510.832734399
proftpd,nyx-balanced,9,498.531074089
proftpd,nyx-aggressive,0,315.861788365
proftpd,nyx-aggressive,1,725.75710686
proftpd,nyx-aggressive,2,624.302500233
proftpd,nyx-aggressive,3,435.833538916
proftpd,nyx-aggressive,4,613.408929372
proftpd,nyx-aggressive,5,677.209423984
proftpd,nyx-aggressive,6,512.676827454
proftpd,nyx-aggressive,7,265.741106916
proftpd,nyx-aggressive,8,532.553020129
proftpd,nyx-aggressive,9,478.027724556
