subject,fuzzer,run,execs
exim,aflnet,0,2.11
exim,aflnet,1,3.60
exim,aflnet,2,2.26
exim,aflnet,3,5.60
exim,aflnet,4,9.71
exim,aflnet,5,6.11
exim,aflnet,6,4.03
exim,aflnet,7,5.29
exim,aflnet,8,5.53
exim,aflnet,9,3.96
exim,aflnet-no-state,0,2.00
exim,aflnet-no-state,1,5.43
exim,aflnet-no-state,2,4.27
exim,aflnet-no-state,3,2.19
exim,aflnet-no-state,4,7.14
exim,aflnet-no-state,5,3.69
exim,aflnet-no-state,6,2.00
exim,aflnet-no-state,7,9.77
exim,aflnet-no-state,8,2.94
exim,aflnet-no-state,9,4.87
exim,aflnwe,0,30.32
exim,aflnwe,1,22.88
exim,aflnwe,2,19.44
exim,aflnwe,3,0.89
exim,aflnwe,4,15.45
exim,aflnwe,5,14.41
exim,aflnwe,6,25.56
exim,aflnwe,7,17.70
exim,aflnwe,8,15.29
exim,aflnwe,9,15.94
exim,aflpp,0,68.93
exim,aflpp,1,69.11
exim,aflpp,2,69.53
exim,aflpp,3,69.44
exim,aflpp,4,69.43
exim,aflpp,5,69.02
exim,aflpp,6,69.29
exim,aflpp,7,69.28
exim,aflpp,8,69.50
exim,aflpp,9,69.62
exim,nyx,0,399.783423111
exim,nyx,1,199.344616798
exim,nyx,2,323.274652509
exim,nyx,3,219.511812761
exim,nyx,4,453.232477999
exim,nyx,5,147.724721653
exim,nyx,6,215.794289264
exim,nyx,7,322.111790315
exim,nyx,8,502.089303125
exim,nyx,9,346.136081149
exim,nyx-balanced,0,454.241747912
exim,nyx-balanced,1,239.557642909
exim,nyx-balanced,2,324.612655234
exim,nyx-balanced,3,382.00468511
exim,nyx-balanced,4,196.283415809
exim,nyx-balanced,5,141.624341541
exim,nyx-balanced,6,322.159737837
exim,nyx-balanced,7,322.91089533
exim,nyx-balanced,8,368.051701316
exim,nyx-balanced,9,327.871712278
exim,nyx-aggressive,0,359.467542999
exim,nyx-aggressive,1,364.638901886
exim,nyx-aggressive,2,430.654295821
exim,nyx-aggressive,3,269.143152325
exim,nyx-aggressive,4,223.037393758
exim,nyx-aggressive,5,266.187506348
exim,nyx-aggressive,6,234.273529156
exim,nyx-aggressive,7,382.622908786
exim,nyx-aggressive,8,250.470870336
exim,nyx-aggressive,9,218.773261016
