subject,fuzzer,run,execs
kamailio,aflnet,0,3.72
kamailio,aflnet,1,4.64
kamailio,aflnet,2,4.63
kamailio,aflnet,3,4.05
kamailio,aflnet,4,4.11
kamailio,aflnet,5,3.58
kamailio,aflnet,6,4.21
kamailio,aflnet,7,3.75
kamailio,aflnet,8,3.96
kamailio,aflnet,9,4.00
kamailio,aflnet-no-state,0,4.50
kamailio,aflnet-no-state,1,4.27
kamailio,aflnet-no-state,2,4.50
kamailio,aflnet-no-state,3,4.10
kamailio,aflnet-no-state,4,4.02
kamailio,aflnet-no-state,5,4.15
kamailio,aflnet-no-state,6,4.20
kamailio,aflnet-no-state,7,4.06
kamailio,aflnet-no-state,8,4.37
kamailio,aflnet-no-state,9,4.46
kamailio,aflnwe,0,4.93
kamailio,aflnwe,1,4.88
kamailio,aflnwe,2,4.85
kamailio,aflnwe,3,4.86
kamailio,aflnwe,4,4.92
kamailio,aflnwe,5,4.92
kamailio,aflnwe,6,4.91
kamailio,aflnwe,7,4.93
kamailio,aflnwe,8,4.95
kamailio,aflnwe,9,4.96
kamailio,nyx,0,273.07200481
kamailio,nyx,1,249.690273151
kamailio,nyx,2,271.978782018
kamailio,nyx,3,286.322916546
kamailio,nyx,4,295.730564471
kamailio,nyx,5,247.128778465
kamailio,nyx,6,279.139810181
kamailio,nyx,7,266.012226358
kamailio,nyx,8,268.556839158
kamailio,nyx,9,310.426557373
kamailio,nyx-balanced,0,328.218044744
kamailio,nyx-balanced,1,354.828203921
kamailio,nyx-balanced,2,379.869218549
kamailio,nyx-balanced,3,388.398131441
kamailio,nyx-balanced,4,327.270780376
kamailio,nyx-balanced,5,335.87168764
kamailio,nyx-balanced,6,378.90468404
kamailio,nyx-balanced,7,367.045633912
kamailio,nyx-balanced,8,351.553061364
kamailio,nyx-balanced,9,309.504134595
kamailio,nyx-aggressive,0,685.572891872
kamailio,nyx-aggressive,1,543.887285685
kamailio,nyx-aggressive,2,617.265775501
kamailio,nyx-aggressive,3,555.002448528
kamailio,nyx-aggressive,4,620.855374128
kamailio,nyx-aggressive,5,563.956405658
kamailio,nyx-aggressive,6,636.688336327
kamailio,nyx-aggressive,7,679.143339987
kamailio,nyx-aggressive,8,706.476710581
kamailio,nyx-aggressive,9,636.775390804
