subject,fuzzer,run,execs
lightftp,aflnet,0,8.87
lightftp,aflnet,1,6.37
lightftp,aflnet,2,8.54
lightftp,aflnet,3,5.35
lightftp,aflnet,4,4.70
lightftp,aflnet,5,4.81
lightftp,aflnet,6,4.88
lightftp,aflnet,7,5.49
lightftp,aflnet,8,5.92
lightftp,aflnet,9,5.81
lightftp,aflnet-no-state,0,4.73
lightftp,aflnet-no-state,1,4.93
lightftp,aflnet-no-state,2,5.63
lightftp,aflnet-no-state,3,5.82
lightftp,aflnet-no-state,4,7.46
lightftp,aflnet-no-state,5,4.65
lightftp,aflnet-no-state,6,4.79
lightftp,aflnet-no-state,7,6.71
lightftp,aflnet-no-state,8,5.56
lightftp,aflnet-no-state,9,5.68
lightftp,aflnwe,0,15.87
lightftp,aflnwe,1,16.02
lightftp,aflnwe,2,16.06
lightftp,aflnwe,3,0.00
lightftp,aflnwe,4,15.95
lightftp,aflnwe,5,16.00
lightftp,aflnwe,6,16.07
lightftp,aflnwe,7,16.45
lightftp,aflnwe,8,0.86
lightftp,aflnwe,9,16.36
lightftp,aflpp,0,14.48
lightftp,aflpp,1,14.47
lightftp,aflpp,2,14.42
lightftp,aflpp,3,14.31
lightftp,aflpp,4,14.30
lightftp,aflpp,5,14.28
lightftp,aflpp,6,14.30
lightftp,aflpp,7,14.29
lightftp,aflpp,8,14.37
lightftp,aflpp,9,14.50
lightftp,nyx,0,1740.14617467
lightftp,nyx,1,1626.19093326
lightftp,nyx,2,1530.38270681
lightftp,nyx,3,1911.50964306
lightftp,nyx,4,1537.74021901
lightftp,nyx,5,1613.23462456
lightftp,nyx,6,1105.14750233
lightftp,nyx,7,1568.56058496
lightftp,nyx,8,1544.36375601
lightftp,nyx,9,1564.71373684
lightftp,nyx-newspec,0,1635.60457704
lightftp,nyx-newspec,1,1333.37605736
lightftp,nyx-newspec,2,1173.54677983
lightftp,nyx-newspec,3,1405.93303066
lightftp,nyx-newspec,4,2184.77471156
lightftp,nyx-newspec,5,1348.65233194
lightftp,nyx-newspec,6,1594.77542921
lightftp,nyx-newspec,7,1653.22217701
lightftp,nyx-newspec,8,1155.32017696
lightftp,nyx-newspec,9,2086.29040373
lightftp,nyx-balanced,0,1913.63710017
lightftp,nyx-balanced,1,2174.13687913
lightftp,nyx-balanced,2,1209.82684435
lightftp,nyx-balanced,3,1800.22471402
lightftp,nyx-balanced,4,1361.91690884
lightftp,nyx-balanced,5,1669.20744062
lightftp,nyx-balanced,6,2126.03301027
lightftp,nyx-balanced,7,1625.84755033
lightftp,nyx-balanced,8,1801.98792969
lightftp,nyx-balanced,9,1919.80213303
lightftp,nyx-aggressive,0,1845.37576795
lightftp,nyx-aggressive,1,2124.12033897
lightftp,nyx-aggressive,2,2456.73462735
lightftp,nyx-aggressive,3,1653.06289604
lightftp,nyx-aggressive,4,1911.63373786
lightftp,nyx-aggressive,5,1762.42788094
lightftp,nyx-aggressive,6,2021.37711888
lightftp,nyx-aggressive,7,2096.26642475
lightftp,nyx-aggressive,8,2100.6490593
lightftp,nyx-aggressive,9,2437.63475299
