subject,fuzzer,run,execs
openssh,aflnet,0,30.74
openssh,aflnet,1,22.75
openssh,aflnet,2,27.08
openssh,aflnet,3,30.35
openssh,aflnet,4,11.54
openssh,aflnet,5,15.51
openssh,aflnet,6,38.60
openssh,aflnet,7,21.58
openssh,aflnet,8,15.11
openssh,aflnet,9,22.98
openssh,aflnet-no-state,0,0.35
openssh,aflnet-no-state,1,5.04
openssh,aflnet-no-state,2,9.04
openssh,aflnet-no-state,3,10.28
openssh,aflnet-no-state,4,8.52
openssh,aflnet-no-state,5,9.27
openssh,aflnet-no-state,6,11.00
openssh,aflnet-no-state,7,5.28
openssh,aflnet-no-state,8,9.38
openssh,aflnet-no-state,9,13.19
openssh,aflnwe,0,29.24
openssh,aflnwe,1,29.19
openssh,aflnwe,2,27.99
openssh,aflnwe,3,28.52
openssh,aflnwe,4,30.32
openssh,aflnwe,5,31.61
openssh,aflnwe,6,28.80
openssh,aflnwe,7,28.94
openssh,aflnwe,8,29.79
openssh,aflnwe,9,28.79
openssh,aflpp,0,130.71
openssh,aflpp,1,128.88
openssh,aflpp,2,129.75
openssh,aflpp,3,126.21
openssh,aflpp,4,129.96
openssh,aflpp,5,124.45
openssh,aflpp,6,126.19
openssh,aflpp,7,119.43
openssh,aflpp,8,123.29
openssh,aflpp,9,129.70
openssh,nyx,0,133.554297049
openssh,nyx,1,139.464309591
openssh,nyx,2,133.436847526
openssh,nyx,3,132.927242522
openssh,nyx,4,137.613554796
openssh,nyx,5,136.081271831
openssh,nyx,6,137.201393415
openssh,nyx,7,138.473967197
openssh,nyx,8,132.598604476
openssh,nyx,9,142.595294112
openssh,nyx-balanced,0,214.428754665
openssh,nyx-balanced,1,218.765321799
openssh,nyx-balanced,2,209.619107955
openssh,nyx-balanced,3,216.775524195
openssh,nyx-balanced,4,210.363316459
openssh,nyx-balanced,5,215.461891458
openssh,nyx-balanced,6,214.737194484
openssh,nyx-balanced,7,216.315338521
openssh,nyx-balanced,8,219.580004496
openssh,nyx-balanced,9,218.249659682
openssh,nyx-aggressive,0,852.439823773
openssh,nyx-aggressive,1,839.168357698
openssh,nyx-aggressive,2,811.992114889
openssh,nyx-aggressive,3,763.942788468
openssh,nyx-aggressive,4,802.950406573
openssh,nyx-aggressive,5,847.704882982
openssh,nyx-aggressive,6,814.505221483
openssh,nyx-aggressive,7,863.771184661
openssh,nyx-aggressive,8,876.911859714
openssh,nyx-aggressive,9,829.034918715
