subject,fuzzer,run,execs
pure-ftpd,aflnet,0,6.16
pure-ftpd,aflnet,1,4.94
pure-ftpd,aflnet,2,6.23
pure-ftpd,aflnet,3,8.20
pure-ftpd,aflnet,4,7.55
pure-ftpd,aflnet,5,1.27
pure-ftpd,aflnet,6,1.00
pure-ftpd,aflnet,7,9.02
pure-ftpd,aflnet,8,12.60
pure-ftpd,aflnet,9,5.62
pure-ftpd,aflnet-no-state,0,4.29
pure-ftpd,aflnet-no-state,1,7.09
pure-ftpd,aflnet-no-state,2,6.91
pure-ftpd,aflnet-no-state,3,3.67
pure-ftpd,aflnet-no-state,4,5.26
pure-ftpd,aflnet-no-state,5,5.23
pure-ftpd,aflnet-no-state,6,4.91
pure-ftpd,aflnet-no-state,7,6.92
pure-ftpd,aflnet-no-state,8,7.72
pure-ftpd,aflnet-no-state,9,6.10
pure-ftpd,aflnwe,0,4.93
pure-ftpd,aflnwe,1,8.34
pure-ftpd,aflnwe,2,7.24
pure-ftpd,aflnwe,3,1.23
pure-ftpd,aflnwe,4,6.14
pure-ftpd,aflnwe,5,4.35
pure-ftpd,aflnwe,6,3.77
pure-ftpd,aflnwe,7,2.83
pure-ftpd,aflnwe,8,6.96
pure-ftpd,aflnwe,9,6.96
pure-ftpd,nyx,0,668.641530278
pure-ftpd,nyx,1,560.905316909
pure-ftpd,nyx,2,722.447879923
pure-ftpd,nyx,3,667.068373701
pure-ftpd,nyx,4,538.83169691
pure-ftpd,nyx,5,797.117455067
pure-ftpd,nyx,6,596.27860465
pure-ftpd,nyx,7,662.703701958
pure-ftpd,nyx,8,716.274777847
pure-ftpd,nyx,9,829.866077396
pure-ftpd,nyx-newspec,0,849.078582169
pure-ftpd,nyx-newspec,1,759.533560469
pure-ftpd,nyx-newspec,2,950.103212396
pure-ftpd,nyx-newspec,3,846.504210377
pure-ftpd,nyx-newspec,4,818.865103138
pure-ftpd,nyx-newspec,5,787.379869068
pure-ftpd,nyx-newspec,6,870.939677572
pure-ftpd,nyx-newspec,7,905.503128687
pure-ftpd,nyx-newspec,8,820.023097836
pure-ftpd,nyx-newspec,9,889.702479346
pure-ftpd,nyx-balanced,0,1452.02410709
pure-ftpd,nyx-balanced,1,1426.99566365
pure-ftpd,nyx-balanced,2,1399.70027387
pure-ftpd,nyx-balanced,3,1523.53563515
pure-ftpd,nyx-balanced,4,1453.37885178
pure-ftpd,nyx-balanced,5,1478.57954069
pure-ftpd,nyx-balanced,6,1520.10669142
pure-ftpd,nyx-balanced,7,1521.1523056
pure-ftpd,nyx-balanced,8,1386.13078824
pure-ftpd,nyx-balanced,9,1346.84262927
pure-ftpd,nyx-aggressive,0,1860.79316484
pure-ftpd,nyx-aggressive,1,1643.29660222
pure-ftpd,nyx-aggressive,2,1799.42182707
pure-ftpd,nyx-aggressive,3,1954.91275998
pure-ftpd,nyx-aggressive,4,1834.63745756
pure-ftpd,nyx-aggressive,5,1893.03731345
pure-ftpd,nyx-aggressive,6,1655.49280076
pure-ftpd,nyx-aggressive,7,1879.0182675
pure-ftpd,nyx-aggressive,8,1629.81779885
pure-ftpd,nyx-aggressive,9,1910.30042255
