subject,fuzzer,run,execs
tinydtls,aflnet,0,2.27
tinydtls,aflnet,1,2.11
tinydtls,aflnet,2,2.30
tinydtls,aflnet,3,2.09
tinydtls,aflnet,4,1.83
tinydtls,aflnet,5,1.90
tinydtls,aflnet,6,3.56
tinydtls,aflnet,7,1.81
tinydtls,aflnet,8,1.84
tinydtls,aflnet,9,1.84
tinydtls,aflnet-no-state,0,2.31
tinydtls,aflnet-no-state,1,2.06
tinydtls,aflnet-no-state,2,2.05
tinydtls,aflnet-no-state,3,2.08
tinydtls,aflnet-no-state,4,2.13
tinydtls,aflnet-no-state,5,1.91
tinydtls,aflnet-no-state,6,1.96
tinydtls,aflnet-no-state,7,2.04
tinydtls,aflnet-no-state,8,2.49
tinydtls,aflnet-no-state,9,2.62
tinydtls,aflnwe,0,12.44
tinydtls,aflnwe,1,12.35
tinydtls,aflnwe,2,12.37
tinydtls,aflnwe,3,12.61
tinydtls,aflnwe,4,12.71
tinydtls,aflnwe,5,12.56
tinydtls,aflnwe,6,12.96
tinydtls,aflnwe,7,12.56
tinydtls,aflnwe,8,11.94
tinydtls,aflnwe,9,12.47
tinydtls,nyx,0,377.065986774
tinydtls,nyx,1,1464.61963388
tinydtls,nyx,2,876.424346563
tinydtls,nyx,3,533.081114395
tinydtls,nyx,4,1062.87539385
tinydtls,nyx,5,1185.37427241
tinydtls,nyx,6,1451.48390322
tinydtls,nyx,7,852.276797032
tinydtls,nyx,8,1098.67208748
tinydtls,nyx,9,1210.05529409
tinydtls,nyx-balanced,0,1130.18901211
tinydtls,nyx-balanced,1,1118.76476902
tinydtls,nyx-balanced,2,1055.43807828
tinydtls,nyx-balanced,3,564.047880311
tinydtls,nyx-balanced,4,609.006142733
tinydtls,nyx-balanced,5,1340.13281819
tinydtls,nyx-balanced,6,757.691254711
tinydtls,nyx-balanced,7,586.743979255
tinydtls,nyx-balanced,8,1141.01700645
tinydtls,nyx-balanced,9,1120.01558304
tinydtls,nyx-aggressive,0,1398.90360323
tinydtls,nyx-aggressive,1,1364.32819903
tinydtls,nyx-aggressive,2,1579.15054017
tinydtls,nyx-aggressive,3,1073.24953376
tinydtls,nyx-aggressive,4,1117.6556349
tinydtls,nyx-aggressive,5,907.154367579
tinydtls,nyx-aggressive,6,1362.01294641
tinydtls,nyx-aggressive,7,553.904440255
tinydtls,nyx-aggressive,8,1409.18946844
tinydtls,nyx-aggressive,9,1513.98618388
