time,subject,fuzzer,run,cov_type,cov
1622883952,bftpd,aflnet-no-state-no-seeds,1,l_per,16.0
1622883952,bftpd,aflnet-no-state-no-seeds,1,l_abs,359
1622883952,bftpd,aflnet-no-state-no-seeds,1,b_per,9.9
1622883952,bftpd,aflnet-no-state-no-seeds,1,b_abs,134
1622883961,bftpd,aflnet-no-state-no-seeds,1,l_per,16.2
1622883961,bftpd,aflnet-no-state-no-seeds,1,l_abs,362
1622883961,bftpd,aflnet-no-state-no-seeds,1,b_per,10.2
1622883961,bftpd,aflnet-no-state-no-seeds,1,b_abs,138
1622883969,bftpd,aflnet-no-state-no-seeds,1,l_per,16.7
1622883969,bftpd,aflnet-no-state-no-seeds,1,l_abs,375
1622883969,bftpd,aflnet-no-state-no-seeds,1,b_per,10.6
1622883969,bftpd,aflnet-no-state-no-seeds,1,b_abs,144
1622883993,bftpd,aflnet-no-state-no-seeds,1,l_per,16.7
1622883993,bftpd,aflnet-no-state-no-seeds,1,l_abs,375
1622883993,bftpd,aflnet-no-state-no-seeds,1,b_per,10.7
1622883993,bftpd,aflnet-no-state-no-seeds,1,b_abs,145
1622884013,bftpd,aflnet-no-state-no-seeds,1,l_per,16.7
1622884013,bftpd,aflnet-no-state-no-seeds,1,l_abs,375
1622884013,bftpd,aflnet-no-state-no-seeds,1,b_per,10.7
1622884013,bftpd,aflnet-no-state-no-seeds,1,b_abs,145
1622884037,bftpd,aflnet-no-state-no-seeds,1,l_per,16.7
1622884037,bftpd,aflnet-no-state-no-seeds,1,l_abs,375
1622884037,bftpd,aflnet-no-state-no-seeds,1,b_per,10.7
1622884037,bftpd,aflnet-no-state-no-seeds,1,b_abs,145
1622884046,bftpd,aflnet-no-state-no-seeds,1,l_per,16.7
1622884046,bftpd,aflnet-no-state-no-seeds,1,l_abs,375
1622884046,bftpd,aflnet-no-state-no-seeds,1,b_per,10.7
1622884046,bftpd,aflnet-no-state-no-seeds,1,b_abs,145
1622884070,bftpd,aflnet-no-state-no-seeds,1,l_per,16.7
1622884070,bftpd,aflnet-no-state-no-seeds,1,l_abs,375
1622884070,bftpd,aflnet-no-state-no-seeds,1,b_per,10.7
1622884070,bftpd,aflnet-no-state-no-seeds,1,b_abs,145
1622884075,bftpd,aflnet-no-state-no-seeds,1,l_per,16.7
1622884075,bftpd,aflnet-no-state-no-seeds,1,l_abs,375
1622884075,bftpd,aflnet-no-state-no-seeds,1,b_per,10.7
1622884075,bftpd,aflnet-no-state-no-seeds,1,b_abs,145
1622884105,bftpd,aflnet-no-state-no-seeds,1,l_per,16.7
1622884105,bftpd,aflnet-no-state-no-seeds,1,l_abs,375
1622884105,bftpd,aflnet-no-state-no-seeds,1,b_per,10.7
1622884105,bftpd,aflnet-no-state-no-seeds,1,b_abs,145
1622884121,bftpd,aflnet-no-state-no-seeds,1,l_per,17.0
1622884121,bftpd,aflnet-no-state-no-seeds,1,l_abs,380
1622884121,bftpd,aflnet-no-state-no-seeds,1,b_per,10.9
1622884121,bftpd,aflnet-no-state-no-seeds,1,b_abs,147
1622884191,bftpd,aflnet-no-state-no-seeds,1,l_per,17.0
1622884191,bftpd,aflnet-no-state-no-seeds,1,l_abs,380
1622884191,bftpd,aflnet-no-state-no-seeds,1,b_per,10.9
1622884191,bftpd,aflnet-no-state-no-seeds,1,b_abs,147
1622884207,bftpd,aflnet-no-state-no-seeds,1,l_per,17.0
1622884207,bftpd,aflnet-no-state-no-seeds,1,l_abs,380
1622884207,bftpd,aflnet-no-state-no-seeds,1,b_per,10.9
1622884207,bftpd,aflnet-no-state-no-seeds,1,b_abs,147
1622884291,bftpd,aflnet-no-state-no-seeds,1,l_per,20.2
