time,subject,fuzzer,run,cov_type,cov
1622885002,dnsmasq,aflnet-no-state-no-seeds,1,l_per,9.1
1622885002,dnsmasq,aflnet-no-state-no-seeds,1,l_abs,1147
1622885002,dnsmasq,aflnet-no-state-no-seeds,1,b_per,5.6
1622885002,dnsmasq,aflnet-no-state-no-seeds,1,b_abs,677
1622885002,dnsmasq,aflnet-no-state-no-seeds,1,l_per,9.1
1622885002,dnsmasq,aflnet-no-state-no-seeds,1,l_abs,1147
1622885002,dnsmasq,aflnet-no-state-no-seeds,1,b_per,5.6
1622885002,dnsmasq,aflnet-no-state-no-seeds,1,b_abs,677
1622885002,dnsmasq,aflnet-no-state-no-seeds,2,l_per,9.1
1622885002,dnsmasq,aflnet-no-state-no-seeds,2,l_abs,1147
1622885002,dnsmasq,aflnet-no-state-no-seeds,2,b_per,5.6
1622885002,dnsmasq,aflnet-no-state-no-seeds,2,b_abs,677
1622885002,dnsmasq,aflnet-no-state-no-seeds,2,l_per,9.1
1622885002,dnsmasq,aflnet-no-state-no-seeds,2,l_abs,1147
1622885002,dnsmasq,aflnet-no-state-no-seeds,2,b_per,5.6
1622885002,dnsmasq,aflnet-no-state-no-seeds,2,b_abs,677
1622885015,dnsmasq,aflnet-no-state-no-seeds,3,l_per,9.1
1622885015,dnsmasq,aflnet-no-state-no-seeds,3,l_abs,1147
1622885015,dnsmasq,aflnet-no-state-no-seeds,3,b_per,5.6
1622885015,dnsmasq,aflnet-no-state-no-seeds,3,b_abs,677
1622885015,dnsmasq,aflnet-no-state-no-seeds,3,l_per,9.1
1622885015,dnsmasq,aflnet-no-state-no-seeds,3,l_abs,1147
1622885015,dnsmasq,aflnet-no-state-no-seeds,3,b_per,5.6
1622885015,dnsmasq,aflnet-no-state-no-seeds,3,b_abs,677
1622885008,dnsmasq,aflnet-no-state-no-seeds,4,l_per,9.1
1622885008,dnsmasq,aflnet-no-state-no-seeds,4,l_abs,1147
1622885008,dnsmasq,aflnet-no-state-no-seeds,4,b_per,5.6
1622885008,dnsmasq,aflnet-no-state-no-seeds,4,b_abs,677
1622885033,dnsmasq,aflnet-no-state-no-seeds,4,l_per,9.2
1622885033,dnsmasq,aflnet-no-state-no-seeds,4,l_abs,1152
1622885033,dnsmasq,aflnet-no-state-no-seeds,4,b_per,5.7
1622885033,dnsmasq,aflnet-no-state-no-seeds,4,b_abs,682
1622885358,dnsmasq,aflnet-no-state-no-seeds,4,l_per,10.1
1622885358,dnsmasq,aflnet-no-state-no-seeds,4,l_abs,1265
1622885358,dnsmasq,aflnet-no-state-no-seeds,4,b_per,6.2
1622885358,dnsmasq,aflnet-no-state-no-seeds,4,b_abs,738
1622885396,dnsmasq,aflnet-no-state-no-seeds,4,l_per,10.3
1622885396,dnsmasq,aflnet-no-state-no-seeds,4,l_abs,1286
1622885396,dnsmasq,aflnet-no-state-no-seeds,4,b_per,6.3
1622885396,dnsmasq,aflnet-no-state-no-seeds,4,b_abs,754
1622885417,dnsmasq,aflnet-no-state-no-seeds,4,l_per,10.6
1622885417,dnsmasq,aflnet-no-state-no-seeds,4,l_abs,1327
