time,subject,fuzzer,run,cov_type,cov
1622885046,forked-daapd,aflnet-no-state-no-seeds,1,l_per,6.2
1622885046,forked-daapd,aflnet-no-state-no-seeds,1,l_abs,2020
1622885046,forked-daapd,aflnet-no-state-no-seeds,1,b_per,4.7
1622885046,forked-daapd,aflnet-no-state-no-seeds,1,b_abs,711
1622885046,forked-daapd,aflnet-no-state-no-seeds,1,l_per,6.2
1622885046,forked-daapd,aflnet-no-state-no-seeds,1,l_abs,2021
1622885046,forked-daapd,aflnet-no-state-no-seeds,1,b_per,4.7
1622885046,forked-daapd,aflnet-no-state-no-seeds,1,b_abs,712
1622885046,forked-daapd,aflnet-no-state-no-seeds,2,l_per,6.2
1622885046,forked-daapd,aflnet-no-state-no-seeds,2,l_abs,2020
1622885046,forked-daapd,aflnet-no-state-no-seeds,2,b_per,4.7
1622885046,forked-daapd,aflnet-no-state-no-seeds,2,b_abs,711
1622885046,forked-daapd,aflnet-no-state-no-seeds,2,l_per,6.2
1622885046,forked-daapd,aflnet-no-state-no-seeds,2,l_abs,2021
1622885046,forked-daapd,aflnet-no-state-no-seeds,2,b_per,4.7
1622885046,forked-daapd,aflnet-no-state-no-seeds,2,b_abs,712
1622885085,forked-daapd,aflnet-no-state-no-seeds,3,l_per,6.2
1622885085,forked-daapd,aflnet-no-state-no-seeds,3,l_abs,2028
1622885085,forked-daapd,aflnet-no-state-no-seeds,3,b_per,4.7
1622885085,forked-daapd,aflnet-no-state-no-seeds,3,b_abs,712
1622886358,forked-daapd,aflnet-no-state-no-seeds,3,l_per,6.2
1622886358,forked-daapd,aflnet-no-state-no-seeds,3,l_abs,2028
1622886358,forked-daapd,aflnet-no-state-no-seeds,3,b_per,4.7
1622886358,forked-daapd,aflnet-no-state-no-seeds,3,b_abs,712
1622926118,forked-daapd,aflnet-no-state-no-seeds,3,l_per,6.2
1622926118,forked-daapd,aflnet-no-state-no-seeds,3,l_abs,2028
1622926118,forked-daapd,aflnet-no-state-no-seeds,3,b_per,4.7
1622926118,forked-daapd,aflnet-no-state-no-seeds,3,b_abs,712
1622885046,forked-daapd,aflnet-no-state-no-seeds,4,l_per,6.2
1622885046,forked-daapd,aflnet-no-state-no-seeds,4,l_abs,2020
1622885046,forked-daapd,aflnet-no-state-no-seeds,4,b_per,4.7
1622885046,forked-daapd,aflnet-no-state-no-seeds,4,b_abs,711
