time,subject,fuzzer,run,cov_type,cov
1622884415,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884415,kamailio,aflnet-no-state-no-seeds,1,l_abs,9223
1622884415,kamailio,aflnet-no-state-no-seeds,1,b_per,2.2
1622884415,kamailio,aflnet-no-state-no-seeds,1,b_abs,4505
1622884444,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884444,kamailio,aflnet-no-state-no-seeds,1,l_abs,9226
1622884444,kamailio,aflnet-no-state-no-seeds,1,b_per,2.2
1622884444,kamailio,aflnet-no-state-no-seeds,1,b_abs,4510
1622884456,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884456,kamailio,aflnet-no-state-no-seeds,1,l_abs,9283
1622884456,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884456,kamailio,aflnet-no-state-no-seeds,1,b_abs,4602
1622884484,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884484,kamailio,aflnet-no-state-no-seeds,1,l_abs,9284
1622884484,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884484,kamailio,aflnet-no-state-no-seeds,1,b_abs,4605
1622884499,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884499,kamailio,aflnet-no-state-no-seeds,1,l_abs,9284
1622884499,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884499,kamailio,aflnet-no-state-no-seeds,1,b_abs,4605
1622884517,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884517,kamailio,aflnet-no-state-no-seeds,1,l_abs,9284
1622884517,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884517,kamailio,aflnet-no-state-no-seeds,1,b_abs,4605
1622884551,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884551,kamailio,aflnet-no-state-no-seeds,1,l_abs,9284
1622884551,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884551,kamailio,aflnet-no-state-no-seeds,1,b_abs,4605
1622884590,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884590,kamailio,aflnet-no-state-no-seeds,1,l_abs,9284
1622884590,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884590,kamailio,aflnet-no-state-no-seeds,1,b_abs,4605
1622884644,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884644,kamailio,aflnet-no-state-no-seeds,1,l_abs,9284
1622884644,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884644,kamailio,aflnet-no-state-no-seeds,1,b_abs,4605
1622884695,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884695,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622884695,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884695,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622884753,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884753,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622884753,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884753,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622884823,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884823,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622884823,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884823,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622884895,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884895,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622884895,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884895,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622884969,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622884969,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622884969,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622884969,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622885007,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622885007,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622885007,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622885007,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622885068,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622885068,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622885068,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622885068,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622885231,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622885231,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622885231,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622885231,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622885356,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622885356,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622885356,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622885356,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622885452,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622885452,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
1622885452,kamailio,aflnet-no-state-no-seeds,1,b_per,2.3
1622885452,kamailio,aflnet-no-state-no-seeds,1,b_abs,4629
1622885588,kamailio,aflnet-no-state-no-seeds,1,l_per,11.1
1622885588,kamailio,aflnet-no-state-no-seeds,1,l_abs,9289
