time,subject,fuzzer,run,cov_type,cov
1622884998,tinydtls,aflnet-no-state-no-seeds,1,l_per,4.0
1622884998,tinydtls,aflnet-no-state-no-seeds,1,l_abs,107
1622884998,tinydtls,aflnet-no-state-no-seeds,1,b_per,1.2
1622884998,tinydtls,aflnet-no-state-no-seeds,1,b_abs,20
1622885609,tinydtls,aflnet-no-state-no-seeds,1,l_per,4.5
1622885609,tinydtls,aflnet-no-state-no-seeds,1,l_abs,119
1622885609,tinydtls,aflnet-no-state-no-seeds,1,b_per,1.8
1622885609,tinydtls,aflnet-no-state-no-seeds,1,b_abs,31
1622885947,tinydtls,aflnet-no-state-no-seeds,1,l_per,4.7
1622885947,tinydtls,aflnet-no-state-no-seeds,1,l_abs,125
1622885947,tinydtls,aflnet-no-state-no-seeds,1,b_per,1.9
1622885947,tinydtls,aflnet-no-state-no-seeds,1,b_abs,33
1622886129,tinydtls,aflnet-no-state-no-seeds,1,l_per,5.2
1622886129,tinydtls,aflnet-no-state-no-seeds,1,l_abs,137
1622886129,tinydtls,aflnet-no-state-no-seeds,1,b_per,2.2
1622886129,tinydtls,aflnet-no-state-no-seeds,1,b_abs,38
1622886261,tinydtls,aflnet-no-state-no-seeds,1,l_per,5.7
1622886261,tinydtls,aflnet-no-state-no-seeds,1,l_abs,151
1622886261,tinydtls,aflnet-no-state-no-seeds,1,b_per,2.6
1622886261,tinydtls,aflnet-no-state-no-seeds,1,b_abs,45
1622886530,tinydtls,aflnet-no-state-no-seeds,1,l_per,5.7
1622886530,tinydtls,aflnet-no-state-no-seeds,1,l_abs,151
1622886530,tinydtls,aflnet-no-state-no-seeds,1,b_per,2.6
1622886530,tinydtls,aflnet-no-state-no-seeds,1,b_abs,45
1622886988,tinydtls,aflnet-no-state-no-seeds,1,l_per,6.7
1622886988,tinydtls,aflnet-no-state-no-seeds,1,l_abs,178
1622886988,tinydtls,aflnet-no-state-no-seeds,1,b_per,3.5
