time,subject,fuzzer,run,cov_type,cov
1622884996,dcmtk,aflnet-no-state,1,l_per,9.1
1622884996,dcmtk,aflnet-no-state,1,l_abs,2942
1622884996,dcmtk,aflnet-no-state,1,b_per,3.6
1622884996,dcmtk,aflnet-no-state,1,b_abs,1765
1622885011,dcmtk,aflnet-no-state,1,l_per,9.4
1622885011,dcmtk,aflnet-no-state,1,l_abs,3033
1622885011,dcmtk,aflnet-no-state,1,b_per,3.8
1622885011,dcmtk,aflnet-no-state,1,b_abs,1836
1622885019,dcmtk,aflnet-no-state,1,l_per,9.5
1622885019,dcmtk,aflnet-no-state,1,l_abs,3057
1622885019,dcmtk,aflnet-no-state,1,b_per,3.8
1622885019,dcmtk,aflnet-no-state,1,b_abs,1851
1622885065,dcmtk,aflnet-no-state,1,l_per,9.5
1622885065,dcmtk,aflnet-no-state,1,l_abs,3057
1622885065,dcmtk,aflnet-no-state,1,b_per,3.8
1622885065,dcmtk,aflnet-no-state,1,b_abs,1852
1622885138,dcmtk,aflnet-no-state,1,l_per,9.5
1622885138,dcmtk,aflnet-no-state,1,l_abs,3057
1622885138,dcmtk,aflnet-no-state,1,b_per,3.8
1622885138,dcmtk,aflnet-no-state,1,b_abs,1852
1622885166,dcmtk,aflnet-no-state,1,l_per,9.5
1622885166,dcmtk,aflnet-no-state,1,l_abs,3057
1622885166,dcmtk,aflnet-no-state,1,b_per,3.8
1622885166,dcmtk,aflnet-no-state,1,b_abs,1852
1622885192,dcmtk,aflnet-no-state,1,l_per,9.5
1622885192,dcmtk,aflnet-no-state,1,l_abs,3057
1622885192,dcmtk,aflnet-no-state,1,b_per,3.8
1622885192,dcmtk,aflnet-no-state,1,b_abs,1852
1622885251,dcmtk,aflnet-no-state,1,l_per,9.6
1622885251,dcmtk,aflnet-no-state,1,l_abs,3088
1622885251,dcmtk,aflnet-no-state,1,b_per,3.9
1622885251,dcmtk,aflnet-no-state,1,b_abs,1877
1622885572,dcmtk,aflnet-no-state,1,l_per,9.7
1622885572,dcmtk,aflnet-no-state,1,l_abs,3130
1622885572,dcmtk,aflnet-no-state,1,b_per,3.9
1622885572,dcmtk,aflnet-no-state,1,b_abs,1897
1622885696,dcmtk,aflnet-no-state,1,l_per,9.8
1622885696,dcmtk,aflnet-no-state,1,l_abs,3169
1622885696,dcmtk,aflnet-no-state,1,b_per,4.0
1622885696,dcmtk,aflnet-no-state,1,b_abs,1921
1622885888,dcmtk,aflnet-no-state,1,l_per,9.9
1622885888,dcmtk,aflnet-no-state,1,l_abs,3195
1622885888,dcmtk,aflnet-no-state,1,b_per,4.0
1622885888,dcmtk,aflnet-no-state,1,b_abs,1939
1622885909,dcmtk,aflnet-no-state,1,l_per,9.9
1622885909,dcmtk,aflnet-no-state,1,l_abs,3195
1622885909,dcmtk,aflnet-no-state,1,b_per,4.0
1622885909,dcmtk,aflnet-no-state,1,b_abs,1940
1622886016,dcmtk,aflnet-no-state,1,l_per,10.0
1622886016,dcmtk,aflnet-no-state,1,l_abs,3209
1622886016,dcmtk,aflnet-no-state,1,b_per,4.0
1622886016,dcmtk,aflnet-no-state,1,b_abs,1948
1622886478,dcmtk,aflnet-no-state,1,l_per,10.0
1622886478,dcmtk,aflnet-no-state,1,l_abs,3209
1622886478,dcmtk,aflnet-no-state,1,b_per,4.0
1622886478,dcmtk,aflnet-no-state,1,b_abs,1950
