time,subject,fuzzer,run,cov_type,cov
1622883954,lightftp,aflnet-no-state,1,l_per,23.5
1622883954,lightftp,aflnet-no-state,1,l_abs,266
1622883954,lightftp,aflnet-no-state,1,b_per,11.4
1622883954,lightftp,aflnet-no-state,1,b_abs,92
1622884048,lightftp,aflnet-no-state,1,l_per,25.5
1622884048,lightftp,aflnet-no-state,1,l_abs,288
1622884048,lightftp,aflnet-no-state,1,b_per,14.0
1622884048,lightftp,aflnet-no-state,1,b_abs,113
1622884052,lightftp,aflnet-no-state,1,l_per,25.9
1622884052,lightftp,aflnet-no-state,1,l_abs,293
1622884052,lightftp,aflnet-no-state,1,b_per,14.3
1622884052,lightftp,aflnet-no-state,1,b_abs,115
1622884073,lightftp,aflnet-no-state,1,l_per,26.2
1622884073,lightftp,aflnet-no-state,1,l_abs,296
1622884073,lightftp,aflnet-no-state,1,b_per,14.4
1622884073,lightftp,aflnet-no-state,1,b_abs,116
1622884104,lightftp,aflnet-no-state,1,l_per,27.0
1622884104,lightftp,aflnet-no-state,1,l_abs,305
1622884104,lightftp,aflnet-no-state,1,b_per,14.7
1622884104,lightftp,aflnet-no-state,1,b_abs,119
1622884174,lightftp,aflnet-no-state,1,l_per,27.6
1622884174,lightftp,aflnet-no-state,1,l_abs,312
1622884174,lightftp,aflnet-no-state,1,b_per,15.1
1622884174,lightftp,aflnet-no-state,1,b_abs,122
1622884200,lightftp,aflnet-no-state,1,l_per,28.3
1622884200,lightftp,aflnet-no-state,1,l_abs,320
1622884200,lightftp,aflnet-no-state,1,b_per,15.6
1622884200,lightftp,aflnet-no-state,1,b_abs,126
1622884283,lightftp,aflnet-no-state,1,l_per,29.3
1622884283,lightftp,aflnet-no-state,1,l_abs,331
1622884283,lightftp,aflnet-no-state,1,b_per,16.0
1622884283,lightftp,aflnet-no-state,1,b_abs,129
1622884333,lightftp,aflnet-no-state,1,l_per,30.1
1622884333,lightftp,aflnet-no-state,1,l_abs,340
1622884333,lightftp,aflnet-no-state,1,b_per,16.4
1622884333,lightftp,aflnet-no-state,1,b_abs,132
1622884411,lightftp,aflnet-no-state,1,l_per,30.6
1622884411,lightftp,aflnet-no-state,1,l_abs,346
1622884411,lightftp,aflnet-no-state,1,b_per,16.6
1622884411,lightftp,aflnet-no-state,1,b_abs,134
1622884434,lightftp,aflnet-no-state,1,l_per,31.0
1622884434,lightftp,aflnet-no-state,1,l_abs,350
1622884434,lightftp,aflnet-no-state,1,b_per,16.7
1622884434,lightftp,aflnet-no-state,1,b_abs,135
1622884510,lightftp,aflnet-no-state,1,l_per,32.3
1622884510,lightftp,aflnet-no-state,1,l_abs,365
1622884510,lightftp,aflnet-no-state,1,b_per,17.2
1622884510,lightftp,aflnet-no-state,1,b_abs,139
1622884624,lightftp,aflnet-no-state,1,l_per,32.6
1622884624,lightftp,aflnet-no-state,1,l_abs,368
1622884624,lightftp,aflnet-no-state,1,b_per,17.5
1622884624,lightftp,aflnet-no-state,1,b_abs,141
1622884845,lightftp,aflnet-no-state,1,l_per,33.1
1622884845,lightftp,aflnet-no-state,1,l_abs,374
1622884845,lightftp,aflnet-no-state,1,b_per,17.7
1622884845,lightftp,aflnet-no-state,1,b_abs,143
1622885176,lightftp,aflnet-no-state,1,l_per,33.6
1622885176,lightftp,aflnet-no-state,1,l_abs,380
1622885176,lightftp,aflnet-no-state,1,b_per,18.0
1622885176,lightftp,aflnet-no-state,1,b_abs,145
1622885471,lightftp,aflnet-no-state,1,l_per,34.0
1622885471,lightftp,aflnet-no-state,1,l_abs,384
1622885471,lightftp,aflnet-no-state,1,b_per,18.3
1622885471,lightftp,aflnet-no-state,1,b_abs,148
