time,subject,fuzzer,run,cov_type,cov
1622883956,pure-ftpd,aflnet-no-state,1,l_per,11.8
1622883956,pure-ftpd,aflnet-no-state,1,l_abs,556
1622883956,pure-ftpd,aflnet-no-state,1,b_per,5.5
1622883956,pure-ftpd,aflnet-no-state,1,b_abs,199
1622883961,pure-ftpd,aflnet-no-state,1,l_per,11.9
1622883961,pure-ftpd,aflnet-no-state,1,l_abs,558
1622883961,pure-ftpd,aflnet-no-state,1,b_per,5.6
1622883961,pure-ftpd,aflnet-no-state,1,b_abs,203
1622883963,pure-ftpd,aflnet-no-state,1,l_per,11.9
1622883963,pure-ftpd,aflnet-no-state,1,l_abs,558
1622883963,pure-ftpd,aflnet-no-state,1,b_per,5.6
1622883963,pure-ftpd,aflnet-no-state,1,b_abs,203
1622883969,pure-ftpd,aflnet-no-state,1,l_per,12.1
1622883969,pure-ftpd,aflnet-no-state,1,l_abs,570
1622883969,pure-ftpd,aflnet-no-state,1,b_per,5.9
1622883969,pure-ftpd,aflnet-no-state,1,b_abs,213
1622883978,pure-ftpd,aflnet-no-state,1,l_per,12.2
1622883978,pure-ftpd,aflnet-no-state,1,l_abs,574
1622883978,pure-ftpd,aflnet-no-state,1,b_per,6.0
1622883978,pure-ftpd,aflnet-no-state,1,b_abs,216
1622884009,pure-ftpd,aflnet-no-state,1,l_per,12.9
1622884009,pure-ftpd,aflnet-no-state,1,l_abs,606
1622884009,pure-ftpd,aflnet-no-state,1,b_per,6.8
1622884009,pure-ftpd,aflnet-no-state,1,b_abs,246
1622884036,pure-ftpd,aflnet-no-state,1,l_per,12.9
1622884036,pure-ftpd,aflnet-no-state,1,l_abs,606
1622884036,pure-ftpd,aflnet-no-state,1,b_per,6.8
1622884036,pure-ftpd,aflnet-no-state,1,b_abs,246
1622884055,pure-ftpd,aflnet-no-state,1,l_per,12.9
1622884055,pure-ftpd,aflnet-no-state,1,l_abs,607
1622884055,pure-ftpd,aflnet-no-state,1,b_per,6.9
1622884055,pure-ftpd,aflnet-no-state,1,b_abs,248
1622884075,pure-ftpd,aflnet-no-state,1,l_per,12.9
1622884075,pure-ftpd,aflnet-no-state,1,l_abs,607
1622884075,pure-ftpd,aflnet-no-state,1,b_per,6.9
1622884075,pure-ftpd,aflnet-no-state,1,b_abs,248
1622884086,pure-ftpd,aflnet-no-state,1,l_per,13.0
1622884086,pure-ftpd,aflnet-no-state,1,l_abs,609
1622884086,pure-ftpd,aflnet-no-state,1,b_per,6.9
1622884086,pure-ftpd,aflnet-no-state,1,b_abs,249
1622884104,pure-ftpd,aflnet-no-state,1,l_per,13.1
1622884104,pure-ftpd,aflnet-no-state,1,l_abs,617
1622884104,pure-ftpd,aflnet-no-state,1,b_per,7.0
1622884104,pure-ftpd,aflnet-no-state,1,b_abs,251
1622884114,pure-ftpd,aflnet-no-state,1,l_per,13.3
1622884114,pure-ftpd,aflnet-no-state,1,l_abs,627
1622884114,pure-ftpd,aflnet-no-state,1,b_per,7.0
1622884114,pure-ftpd,aflnet-no-state,1,b_abs,253
1622884119,pure-ftpd,aflnet-no-state,1,l_per,13.7
1622884119,pure-ftpd,aflnet-no-state,1,l_abs,642
1622884119,pure-ftpd,aflnet-no-state,1,b_per,7.2
1622884119,pure-ftpd,aflnet-no-state,1,b_abs,259
1622884140,pure-ftpd,aflnet-no-state,1,l_per,14.5
1622884140,pure-ftpd,aflnet-no-state,1,l_abs,680
1622884140,pure-ftpd,aflnet-no-state,1,b_per,7.7
1622884140,pure-ftpd,aflnet-no-state,1,b_abs,277
1622884150,pure-ftpd,aflnet-no-state,1,l_per,14.8
1622884150,pure-ftpd,aflnet-no-state,1,l_abs,694
1622884150,pure-ftpd,aflnet-no-state,1,b_per,7.8
1622884150,pure-ftpd,aflnet-no-state,1,b_abs,282
1622884176,pure-ftpd,aflnet-no-state,1,l_per,14.8
1622884176,pure-ftpd,aflnet-no-state,1,l_abs,694
1622884176,pure-ftpd,aflnet-no-state,1,b_per,7.8
1622884176,pure-ftpd,aflnet-no-state,1,b_abs,282
1622884211,pure-ftpd,aflnet-no-state,1,l_per,14.8
