time,subject,fuzzer,run,cov_type,cov
1620407533,exim,aflnet,1,l_per,19.4
1620407533,exim,aflnet,1,l_abs,5853
1620407533,exim,aflnet,1,b_per,12.3
1620407533,exim,aflnet,1,b_abs,3400
1620407534,exim,aflnet,1,l_per,19.9
1620407534,exim,aflnet,1,l_abs,5975
1620407534,exim,aflnet,1,b_per,12.6
1620407534,exim,aflnet,1,b_abs,3484
1620407546,exim,aflnet,1,l_per,20.1
1620407546,exim,aflnet,1,l_abs,6047
1620407546,exim,aflnet,1,b_per,12.9
1620407546,exim,aflnet,1,b_abs,3556
1620407554,exim,aflnet,1,l_per,20.1
1620407554,exim,aflnet,1,l_abs,6052
1620407554,exim,aflnet,1,b_per,12.9
1620407554,exim,aflnet,1,b_abs,3562
1620407568,exim,aflnet,1,l_per,20.1
1620407568,exim,aflnet,1,l_abs,6056
1620407568,exim,aflnet,1,b_per,12.9
1620407568,exim,aflnet,1,b_abs,3565
1620407592,exim,aflnet,1,l_per,20.1
1620407592,exim,aflnet,1,l_abs,6057
1620407592,exim,aflnet,1,b_per,12.9
1620407592,exim,aflnet,1,b_abs,3566
1620407600,exim,aflnet,1,l_per,20.1
1620407600,exim,aflnet,1,l_abs,6059
1620407600,exim,aflnet,1,b_per,13.0
1620407600,exim,aflnet,1,b_abs,3570
1620407614,exim,aflnet,1,l_per,20.1
1620407614,exim,aflnet,1,l_abs,6059
1620407614,exim,aflnet,1,b_per,13.0
1620407614,exim,aflnet,1,b_abs,3570
1620407626,exim,aflnet,1,l_per,20.1
1620407626,exim,aflnet,1,l_abs,6059
1620407626,exim,aflnet,1,b_per,13.0
1620407626,exim,aflnet,1,b_abs,3570
1620407635,exim,aflnet,1,l_per,20.1
1620407635,exim,aflnet,1,l_abs,6060
1620407635,exim,aflnet,1,b_per,13.0
1620407635,exim,aflnet,1,b_abs,3571
1620407645,exim,aflnet,1,l_per,20.1
1620407645,exim,aflnet,1,l_abs,6061
1620407645,exim,aflnet,1,b_per,13.0
1620407645,exim,aflnet,1,b_abs,3578
1620407657,exim,aflnet,1,l_per,20.1
1620407657,exim,aflnet,1,l_abs,6061
1620407657,exim,aflnet,1,b_per,13.0
1620407657,exim,aflnet,1,b_abs,3578
1620407674,exim,aflnet,1,l_per,20.2
1620407674,exim,aflnet,1,l_abs,6069
1620407674,exim,aflnet,1,b_per,13.0
1620407674,exim,aflnet,1,b_abs,3588
1620407693,exim,aflnet,1,l_per,20.2
1620407693,exim,aflnet,1,l_abs,6081
1620407693,exim,aflnet,1,b_per,13.1
1620407693,exim,aflnet,1,b_abs,3596
1620407712,exim,aflnet,1,l_per,20.2
1620407712,exim,aflnet,1,l_abs,6081
1620407712,exim,aflnet,1,b_per,13.1
1620407712,exim,aflnet,1,b_abs,3596
1620407724,exim,aflnet,1,l_per,20.2
1620407724,exim,aflnet,1,l_abs,6081
1620407724,exim,aflnet,1,b_per,13.1
1620407724,exim,aflnet,1,b_abs,3596
1620407750,exim,aflnet,1,l_per,20.2
1620407750,exim,aflnet,1,l_abs,6086
1620407750,exim,aflnet,1,b_per,13.1
1620407750,exim,aflnet,1,b_abs,3597
1620407779,exim,aflnet,1,l_per,20.2
1620407779,exim,aflnet,1,l_abs,6086
1620407779,exim,aflnet,1,b_per,13.1
1620407779,exim,aflnet,1,b_abs,3597
1620407796,exim,aflnet,1,l_per,20.2
1620407796,exim,aflnet,1,l_abs,6088
1620407796,exim,aflnet,1,b_per,13.1
1620407796,exim,aflnet,1,b_abs,3599
1620407812,exim,aflnet,1,l_per,20.2
1620407812,exim,aflnet,1,l_abs,6088
1620407812,exim,aflnet,1,b_per,13.1
1620407812,exim,aflnet,1,b_abs,3599
1620407820,exim,aflnet,1,l_per,20.2
1620407820,exim,aflnet,1,l_abs,6088
1620407820,exim,aflnet,1,b_per,13.1
1620407820,exim,aflnet,1,b_abs,3600
1620407834,exim,aflnet,1,l_per,20.2
1620407834,exim,aflnet,1,l_abs,6088
1620407834,exim,aflnet,1,b_per,13.1
1620407834,exim,aflnet,1,b_abs,3600
1620407848,exim,aflnet,1,l_per,20.2
1620407848,exim,aflnet,1,l_abs,6090
1620407848,exim,aflnet,1,b_per,13.1
1620407848,exim,aflnet,1,b_abs,3603
