time,subject,fuzzer,run,cov_type,cov
1619851596,pure-ftpd,aflnet,1,l_per,18.0
1619851596,pure-ftpd,aflnet,1,l_abs,845
1619851596,pure-ftpd,aflnet,1,b_per,10.6
1619851596,pure-ftpd,aflnet,1,b_abs,383
1619851598,pure-ftpd,aflnet,1,l_per,18.5
1619851598,pure-ftpd,aflnet,1,l_abs,869
1619851598,pure-ftpd,aflnet,1,b_per,11.1
1619851598,pure-ftpd,aflnet,1,b_abs,401
1619851599,pure-ftpd,aflnet,1,l_per,19.4
1619851599,pure-ftpd,aflnet,1,l_abs,913
1619851599,pure-ftpd,aflnet,1,b_per,11.8
1619851599,pure-ftpd,aflnet,1,b_abs,425
1619851599,pure-ftpd,aflnet,1,l_per,20.7
1619851599,pure-ftpd,aflnet,1,l_abs,976
1619851599,pure-ftpd,aflnet,1,b_per,12.8
1619851599,pure-ftpd,aflnet,1,b_abs,460
1619851602,pure-ftpd,aflnet,1,l_per,21.7
1619851602,pure-ftpd,aflnet,1,l_abs,1021
1619851602,pure-ftpd,aflnet,1,b_per,13.5
1619851602,pure-ftpd,aflnet,1,b_abs,487
1619851605,pure-ftpd,aflnet,1,l_per,22.3
1619851605,pure-ftpd,aflnet,1,l_abs,1052
1619851605,pure-ftpd,aflnet,1,b_per,14.3
1619851605,pure-ftpd,aflnet,1,b_abs,514
1619851605,pure-ftpd,aflnet,1,l_per,25.2
1619851605,pure-ftpd,aflnet,1,l_abs,1190
1619851605,pure-ftpd,aflnet,1,b_per,16.3
1619851605,pure-ftpd,aflnet,1,b_abs,588
1619851608,pure-ftpd,aflnet,1,l_per,25.4
1619851608,pure-ftpd,aflnet,1,l_abs,1197
1619851608,pure-ftpd,aflnet,1,b_per,16.5
1619851608,pure-ftpd,aflnet,1,b_abs,594
1619851610,pure-ftpd,aflnet,1,l_per,25.5
1619851610,pure-ftpd,aflnet,1,l_abs,1202
1619851610,pure-ftpd,aflnet,1,b_per,16.6
1619851610,pure-ftpd,aflnet,1,b_abs,599
1619851612,pure-ftpd,aflnet,1,l_per,25.5
1619851612,pure-ftpd,aflnet,1,l_abs,1202
1619851612,pure-ftpd,aflnet,1,b_per,16.6
1619851612,pure-ftpd,aflnet,1,b_abs,599
1619851614,pure-ftpd,aflnet,1,l_per,25.5
1619851614,pure-ftpd,aflnet,1,l_abs,1202
1619851614,pure-ftpd,aflnet,1,b_per,16.6
1619851614,pure-ftpd,aflnet,1,b_abs,599
1619851616,pure-ftpd,aflnet,1,l_per,26.4
1619851616,pure-ftpd,aflnet,1,l_abs,1246
1619851616,pure-ftpd,aflnet,1,b_per,17.0
1619851616,pure-ftpd,aflnet,1,b_abs,613
1619851619,pure-ftpd,aflnet,1,l_per,26.4
1619851619,pure-ftpd,aflnet,1,l_abs,1246
1619851619,pure-ftpd,aflnet,1,b_per,17.0
1619851619,pure-ftpd,aflnet,1,b_abs,613
1619851602,pure-ftpd,aflnet,1,l_per,26.4
1619851602,pure-ftpd,aflnet,1,l_abs,1246
1619851602,pure-ftpd,aflnet,1,b_per,17.0
1619851602,pure-ftpd,aflnet,1,b_abs,613
1619851612,pure-ftpd,aflnet,1,l_per,26.5
1619851612,pure-ftpd,aflnet,1,l_abs,1247
1619851612,pure-ftpd,aflnet,1,b_per,17.1
1619851612,pure-ftpd,aflnet,1,b_abs,614
1619851624,pure-ftpd,aflnet,1,l_per,26.8
1619851624,pure-ftpd,aflnet,1,l_abs,1265
1619851624,pure-ftpd,aflnet,1,b_per,17.5
1619851624,pure-ftpd,aflnet,1,b_abs,630
1619851630,pure-ftpd,aflnet,1,l_per,26.9
1619851630,pure-ftpd,aflnet,1,l_abs,1267
1619851630,pure-ftpd,aflnet,1,b_per,17.6
1619851630,pure-ftpd,aflnet,1,b_abs,633
1619851635,pure-ftpd,aflnet,1,l_per,26.9
1619851635,pure-ftpd,aflnet,1,l_abs,1268
1619851635,pure-ftpd,aflnet,1,b_per,17.6
1619851635,pure-ftpd,aflnet,1,b_abs,634
1619851645,pure-ftpd,aflnet,1,l_per,27.5
1619851645,pure-ftpd,aflnet,1,l_abs,1294
1619851645,pure-ftpd,aflnet,1,b_per,17.9
1619851645,pure-ftpd,aflnet,1,b_abs,643
1619851671,pure-ftpd,aflnet,1,l_per,27.5
1619851671,pure-ftpd,aflnet,1,l_abs,1294
1619851671,pure-ftpd,aflnet,1,b_per,17.9
1619851671,pure-ftpd,aflnet,1,b_abs,643
1619851691,pure-ftpd,aflnet,1,l_per,27.5
1619851691,pure-ftpd,aflnet,1,l_abs,1294
1619851691,pure-ftpd,aflnet,1,b_per,17.9
1619851691,pure-ftpd,aflnet,1,b_abs,643
1619851715,pure-ftpd,aflnet,1,l_per,27.5
1619851715,pure-ftpd,aflnet,1,l_abs,1294
1619851715,pure-ftpd,aflnet,1,b_per,17.9
1619851715,pure-ftpd,aflnet,1,b_abs,643
1619851734,pure-ftpd,aflnet,1,l_per,27.5
1619851734,pure-ftpd,aflnet,1,l_abs,1294
1619851734,pure-ftpd,aflnet,1,b_per,17.9
1619851734,pure-ftpd,aflnet,1,b_abs,643
1619851758,pure-ftpd,aflnet,1,l_per,27.5
1619851758,pure-ftpd,aflnet,1,l_abs,1294
1619851758,pure-ftpd,aflnet,1,b_per,17.9
1619851758,pure-ftpd,aflnet,1,b_abs,643
1619851770,pure-ftpd,aflnet,1,l_per,27.5
1619851770,pure-ftpd,aflnet,1,l_abs,1294
1619851770,pure-ftpd,aflnet,1,b_per,17.9
1619851770,pure-ftpd,aflnet,1,b_abs,643
1619851795,pure-ftpd,aflnet,1,l_per,27.5
1619851795,pure-ftpd,aflnet,1,l_abs,1294
1619851795,pure-ftpd,aflnet,1,b_per,17.9
1619851795,pure-ftpd,aflnet,1,b_abs,643
1619851833,pure-ftpd,aflnet,1,l_per,27.5
1619851833,pure-ftpd,aflnet,1,l_abs,1294
1619851833,pure-ftpd,aflnet,1,b_per,17.9
1619851833,pure-ftpd,aflnet,1,b_abs,643
1619851890,pure-ftpd,aflnet,1,l_per,27.6
1619851890,pure-ftpd,aflnet,1,l_abs,1300
1619851890,pure-ftpd,aflnet,1,b_per,17.9
1619851890,pure-ftpd,aflnet,1,b_abs,646
1619851947,pure-ftpd,aflnet,1,l_per,27.6
1619851947,pure-ftpd,aflnet,1,l_abs,1302
1619851947,pure-ftpd,aflnet,1,b_per,18.0
1619851947,pure-ftpd,aflnet,1,b_abs,648
1619851976,pure-ftpd,aflnet,1,l_per,27.6
1619851976,pure-ftpd,aflnet,1,l_abs,1302
1619851976,pure-ftpd,aflnet,1,b_per,18.0
1619851976,pure-ftpd,aflnet,1,b_abs,648
1619852011,pure-ftpd,aflnet,1,l_per,27.6
1619852011,pure-ftpd,aflnet,1,l_abs,1303
1619852011,pure-ftpd,aflnet,1,b_per,18.0
1619852011,pure-ftpd,aflnet,1,b_abs,649
1619852045,pure-ftpd,aflnet,1,l_per,27.7
1619852045,pure-ftpd,aflnet,1,l_abs,1306
1619852045,pure-ftpd,aflnet,1,b_per,18.1
1619852045,pure-ftpd,aflnet,1,b_abs,651
1619852078,pure-ftpd,aflnet,1,l_per,27.7
1619852078,pure-ftpd,aflnet,1,l_abs,1307
1619852078,pure-ftpd,aflnet,1,b_per,18.1
1619852078,pure-ftpd,aflnet,1,b_abs,652
1619852098,pure-ftpd,aflnet,1,l_per,27.7
1619852098,pure-ftpd,aflnet,1,l_abs,1307
1619852098,pure-ftpd,aflnet,1,b_per,18.1
1619852098,pure-ftpd,aflnet,1,b_abs,652
1619852160,pure-ftpd,aflnet,1,l_per,27.7
1619852160,pure-ftpd,aflnet,1,l_abs,1308
1619852160,pure-ftpd,aflnet,1,b_per,18.1
1619852160,pure-ftpd,aflnet,1,b_abs,653
1619852222,pure-ftpd,aflnet,1,l_per,27.7
1619852222,pure-ftpd,aflnet,1,l_abs,1308
1619852222,pure-ftpd,aflnet,1,b_per,18.1
1619852222,pure-ftpd,aflnet,1,b_abs,653
1619852269,pure-ftpd,aflnet,1,l_per,27.9
1619852269,pure-ftpd,aflnet,1,l_abs,1315
1619852269,pure-ftpd,aflnet,1,b_per,18.3
1619852269,pure-ftpd,aflnet,1,b_abs,658
1619852289,pure-ftpd,aflnet,1,l_per,27.9
1619852289,pure-ftpd,aflnet,1,l_abs,1315
1619852289,pure-ftpd,aflnet,1,b_per,18.3
1619852289,pure-ftpd,aflnet,1,b_abs,658
1619852319,pure-ftpd,aflnet,1,l_per,28.0
1619852319,pure-ftpd,aflnet,1,l_abs,1319
1619852319,pure-ftpd,aflnet,1,b_per,18.4
1619852319,pure-ftpd,aflnet,1,b_abs,661
1619852350,pure-ftpd,aflnet,1,l_per,28.0
1619852350,pure-ftpd,aflnet,1,l_abs,1319
1619852350,pure-ftpd,aflnet,1,b_per,18.4
1619852350,pure-ftpd,aflnet,1,b_abs,661
1619852392,pure-ftpd,aflnet,1,l_per,28.0
1619852392,pure-ftpd,aflnet,1,l_abs,1319
1619852392,pure-ftpd,aflnet,1,b_per,18.4
1619852392,pure-ftpd,aflnet,1,b_abs,661
1619852413,pure-ftpd,aflnet,1,l_per,28.1
1619852413,pure-ftpd,aflnet,1,l_abs,1324
1619852413,pure-ftpd,aflnet,1,b_per,18.4
1619852413,pure-ftpd,aflnet,1,b_abs,663
1619852433,pure-ftpd,aflnet,1,l_per,28.1
1619852433,pure-ftpd,aflnet,1,l_abs,1324
1619852433,pure-ftpd,aflnet,1,b_per,18.4
1619852433,pure-ftpd,aflnet,1,b_abs,663
1619852446,pure-ftpd,aflnet,1,l_per,28.2
1619852446,pure-ftpd,aflnet,1,l_abs,1331
1619852446,pure-ftpd,aflnet,1,b_per,18.5
1619852446,pure-ftpd,aflnet,1,b_abs,666
1619852454,pure-ftpd,aflnet,1,l_per,28.4
1619852454,pure-ftpd,aflnet,1,l_abs,1338
1619852454,pure-ftpd,aflnet,1,b_per,18.6
1619852454,pure-ftpd,aflnet,1,b_abs,671
1619852462,pure-ftpd,aflnet,1,l_per,28.4
1619852462,pure-ftpd,aflnet,1,l_abs,1339
1619852462,pure-ftpd,aflnet,1,b_per,18.7
1619852462,pure-ftpd,aflnet,1,b_abs,672
1619852476,pure-ftpd,aflnet,1,l_per,28.5
1619852476,pure-ftpd,aflnet,1,l_abs,1343
1619852476,pure-ftpd,aflnet,1,b_per,18.8
1619852476,pure-ftpd,aflnet,1,b_abs,677
1619852484,pure-ftpd,aflnet,1,l_per,28.6
