time,subject,fuzzer,run,cov_type,cov
1619764916,bftpd,aflnet,1,l_per,28.9
1619764916,bftpd,aflnet,1,l_abs,650
1619764916,bftpd,aflnet,1,b_per,18.4
1619764916,bftpd,aflnet,1,b_abs,249
1619764917,bftpd,aflnet,1,l_per,29.7
1619764917,bftpd,aflnet,1,l_abs,667
1619764917,bftpd,aflnet,1,b_per,19.1
1619764917,bftpd,aflnet,1,b_abs,258
1619764918,bftpd,aflnet,1,l_per,30.4
1619764918,bftpd,aflnet,1,l_abs,684
1619764918,bftpd,aflnet,1,b_per,19.4
1619764918,bftpd,aflnet,1,b_abs,263
1619764919,bftpd,aflnet,1,l_per,30.4
1619764919,bftpd,aflnet,1,l_abs,684
1619764919,bftpd,aflnet,1,b_per,19.4
1619764919,bftpd,aflnet,1,b_abs,263
1619764919,bftpd,aflnet,1,l_per,33.3
1619764919,bftpd,aflnet,1,l_abs,749
1619764919,bftpd,aflnet,1,b_per,20.8
1619764919,bftpd,aflnet,1,b_abs,282
1619764920,bftpd,aflnet,1,l_per,35.3
1619764920,bftpd,aflnet,1,l_abs,796
1619764920,bftpd,aflnet,1,b_per,22.5
1619764920,bftpd,aflnet,1,b_abs,305
1619764921,bftpd,aflnet,1,l_per,35.3
1619764921,bftpd,aflnet,1,l_abs,796
1619764921,bftpd,aflnet,1,b_per,22.5
1619764921,bftpd,aflnet,1,b_abs,305
1619764922,bftpd,aflnet,1,l_per,35.3
1619764922,bftpd,aflnet,1,l_abs,796
1619764922,bftpd,aflnet,1,b_per,22.5
1619764922,bftpd,aflnet,1,b_abs,305
1619764923,bftpd,aflnet,1,l_per,35.3
1619764923,bftpd,aflnet,1,l_abs,796
1619764923,bftpd,aflnet,1,b_per,22.5
1619764923,bftpd,aflnet,1,b_abs,305
1619764923,bftpd,aflnet,1,l_per,36.4
1619764923,bftpd,aflnet,1,l_abs,820
1619764923,bftpd,aflnet,1,b_per,23.2
1619764923,bftpd,aflnet,1,b_abs,314
1619764923,bftpd,aflnet,1,l_per,36.5
1619764923,bftpd,aflnet,1,l_abs,822
1619764923,bftpd,aflnet,1,b_per,23.3
1619764923,bftpd,aflnet,1,b_abs,315
1619764924,bftpd,aflnet,1,l_per,40.8
1619764924,bftpd,aflnet,1,l_abs,919
1619764924,bftpd,aflnet,1,b_per,27.0
1619764924,bftpd,aflnet,1,b_abs,365
1619764924,bftpd,aflnet,1,l_per,41.4
1619764924,bftpd,aflnet,1,l_abs,933
1619764924,bftpd,aflnet,1,b_per,27.3
1619764924,bftpd,aflnet,1,b_abs,370
1619764919,bftpd,aflnet,1,l_per,41.7
1619764919,bftpd,aflnet,1,l_abs,940
1619764919,bftpd,aflnet,1,b_per,27.6
1619764919,bftpd,aflnet,1,b_abs,374
1619764923,bftpd,aflnet,1,l_per,41.7
1619764923,bftpd,aflnet,1,l_abs,940
1619764923,bftpd,aflnet,1,b_per,27.6
1619764923,bftpd,aflnet,1,b_abs,374
1619764929,bftpd,aflnet,1,l_per,42.0
1619764929,bftpd,aflnet,1,l_abs,948
1619764929,bftpd,aflnet,1,b_per,28.4
1619764929,bftpd,aflnet,1,b_abs,384
1619764939,bftpd,aflnet,1,l_per,42.2
1619764939,bftpd,aflnet,1,l_abs,953
1619764939,bftpd,aflnet,1,b_per,28.6
1619764939,bftpd,aflnet,1,b_abs,387
1619764951,bftpd,aflnet,1,l_per,42.3
1619764951,bftpd,aflnet,1,l_abs,955
1619764951,bftpd,aflnet,1,b_per,28.7
1619764951,bftpd,aflnet,1,b_abs,388
1619765027,bftpd,aflnet,1,l_per,42.3
1619765027,bftpd,aflnet,1,l_abs,955
1619765027,bftpd,aflnet,1,b_per,28.7
1619765027,bftpd,aflnet,1,b_abs,388
1619765033,bftpd,aflnet,1,l_per,42.3
1619765033,bftpd,aflnet,1,l_abs,955
1619765033,bftpd,aflnet,1,b_per,28.7
1619765033,bftpd,aflnet,1,b_abs,388
1619765088,bftpd,aflnet,1,l_per,42.3
1619765088,bftpd,aflnet,1,l_abs,955
1619765088,bftpd,aflnet,1,b_per,28.7
1619765088,bftpd,aflnet,1,b_abs,388
1619765109,bftpd,aflnet,1,l_per,42.3
1619765109,bftpd,aflnet,1,l_abs,955
1619765109,bftpd,aflnet,1,b_per,28.7
1619765109,bftpd,aflnet,1,b_abs,388
1619765127,bftpd,aflnet,1,l_per,42.3
1619765127,bftpd,aflnet,1,l_abs,955
1619765127,bftpd,aflnet,1,b_per,28.7
1619765127,bftpd,aflnet,1,b_abs,388
1619765173,bftpd,aflnet,1,l_per,42.3
1619765173,bftpd,aflnet,1,l_abs,955
1619765173,bftpd,aflnet,1,b_per,28.7
1619765173,bftpd,aflnet,1,b_abs,388
1619765204,bftpd,aflnet,1,l_per,42.4
1619765204,bftpd,aflnet,1,l_abs,957
1619765204,bftpd,aflnet,1,b_per,28.7
1619765204,bftpd,aflnet,1,b_abs,389
1619765274,bftpd,aflnet,1,l_per,42.4
1619765274,bftpd,aflnet,1,l_abs,957
1619765274,bftpd,aflnet,1,b_per,28.7
1619765274,bftpd,aflnet,1,b_abs,389
1619765309,bftpd,aflnet,1,l_per,42.4
1619765309,bftpd,aflnet,1,l_abs,957
1619765309,bftpd,aflnet,1,b_per,28.7
1619765309,bftpd,aflnet,1,b_abs,389
1619765366,bftpd,aflnet,1,l_per,42.7
1619765366,bftpd,aflnet,1,l_abs,963
1619765366,bftpd,aflnet,1,b_per,29.2
1619765366,bftpd,aflnet,1,b_abs,395
1619765375,bftpd,aflnet,1,l_per,43.2
1619765375,bftpd,aflnet,1,l_abs,974
1619765375,bftpd,aflnet,1,b_per,29.5
1619765375,bftpd,aflnet,1,b_abs,399
1619765394,bftpd,aflnet,1,l_per,44.0
1619765394,bftpd,aflnet,1,l_abs,993
1619765394,bftpd,aflnet,1,b_per,30.0
1619765394,bftpd,aflnet,1,b_abs,406
1619765416,bftpd,aflnet,1,l_per,44.2
1619765416,bftpd,aflnet,1,l_abs,998
1619765416,bftpd,aflnet,1,b_per,30.1
1619765416,bftpd,aflnet,1,b_abs,408
1619765435,bftpd,aflnet,1,l_per,44.5
1619765435,bftpd,aflnet,1,l_abs,1005
1619765435,bftpd,aflnet,1,b_per,30.4
1619765435,bftpd,aflnet,1,b_abs,411
1619765448,bftpd,aflnet,1,l_per,44.6
1619765448,bftpd,aflnet,1,l_abs,1008
1619765448,bftpd,aflnet,1,b_per,30.5
1619765448,bftpd,aflnet,1,b_abs,413
1619765463,bftpd,aflnet,1,l_per,45.0
1619765463,bftpd,aflnet,1,l_abs,1015
1619765463,bftpd,aflnet,1,b_per,31.1
1619765463,bftpd,aflnet,1,b_abs,421
1619765485,bftpd,aflnet,1,l_per,45.2
1619765485,bftpd,aflnet,1,l_abs,1021
1619765485,bftpd,aflnet,1,b_per,31.4
1619765485,bftpd,aflnet,1,b_abs,425
1619765515,bftpd,aflnet,1,l_per,45.3
1619765515,bftpd,aflnet,1,l_abs,1022
1619765515,bftpd,aflnet,1,b_per,31.5
1619765515,bftpd,aflnet,1,b_abs,426
1619765552,bftpd,aflnet,1,l_per,45.3
1619765552,bftpd,aflnet,1,l_abs,1022
1619765552,bftpd,aflnet,1,b_per,31.5
1619765552,bftpd,aflnet,1,b_abs,426
1619765573,bftpd,aflnet,1,l_per,45.3
1619765573,bftpd,aflnet,1,l_abs,1022
1619765573,bftpd,aflnet,1,b_per,31.5
1619765573,bftpd,aflnet,1,b_abs,426
1619765590,bftpd,aflnet,1,l_per,45.4
1619765590,bftpd,aflnet,1,l_abs,1025
1619765590,bftpd,aflnet,1,b_per,31.5
1619765590,bftpd,aflnet,1,b_abs,427
1619765626,bftpd,aflnet,1,l_per,45.4
1619765626,bftpd,aflnet,1,l_abs,1025
1619765626,bftpd,aflnet,1,b_per,31.5
1619765626,bftpd,aflnet,1,b_abs,427
1619765658,bftpd,aflnet,1,l_per,45.4
1619765658,bftpd,aflnet,1,l_abs,1025
1619765658,bftpd,aflnet,1,b_per,31.5
1619765658,bftpd,aflnet,1,b_abs,427
1619765683,bftpd,aflnet,1,l_per,45.7
1619765683,bftpd,aflnet,1,l_abs,1031
1619765683,bftpd,aflnet,1,b_per,31.8
1619765683,bftpd,aflnet,1,b_abs,430
1619765740,bftpd,aflnet,1,l_per,45.7
1619765740,bftpd,aflnet,1,l_abs,1031
1619765740,bftpd,aflnet,1,b_per,31.8
