time,subject,fuzzer,run,cov_type,cov
1619851599,dnsmasq,aflnet,1,l_per,9.2
1619851599,dnsmasq,aflnet,1,l_abs,1149
1619851599,dnsmasq,aflnet,1,b_per,5.7
1619851599,dnsmasq,aflnet,1,b_abs,679
1619851841,dnsmasq,aflnet,1,l_per,9.2
1619851841,dnsmasq,aflnet,1,l_abs,1149
1619851841,dnsmasq,aflnet,1,b_per,5.7
1619851841,dnsmasq,aflnet,1,b_abs,679
1619851929,dnsmasq,aflnet,1,l_per,10.2
1619851929,dnsmasq,aflnet,1,l_abs,1284
1619851929,dnsmasq,aflnet,1,b_per,6.3
1619851929,dnsmasq,aflnet,1,b_abs,756
1619851984,dnsmasq,aflnet,1,l_per,11.5
1619851984,dnsmasq,aflnet,1,l_abs,1438
1619851984,dnsmasq,aflnet,1,b_per,7.4
1619851984,dnsmasq,aflnet,1,b_abs,882
1619852009,dnsmasq,aflnet,1,l_per,11.5
1619852009,dnsmasq,aflnet,1,l_abs,1438
1619852009,dnsmasq,aflnet,1,b_per,7.4
1619852009,dnsmasq,aflnet,1,b_abs,884
1619852099,dnsmasq,aflnet,1,l_per,11.5
1619852099,dnsmasq,aflnet,1,l_abs,1441
1619852099,dnsmasq,aflnet,1,b_per,7.4
1619852099,dnsmasq,aflnet,1,b_abs,888
1619852224,dnsmasq,aflnet,1,l_per,11.5
1619852224,dnsmasq,aflnet,1,l_abs,1441
1619852224,dnsmasq,aflnet,1,b_per,7.4
1619852224,dnsmasq,aflnet,1,b_abs,889
1619852547,dnsmasq,aflnet,1,l_per,11.5
1619852547,dnsmasq,aflnet,1,l_abs,1442
1619852547,dnsmasq,aflnet,1,b_per,7.4
1619852547,dnsmasq,aflnet,1,b_abs,890
1619852691,dnsmasq,aflnet,1,l_per,11.5
1619852691,dnsmasq,aflnet,1,l_abs,1443
1619852691,dnsmasq,aflnet,1,b_per,7.4
1619852691,dnsmasq,aflnet,1,b_abs,891
1619852827,dnsmasq,aflnet,1,l_per,11.5
1619852827,dnsmasq,aflnet,1,l_abs,1444
1619852827,dnsmasq,aflnet,1,b_per,7.4
1619852827,dnsmasq,aflnet,1,b_abs,892
1619853015,dnsmasq,aflnet,1,l_per,11.5
1619853015,dnsmasq,aflnet,1,l_abs,1444
1619853015,dnsmasq,aflnet,1,b_per,7.4
1619853015,dnsmasq,aflnet,1,b_abs,892
1619853049,dnsmasq,aflnet,1,l_per,11.5
1619853049,dnsmasq,aflnet,1,l_abs,1445
1619853049,dnsmasq,aflnet,1,b_per,7.4
1619853049,dnsmasq,aflnet,1,b_abs,893
1619853125,dnsmasq,aflnet,1,l_per,11.5
1619853125,dnsmasq,aflnet,1,l_abs,1445
1619853125,dnsmasq,aflnet,1,b_per,7.4
1619853125,dnsmasq,aflnet,1,b_abs,893
1619853331,dnsmasq,aflnet,1,l_per,11.5
1619853331,dnsmasq,aflnet,1,l_abs,1446
1619853331,dnsmasq,aflnet,1,b_per,7.5
1619853331,dnsmasq,aflnet,1,b_abs,894
