time,subject,fuzzer,run,cov_type,cov
1619764715,dnsmasq,nyx,1,l_per,10.4
1619764715,dnsmasq,nyx,1,l_abs,1298
1619764715,dnsmasq,nyx,1,b_per,6.4
1619764715,dnsmasq,nyx,1,b_abs,767
1619764715,dnsmasq,nyx,1,l_per,10.7
1619764715,dnsmasq,nyx,1,l_abs,1344
1619764715,dnsmasq,nyx,1,b_per,6.7
1619764715,dnsmasq,nyx,1,b_abs,807
1619764716,dnsmasq,nyx,1,l_per,10.9
1619764716,dnsmasq,nyx,1,l_abs,1365
1619764716,dnsmasq,nyx,1,b_per,6.9
1619764716,dnsmasq,nyx,1,b_abs,825
1619764719,dnsmasq,nyx,1,l_per,10.9
1619764719,dnsmasq,nyx,1,l_abs,1370
1619764719,dnsmasq,nyx,1,b_per,6.9
1619764719,dnsmasq,nyx,1,b_abs,831
1619764731,dnsmasq,nyx,1,l_per,11.0
1619764731,dnsmasq,nyx,1,l_abs,1374
1619764731,dnsmasq,nyx,1,b_per,7.0
1619764731,dnsmasq,nyx,1,b_abs,835
1619764739,dnsmasq,nyx,1,l_per,11.4
1619764739,dnsmasq,nyx,1,l_abs,1426
1619764739,dnsmasq,nyx,1,b_per,7.2
1619764739,dnsmasq,nyx,1,b_abs,869
1619764744,dnsmasq,nyx,1,l_per,11.5
1619764744,dnsmasq,nyx,1,l_abs,1436
1619764744,dnsmasq,nyx,1,b_per,7.4
1619764744,dnsmasq,nyx,1,b_abs,883
1619764791,dnsmasq,nyx,1,l_per,11.8
1619764791,dnsmasq,nyx,1,l_abs,1474
1619764791,dnsmasq,nyx,1,b_per,7.7
1619764791,dnsmasq,nyx,1,b_abs,924
1619764856,dnsmasq,nyx,1,l_per,11.8
1619764856,dnsmasq,nyx,1,l_abs,1475
1619764856,dnsmasq,nyx,1,b_per,7.7
1619764856,dnsmasq,nyx,1,b_abs,926
1619764955,dnsmasq,nyx,1,l_per,12.1
1619764955,dnsmasq,nyx,1,l_abs,1514
1619764955,dnsmasq,nyx,1,b_per,8.0
1619764955,dnsmasq,nyx,1,b_abs,954
1619765039,dnsmasq,nyx,1,l_per,12.7
1619765039,dnsmasq,nyx,1,l_abs,1596
1619765039,dnsmasq,nyx,1,b_per,8.5
1619765039,dnsmasq,nyx,1,b_abs,1017
1619765153,dnsmasq,nyx,1,l_per,12.9
1619765153,dnsmasq,nyx,1,l_abs,1615
1619765153,dnsmasq,nyx,1,b_per,8.6
1619765153,dnsmasq,nyx,1,b_abs,1031
1619765405,dnsmasq,nyx,1,l_per,13.0
1619765405,dnsmasq,nyx,1,l_abs,1631
1619765405,dnsmasq,nyx,1,b_per,8.7
1619765405,dnsmasq,nyx,1,b_abs,1042
1619765512,dnsmasq,nyx,1,l_per,13.0
1619765512,dnsmasq,nyx,1,l_abs,1635
1619765512,dnsmasq,nyx,1,b_per,8.7
1619765512,dnsmasq,nyx,1,b_abs,1044
1619765513,dnsmasq,nyx,1,l_per,13.3
1619765513,dnsmasq,nyx,1,l_abs,1666
1619765513,dnsmasq,nyx,1,b_per,8.9
1619765513,dnsmasq,nyx,1,b_abs,1066
1619765518,dnsmasq,nyx,1,l_per,13.3
1619765518,dnsmasq,nyx,1,l_abs,1666
1619765518,dnsmasq,nyx,1,b_per,8.9
1619765518,dnsmasq,nyx,1,b_abs,1067
1619765524,dnsmasq,nyx,1,l_per,13.3
1619765524,dnsmasq,nyx,1,l_abs,1667
1619765524,dnsmasq,nyx,1,b_per,8.9
1619765524,dnsmasq,nyx,1,b_abs,1069
1619765529,dnsmasq,nyx,1,l_per,13.5
1619765529,dnsmasq,nyx,1,l_abs,1692
1619765529,dnsmasq,nyx,1,b_per,9.0
1619765529,dnsmasq,nyx,1,b_abs,1078
1619765531,dnsmasq,nyx,1,l_per,13.5
1619765531,dnsmasq,nyx,1,l_abs,1693
1619765531,dnsmasq,nyx,1,b_per,9.0
1619765531,dnsmasq,nyx,1,b_abs,1079
1619765534,dnsmasq,nyx,1,l_per,13.5
1619765534,dnsmasq,nyx,1,l_abs,1693
1619765534,dnsmasq,nyx,1,b_per,9.0
1619765534,dnsmasq,nyx,1,b_abs,1079
1619765536,dnsmasq,nyx,1,l_per,13.5
1619765536,dnsmasq,nyx,1,l_abs,1693
1619765536,dnsmasq,nyx,1,b_per,9.0
