time,subject,fuzzer,run,cov_type,cov
1620407533,exim,aflnet,1,l_per,19.3
1620407533,exim,aflnet,1,l_abs,5807
1620407533,exim,aflnet,1,b_per,12.2
1620407533,exim,aflnet,1,b_abs,3369
1620407534,exim,aflnet,1,l_per,19.6
1620407534,exim,aflnet,1,l_abs,5900
1620407534,exim,aflnet,1,b_per,12.5
1620407534,exim,aflnet,1,b_abs,3442
1620407546,exim,aflnet,1,l_per,19.8
1620407546,exim,aflnet,1,l_abs,5947
1620407546,exim,aflnet,1,b_per,12.7
1620407546,exim,aflnet,1,b_abs,3487
1620407554,exim,aflnet,1,l_per,19.8
1620407554,exim,aflnet,1,l_abs,5959
1620407554,exim,aflnet,1,b_per,12.7
1620407554,exim,aflnet,1,b_abs,3508
1620407568,exim,aflnet,1,l_per,19.8
1620407568,exim,aflnet,1,l_abs,5968
1620407568,exim,aflnet,1,b_per,12.8
1620407568,exim,aflnet,1,b_abs,3516
1620407592,exim,aflnet,1,l_per,19.8
1620407592,exim,aflnet,1,l_abs,5968
1620407592,exim,aflnet,1,b_per,12.8
1620407592,exim,aflnet,1,b_abs,3516
1620407600,exim,aflnet,1,l_per,19.8
1620407600,exim,aflnet,1,l_abs,5968
1620407600,exim,aflnet,1,b_per,12.8
1620407600,exim,aflnet,1,b_abs,3516
1620407614,exim,aflnet,1,l_per,19.8
1620407614,exim,aflnet,1,l_abs,5968
1620407614,exim,aflnet,1,b_per,12.8
1620407614,exim,aflnet,1,b_abs,3517
1620407626,exim,aflnet,1,l_per,19.8
1620407626,exim,aflnet,1,l_abs,5968
1620407626,exim,aflnet,1,b_per,12.8
1620407626,exim,aflnet,1,b_abs,3517
1620407635,exim,aflnet,1,l_per,19.9
1620407635,exim,aflnet,1,l_abs,5970
1620407635,exim,aflnet,1,b_per,12.8
1620407635,exim,aflnet,1,b_abs,3519
1620407645,exim,aflnet,1,l_per,19.9
1620407645,exim,aflnet,1,l_abs,5970
1620407645,exim,aflnet,1,b_per,12.8
1620407645,exim,aflnet,1,b_abs,3519
1620407657,exim,aflnet,1,l_per,19.9
1620407657,exim,aflnet,1,l_abs,5972
1620407657,exim,aflnet,1,b_per,12.8
1620407657,exim,aflnet,1,b_abs,3524
1620407674,exim,aflnet,1,l_per,19.9
1620407674,exim,aflnet,1,l_abs,5972
1620407674,exim,aflnet,1,b_per,12.8
1620407674,exim,aflnet,1,b_abs,3524
1620407693,exim,aflnet,1,l_per,19.9
1620407693,exim,aflnet,1,l_abs,5978
1620407693,exim,aflnet,1,b_per,12.8
1620407693,exim,aflnet,1,b_abs,3530
