time,subject,fuzzer,run,cov_type,cov
1619765089,exim,nyx,1,l_per,6.0
1619765089,exim,nyx,1,l_abs,1797
1619765089,exim,nyx,1,b_per,3.9
1619765089,exim,nyx,1,b_abs,1085
1619765089,exim,nyx,1,l_per,6.0
1619765089,exim,nyx,1,l_abs,1797
1619765089,exim,nyx,1,b_per,3.9
1619765089,exim,nyx,1,b_abs,1085
1619765090,exim,nyx,1,l_per,6.0
1619765090,exim,nyx,1,l_abs,1797
1619765090,exim,nyx,1,b_per,3.9
1619765090,exim,nyx,1,b_abs,1085
1619765090,exim,nyx,1,l_per,6.0
1619765090,exim,nyx,1,l_abs,1797
1619765090,exim,nyx,1,b_per,3.9
1619765090,exim,nyx,1,b_abs,1085
1619765090,exim,nyx,1,l_per,19.4
1619765090,exim,nyx,1,l_abs,5841
1619765090,exim,nyx,1,b_per,12.3
1619765090,exim,nyx,1,b_abs,3400
1619765090,exim,nyx,1,l_per,19.4
1619765090,exim,nyx,1,l_abs,5841
1619765090,exim,nyx,1,b_per,12.3
1619765090,exim,nyx,1,b_abs,3400
1619765091,exim,nyx,1,l_per,19.4
1619765091,exim,nyx,1,l_abs,5841
1619765091,exim,nyx,1,b_per,12.3
1619765091,exim,nyx,1,b_abs,3400
1619765091,exim,nyx,1,l_per,19.4
1619765091,exim,nyx,1,l_abs,5841
1619765091,exim,nyx,1,b_per,12.3
1619765091,exim,nyx,1,b_abs,3400
1619765091,exim,nyx,1,l_per,19.4
1619765091,exim,nyx,1,l_abs,5841
1619765091,exim,nyx,1,b_per,12.3
1619765091,exim,nyx,1,b_abs,3400
1619765092,exim,nyx,1,l_per,19.4
1619765092,exim,nyx,1,l_abs,5841
1619765092,exim,nyx,1,b_per,12.3
1619765092,exim,nyx,1,b_abs,3400
1619765093,exim,nyx,1,l_per,19.4
1619765093,exim,nyx,1,l_abs,5841
1619765093,exim,nyx,1,b_per,12.3
1619765093,exim,nyx,1,b_abs,3400
1619765093,exim,nyx,1,l_per,19.4
1619765093,exim,nyx,1,l_abs,5841
1619765093,exim,nyx,1,b_per,12.3
1619765093,exim,nyx,1,b_abs,3400
1619765094,exim,nyx,1,l_per,19.4
1619765094,exim,nyx,1,l_abs,5841
1619765094,exim,nyx,1,b_per,12.3
1619765094,exim,nyx,1,b_abs,3400
1619765095,exim,nyx,1,l_per,19.4
1619765095,exim,nyx,1,l_abs,5841
1619765095,exim,nyx,1,b_per,12.3
1619765095,exim,nyx,1,b_abs,3400
1619765097,exim,nyx,1,l_per,19.4
1619765097,exim,nyx,1,l_abs,5841
1619765097,exim,nyx,1,b_per,12.3
1619765097,exim,nyx,1,b_abs,3400
1619765100,exim,nyx,1,l_per,19.4
1619765100,exim,nyx,1,l_abs,5841
1619765100,exim,nyx,1,b_per,12.3
1619765100,exim,nyx,1,b_abs,3400
1619765102,exim,nyx,1,l_per,19.4
1619765102,exim,nyx,1,l_abs,5841
1619765102,exim,nyx,1,b_per,12.3
1619765102,exim,nyx,1,b_abs,3400
1619765106,exim,nyx,1,l_per,19.4
1619765106,exim,nyx,1,l_abs,5841
1619765106,exim,nyx,1,b_per,12.3
1619765106,exim,nyx,1,b_abs,3400
1619765116,exim,nyx,1,l_per,19.4
1619765116,exim,nyx,1,l_abs,5841
1619765116,exim,nyx,1,b_per,12.3
1619765116,exim,nyx,1,b_abs,3400
1619765120,exim,nyx,1,l_per,19.4
1619765120,exim,nyx,1,l_abs,5841
1619765120,exim,nyx,1,b_per,12.3
1619765120,exim,nyx,1,b_abs,3400
1619765131,exim,nyx,1,l_per,19.4
1619765131,exim,nyx,1,l_abs,5841
1619765131,exim,nyx,1,b_per,12.3
1619765131,exim,nyx,1,b_abs,3400
1619765160,exim,nyx,1,l_per,19.4
1619765160,exim,nyx,1,l_abs,5841
1619765160,exim,nyx,1,b_per,12.3
1619765160,exim,nyx,1,b_abs,3400
1619765215,exim,nyx,1,l_per,19.4
1619765215,exim,nyx,1,l_abs,5841
