time,subject,fuzzer,run,cov_type,cov
1619764733,forked-daapd,nyx,1,l_per,14.2
1619764733,forked-daapd,nyx,1,l_abs,4653
1619764733,forked-daapd,nyx,1,b_per,9.8
1619764733,forked-daapd,nyx,1,b_abs,1492
1619764747,forked-daapd,nyx,1,l_per,14.9
1619764747,forked-daapd,nyx,1,l_abs,4871
1619764747,forked-daapd,nyx,1,b_per,10.2
1619764747,forked-daapd,nyx,1,b_abs,1551
1619764777,forked-daapd,nyx,1,l_per,15.6
1619764777,forked-daapd,nyx,1,l_abs,5100
1619764777,forked-daapd,nyx,1,b_per,10.7
1619764777,forked-daapd,nyx,1,b_abs,1629
1619764793,forked-daapd,nyx,1,l_per,19.7
1619764793,forked-daapd,nyx,1,l_abs,6474
1619764793,forked-daapd,nyx,1,b_per,14.2
1619764793,forked-daapd,nyx,1,b_abs,2145
1619764798,forked-daapd,nyx,1,l_per,19.8
1619764798,forked-daapd,nyx,1,l_abs,6491
1619764798,forked-daapd,nyx,1,b_per,14.2
1619764798,forked-daapd,nyx,1,b_abs,2151
1619764833,forked-daapd,nyx,1,l_per,19.9
1619764833,forked-daapd,nyx,1,l_abs,6513
1619764833,forked-daapd,nyx,1,b_per,14.3
1619764833,forked-daapd,nyx,1,b_abs,2160
1619764843,forked-daapd,nyx,1,l_per,20.1
1619764843,forked-daapd,nyx,1,l_abs,6595
1619764843,forked-daapd,nyx,1,b_per,14.4
1619764843,forked-daapd,nyx,1,b_abs,2186
1619764872,forked-daapd,nyx,1,l_per,20.1
1619764872,forked-daapd,nyx,1,l_abs,6603
1619764872,forked-daapd,nyx,1,b_per,14.5
1619764872,forked-daapd,nyx,1,b_abs,2194
1619765006,forked-daapd,nyx,1,l_per,20.5
1619765006,forked-daapd,nyx,1,l_abs,6728
1619765006,forked-daapd,nyx,1,b_per,14.7
1619765006,forked-daapd,nyx,1,b_abs,2232
1619765161,forked-daapd,nyx,1,l_per,21.0
1619765161,forked-daapd,nyx,1,l_abs,6905
1619765161,forked-daapd,nyx,1,b_per,15.1
1619765161,forked-daapd,nyx,1,b_abs,2287
1619765216,forked-daapd,nyx,1,l_per,21.1
1619765216,forked-daapd,nyx,1,l_abs,6910
1619765216,forked-daapd,nyx,1,b_per,15.1
1619765216,forked-daapd,nyx,1,b_abs,2294
1619765290,forked-daapd,nyx,1,l_per,21.2
1619765290,forked-daapd,nyx,1,l_abs,6965
1619765290,forked-daapd,nyx,1,b_per,15.2
1619765290,forked-daapd,nyx,1,b_abs,2307
1619765362,forked-daapd,nyx,1,l_per,21.3
1619765362,forked-daapd,nyx,1,l_abs,7000
1619765362,forked-daapd,nyx,1,b_per,15.3
1619765362,forked-daapd,nyx,1,b_abs,2323
1619765461,forked-daapd,nyx,1,l_per,21.5
1619765461,forked-daapd,nyx,1,l_abs,7064
1619765461,forked-daapd,nyx,1,b_per,15.4
1619765461,forked-daapd,nyx,1,b_abs,2339
1619765578,forked-daapd,nyx,1,l_per,21.6
1619765578,forked-daapd,nyx,1,l_abs,7100
1619765578,forked-daapd,nyx,1,b_per,15.5
1619765578,forked-daapd,nyx,1,b_abs,2347
1619765649,forked-daapd,nyx,1,l_per,21.6
1619765649,forked-daapd,nyx,1,l_abs,7105
1619765649,forked-daapd,nyx,1,b_per,15.5
1619765649,forked-daapd,nyx,1,b_abs,2350
1619765835,forked-daapd,nyx,1,l_per,22.0
1619765835,forked-daapd,nyx,1,l_abs,7209
1619765835,forked-daapd,nyx,1,b_per,15.7
1619765835,forked-daapd,nyx,1,b_abs,2378
1619765972,forked-daapd,nyx,1,l_per,22.0
1619765972,forked-daapd,nyx,1,l_abs,7235
1619765972,forked-daapd,nyx,1,b_per,15.8
1619765972,forked-daapd,nyx,1,b_abs,2388
1619766068,forked-daapd,nyx,1,l_per,22.2
1619766068,forked-daapd,nyx,1,l_abs,7277
1619766068,forked-daapd,nyx,1,b_per,15.8
1619766068,forked-daapd,nyx,1,b_abs,2401
1619766135,forked-daapd,nyx,1,l_per,22.2
1619766135,forked-daapd,nyx,1,l_abs,7293
1619766135,forked-daapd,nyx,1,b_per,15.9
1619766135,forked-daapd,nyx,1,b_abs,2406
1619766286,forked-daapd,nyx,1,l_per,22.3
1619766286,forked-daapd,nyx,1,l_abs,7316
1619766286,forked-daapd,nyx,1,b_per,15.9
1619766286,forked-daapd,nyx,1,b_abs,2412
1619766511,forked-daapd,nyx,1,l_per,22.4
1619766511,forked-daapd,nyx,1,l_abs,7353
1619766511,forked-daapd,nyx,1,b_per,16.0
1619766511,forked-daapd,nyx,1,b_abs,2431
1619766605,forked-daapd,nyx,1,l_per,22.5
1619766605,forked-daapd,nyx,1,l_abs,7402
1619766605,forked-daapd,nyx,1,b_per,16.1
1619766605,forked-daapd,nyx,1,b_abs,2444
1619766764,forked-daapd,nyx,1,l_per,22.6
1619766764,forked-daapd,nyx,1,l_abs,7415
1619766764,forked-daapd,nyx,1,b_per,16.2
1619766764,forked-daapd,nyx,1,b_abs,2448
1619766990,forked-daapd,nyx,1,l_per,22.6
1619766990,forked-daapd,nyx,1,l_abs,7430
1619766990,forked-daapd,nyx,1,b_per,16.2
1619766990,forked-daapd,nyx,1,b_abs,2452
1619767121,forked-daapd,nyx,1,l_per,22.7
1619767121,forked-daapd,nyx,1,l_abs,7461
1619767121,forked-daapd,nyx,1,b_per,16.2
1619767121,forked-daapd,nyx,1,b_abs,2462
1619767397,forked-daapd,nyx,1,l_per,22.7
1619767397,forked-daapd,nyx,1,l_abs,7462
1619767397,forked-daapd,nyx,1,b_per,16.3
1619767397,forked-daapd,nyx,1,b_abs,2465
1619767607,forked-daapd,nyx,1,l_per,22.8
1619767607,forked-daapd,nyx,1,l_abs,7495
1619767607,forked-daapd,nyx,1,b_per,16.3
1619767607,forked-daapd,nyx,1,b_abs,2477
1619767868,forked-daapd,nyx,1,l_per,23.1
1619767868,forked-daapd,nyx,1,l_abs,7582
1619767868,forked-daapd,nyx,1,b_per,16.5
1619767868,forked-daapd,nyx,1,b_abs,2503
1619768033,forked-daapd,nyx,1,l_per,23.1
1619768033,forked-daapd,nyx,1,l_abs,7593
1619768033,forked-daapd,nyx,1,b_per,16.5
1619768033,forked-daapd,nyx,1,b_abs,2507
1619768693,forked-daapd,nyx,1,l_per,23.1
1619768693,forked-daapd,nyx,1,l_abs,7598
1619768693,forked-daapd,nyx,1,b_per,16.6
1619768693,forked-daapd,nyx,1,b_abs,2509
1619769126,forked-daapd,nyx,1,l_per,23.2
1619769126,forked-daapd,nyx,1,l_abs,7608
1619769126,forked-daapd,nyx,1,b_per,16.6
1619769126,forked-daapd,nyx,1,b_abs,2513
