time,subject,fuzzer,run,cov_type,cov
1619765093,kamailio,nyx,1,l_per,11.1
1619765093,kamailio,nyx,1,l_abs,9283
1619765093,kamailio,nyx,1,b_per,2.3
1619765093,kamailio,nyx,1,b_abs,4608
1619765094,kamailio,nyx,1,l_per,11.2
1619765094,kamailio,nyx,1,l_abs,9299
1619765094,kamailio,nyx,1,b_per,2.3
1619765094,kamailio,nyx,1,b_abs,4657
1619765095,kamailio,nyx,1,l_per,11.2
1619765095,kamailio,nyx,1,l_abs,9325
1619765095,kamailio,nyx,1,b_per,2.3
1619765095,kamailio,nyx,1,b_abs,4707
1619765096,kamailio,nyx,1,l_per,11.2
1619765096,kamailio,nyx,1,l_abs,9325
1619765096,kamailio,nyx,1,b_per,2.3
1619765096,kamailio,nyx,1,b_abs,4713
1619765097,kamailio,nyx,1,l_per,11.2
1619765097,kamailio,nyx,1,l_abs,9325
1619765097,kamailio,nyx,1,b_per,2.3
1619765097,kamailio,nyx,1,b_abs,4721
1619765098,kamailio,nyx,1,l_per,11.2
1619765098,kamailio,nyx,1,l_abs,9345
1619765098,kamailio,nyx,1,b_per,2.4
1619765098,kamailio,nyx,1,b_abs,4765
1619765098,kamailio,nyx,1,l_per,11.2
1619765098,kamailio,nyx,1,l_abs,9345
1619765098,kamailio,nyx,1,b_per,2.4
1619765098,kamailio,nyx,1,b_abs,4772
1619765098,kamailio,nyx,1,l_per,11.2
1619765098,kamailio,nyx,1,l_abs,9346
1619765098,kamailio,nyx,1,b_per,2.4
1619765098,kamailio,nyx,1,b_abs,4780
1619765099,kamailio,nyx,1,l_per,11.2
1619765099,kamailio,nyx,1,l_abs,9347
1619765099,kamailio,nyx,1,b_per,2.4
1619765099,kamailio,nyx,1,b_abs,4785
1619765101,kamailio,nyx,1,l_per,11.2
1619765101,kamailio,nyx,1,l_abs,9347
1619765101,kamailio,nyx,1,b_per,2.4
1619765101,kamailio,nyx,1,b_abs,4792
1619765105,kamailio,nyx,1,l_per,11.2
1619765105,kamailio,nyx,1,l_abs,9347
1619765105,kamailio,nyx,1,b_per,2.4
1619765105,kamailio,nyx,1,b_abs,4794
1619765121,kamailio,nyx,1,l_per,11.2
1619765121,kamailio,nyx,1,l_abs,9348
1619765121,kamailio,nyx,1,b_per,2.4
1619765121,kamailio,nyx,1,b_abs,4801
1619765179,kamailio,nyx,1,l_per,11.2
1619765179,kamailio,nyx,1,l_abs,9350
1619765179,kamailio,nyx,1,b_per,2.4
1619765179,kamailio,nyx,1,b_abs,4808
1619765221,kamailio,nyx,1,l_per,11.2
1619765221,kamailio,nyx,1,l_abs,9350
1619765221,kamailio,nyx,1,b_per,2.4
1619765221,kamailio,nyx,1,b_abs,4815
1619765275,kamailio,nyx,1,l_per,11.2
1619765275,kamailio,nyx,1,l_abs,9350
1619765275,kamailio,nyx,1,b_per,2.4
1619765275,kamailio,nyx,1,b_abs,4817
1619765277,kamailio,nyx,1,l_per,11.3
1619765277,kamailio,nyx,1,l_abs,9391
1619765277,kamailio,nyx,1,b_per,2.4
1619765277,kamailio,nyx,1,b_abs,4869
1619765280,kamailio,nyx,1,l_per,11.3
1619765280,kamailio,nyx,1,l_abs,9399
1619765280,kamailio,nyx,1,b_per,2.4
1619765280,kamailio,nyx,1,b_abs,4882
1619765281,kamailio,nyx,1,l_per,11.3
1619765281,kamailio,nyx,1,l_abs,9408
1619765281,kamailio,nyx,1,b_per,2.4
1619765281,kamailio,nyx,1,b_abs,4895
1619765283,kamailio,nyx,1,l_per,11.3
1619765283,kamailio,nyx,1,l_abs,9434
1619765283,kamailio,nyx,1,b_per,2.5
