time,subject,fuzzer,run,cov_type,cov
1619764917,lightftp,nyx,1,l_per,25.3
1619764917,lightftp,nyx,1,l_abs,286
1619764917,lightftp,nyx,1,b_per,13.4
1619764917,lightftp,nyx,1,b_abs,108
1619764918,lightftp,nyx,1,l_per,28.2
1619764918,lightftp,nyx,1,l_abs,319
1619764918,lightftp,nyx,1,b_per,15.7
1619764918,lightftp,nyx,1,b_abs,127
1619764918,lightftp,nyx,1,l_per,40.1
1619764918,lightftp,nyx,1,l_abs,453
1619764918,lightftp,nyx,1,b_per,24.3
1619764918,lightftp,nyx,1,b_abs,196
1619764918,lightftp,nyx,1,l_per,40.4
1619764918,lightftp,nyx,1,l_abs,457
1619764918,lightftp,nyx,1,b_per,24.4
1619764918,lightftp,nyx,1,b_abs,197
1619764918,lightftp,nyx,1,l_per,40.4
1619764918,lightftp,nyx,1,l_abs,457
1619764918,lightftp,nyx,1,b_per,24.4
1619764918,lightftp,nyx,1,b_abs,197
1619764919,lightftp,nyx,1,l_per,44.0
1619764919,lightftp,nyx,1,l_abs,498
1619764919,lightftp,nyx,1,b_per,26.6
1619764919,lightftp,nyx,1,b_abs,215
1619764919,lightftp,nyx,1,l_per,45.2
1619764919,lightftp,nyx,1,l_abs,511
1619764919,lightftp,nyx,1,b_per,28.1
1619764919,lightftp,nyx,1,b_abs,227
1619764919,lightftp,nyx,1,l_per,46.1
1619764919,lightftp,nyx,1,l_abs,521
1619764919,lightftp,nyx,1,b_per,28.9
1619764919,lightftp,nyx,1,b_abs,233
1619764921,lightftp,nyx,1,l_per,46.8
1619764921,lightftp,nyx,1,l_abs,529
1619764921,lightftp,nyx,1,b_per,29.6
1619764921,lightftp,nyx,1,b_abs,239
1619764922,lightftp,nyx,1,l_per,47.9
1619764922,lightftp,nyx,1,l_abs,542
1619764922,lightftp,nyx,1,b_per,30.2
1619764922,lightftp,nyx,1,b_abs,244
1619764922,lightftp,nyx,1,l_per,49.2
1619764922,lightftp,nyx,1,l_abs,556
1619764922,lightftp,nyx,1,b_per,31.2
1619764922,lightftp,nyx,1,b_abs,252
1619764923,lightftp,nyx,1,l_per,50.4
1619764923,lightftp,nyx,1,l_abs,570
1619764923,lightftp,nyx,1,b_per,32.1
1619764923,lightftp,nyx,1,b_abs,259
1619764923,lightftp,nyx,1,l_per,50.7
1619764923,lightftp,nyx,1,l_abs,573
1619764923,lightftp,nyx,1,b_per,32.2
1619764923,lightftp,nyx,1,b_abs,260
1619764923,lightftp,nyx,1,l_per,51.5
1619764923,lightftp,nyx,1,l_abs,582
1619764923,lightftp,nyx,1,b_per,33.1
1619764923,lightftp,nyx,1,b_abs,267
1619764924,lightftp,nyx,1,l_per,55.0
1619764924,lightftp,nyx,1,l_abs,622
1619764924,lightftp,nyx,1,b_per,35.4
1619764924,lightftp,nyx,1,b_abs,286
1619764924,lightftp,nyx,1,l_per,55.3
1619764924,lightftp,nyx,1,l_abs,626
1619764924,lightftp,nyx,1,b_per,36.1
1619764924,lightftp,nyx,1,b_abs,291
1619764925,lightftp,nyx,1,l_per,56.1
1619764925,lightftp,nyx,1,l_abs,635
1619764925,lightftp,nyx,1,b_per,37.1
1619764925,lightftp,nyx,1,b_abs,299
1619764926,lightftp,nyx,1,l_per,56.8
1619764926,lightftp,nyx,1,l_abs,642
1619764926,lightftp,nyx,1,b_per,37.7
1619764926,lightftp,nyx,1,b_abs,304
1619764928,lightftp,nyx,1,l_per,57.6
1619764928,lightftp,nyx,1,l_abs,652
1619764928,lightftp,nyx,1,b_per,38.4
1619764928,lightftp,nyx,1,b_abs,310
1619764934,lightftp,nyx,1,l_per,58.2
1619764934,lightftp,nyx,1,l_abs,658
1619764934,lightftp,nyx,1,b_per,38.8
1619764934,lightftp,nyx,1,b_abs,313
1619764942,lightftp,nyx,1,l_per,59.2
1619764942,lightftp,nyx,1,l_abs,669
1619764942,lightftp,nyx,1,b_per,39.4
1619764942,lightftp,nyx,1,b_abs,318
1619764951,lightftp,nyx,1,l_per,59.5
1619764951,lightftp,nyx,1,l_abs,674
1619764951,lightftp,nyx,1,b_per,39.8
1619764951,lightftp,nyx,1,b_abs,321
1619764963,lightftp,nyx,1,l_per,59.6
1619764963,lightftp,nyx,1,l_abs,675
1619764963,lightftp,nyx,1,b_per,39.9
1619764963,lightftp,nyx,1,b_abs,322
1619764979,lightftp,nyx,1,l_per,61.5
1619764979,lightftp,nyx,1,l_abs,696
1619764979,lightftp,nyx,1,b_per,42.1
1619764979,lightftp,nyx,1,b_abs,340
1619764993,lightftp,nyx,1,l_per,61.5
1619764993,lightftp,nyx,1,l_abs,696
1619764993,lightftp,nyx,1,b_per,42.3
1619764993,lightftp,nyx,1,b_abs,341
1619765007,lightftp,nyx,1,l_per,61.5
1619765007,lightftp,nyx,1,l_abs,696
1619765007,lightftp,nyx,1,b_per,42.5
1619765007,lightftp,nyx,1,b_abs,343
1619765035,lightftp,nyx,1,l_per,61.6
1619765035,lightftp,nyx,1,l_abs,697
1619765035,lightftp,nyx,1,b_per,43.0
1619765035,lightftp,nyx,1,b_abs,347
1619765065,lightftp,nyx,1,l_per,61.8
1619765065,lightftp,nyx,1,l_abs,700
1619765065,lightftp,nyx,1,b_per,44.7
1619765065,lightftp,nyx,1,b_abs,361
1619765110,lightftp,nyx,1,l_per,62.2
1619765110,lightftp,nyx,1,l_abs,704
1619765110,lightftp,nyx,1,b_per,45.1
1619765110,lightftp,nyx,1,b_abs,364
1619765136,lightftp,nyx,1,l_per,62.4
1619765136,lightftp,nyx,1,l_abs,706
1619765136,lightftp,nyx,1,b_per,45.4
1619765136,lightftp,nyx,1,b_abs,366
1619765197,lightftp,nyx,1,l_per,62.4
1619765197,lightftp,nyx,1,l_abs,706
1619765197,lightftp,nyx,1,b_per,45.4
1619765197,lightftp,nyx,1,b_abs,366
1619765360,lightftp,nyx,1,l_per,65.6
1619765360,lightftp,nyx,1,l_abs,743
1619765360,lightftp,nyx,1,b_per,47.0
1619765360,lightftp,nyx,1,b_abs,379
1619765678,lightftp,nyx,1,l_per,66.0
1619765678,lightftp,nyx,1,l_abs,747
1619765678,lightftp,nyx,1,b_per,47.3
1619765678,lightftp,nyx,1,b_abs,382
1619766422,lightftp,nyx,1,l_per,66.1
1619766422,lightftp,nyx,1,l_abs,748
1619766422,lightftp,nyx,1,b_per,47.7
1619766422,lightftp,nyx,1,b_abs,385
1619770240,lightftp,nyx,1,l_per,66.1
1619770240,lightftp,nyx,1,l_abs,748
1619770240,lightftp,nyx,1,b_per,47.7
1619770240,lightftp,nyx,1,b_abs,385
1619775304,lightftp,nyx,1,l_per,66.1
1619775304,lightftp,nyx,1,l_abs,748
1619775304,lightftp,nyx,1,b_per,47.8
1619775304,lightftp,nyx,1,b_abs,386
1619792329,lightftp,nyx,1,l_per,66.3
1619792329,lightftp,nyx,1,l_abs,750
1619792329,lightftp,nyx,1,b_per,48.1
1619792329,lightftp,nyx,1,b_abs,388
1619806669,lightftp,nyx,1,l_per,66.3
1619806669,lightftp,nyx,1,l_abs,750
1619806669,lightftp,nyx,1,b_per,48.9
1619806669,lightftp,nyx,1,b_abs,395
1619806669,lightftp,nyx,1,l_per,66.3
1619806669,lightftp,nyx,1,l_abs,750
1619806669,lightftp,nyx,1,b_per,48.9
1619806669,lightftp,nyx,1,b_abs,395
1619764917,lightftp,nyx,2,l_per,25.3
1619764917,lightftp,nyx,2,l_abs,286
1619764917,lightftp,nyx,2,b_per,13.3
1619764917,lightftp,nyx,2,b_abs,107
1619764918,lightftp,nyx,2,l_per,27.9
1619764918,lightftp,nyx,2,l_abs,315
