time,subject,fuzzer,run,cov_type,cov
1619765092,openssh,nyx,1,l_per,19.4
1619765092,openssh,nyx,1,l_abs,4054
1619765092,openssh,nyx,1,b_per,12.8
1619765092,openssh,nyx,1,b_abs,2193
1619765092,openssh,nyx,1,l_per,24.2
1619765092,openssh,nyx,1,l_abs,5063
1619765092,openssh,nyx,1,b_per,15.8
1619765092,openssh,nyx,1,b_abs,2704
1619765092,openssh,nyx,1,l_per,24.6
1619765092,openssh,nyx,1,l_abs,5151
1619765092,openssh,nyx,1,b_per,16.1
1619765092,openssh,nyx,1,b_abs,2749
1619765096,openssh,nyx,1,l_per,24.7
1619765096,openssh,nyx,1,l_abs,5159
1619765096,openssh,nyx,1,b_per,16.1
1619765096,openssh,nyx,1,b_abs,2755
1619765099,openssh,nyx,1,l_per,24.8
1619765099,openssh,nyx,1,l_abs,5190
1619765099,openssh,nyx,1,b_per,16.4
1619765099,openssh,nyx,1,b_abs,2801
1619765104,openssh,nyx,1,l_per,25.0
1619765104,openssh,nyx,1,l_abs,5223
1619765104,openssh,nyx,1,b_per,16.5
1619765104,openssh,nyx,1,b_abs,2822
1619765106,openssh,nyx,1,l_per,25.0
1619765106,openssh,nyx,1,l_abs,5238
1619765106,openssh,nyx,1,b_per,16.6
1619765106,openssh,nyx,1,b_abs,2840
1619765108,openssh,nyx,1,l_per,25.1
1619765108,openssh,nyx,1,l_abs,5242
1619765108,openssh,nyx,1,b_per,16.6
1619765108,openssh,nyx,1,b_abs,2845
1619765109,openssh,nyx,1,l_per,27.8
1619765109,openssh,nyx,1,l_abs,5831
1619765109,openssh,nyx,1,b_per,17.7
1619765109,openssh,nyx,1,b_abs,3023
1619765110,openssh,nyx,1,l_per,27.9
1619765110,openssh,nyx,1,l_abs,5836
1619765110,openssh,nyx,1,b_per,17.7
1619765110,openssh,nyx,1,b_abs,3032
1619765113,openssh,nyx,1,l_per,28.3
1619765113,openssh,nyx,1,l_abs,5928
1619765113,openssh,nyx,1,b_per,17.9
1619765113,openssh,nyx,1,b_abs,3057
1619765116,openssh,nyx,1,l_per,28.4
1619765116,openssh,nyx,1,l_abs,5938
1619765116,openssh,nyx,1,b_per,17.9
1619765116,openssh,nyx,1,b_abs,3065
1619765117,openssh,nyx,1,l_per,28.6
1619765117,openssh,nyx,1,l_abs,5987
1619765117,openssh,nyx,1,b_per,18.1
1619765117,openssh,nyx,1,b_abs,3091
1619765119,openssh,nyx,1,l_per,28.7
1619765119,openssh,nyx,1,l_abs,6021
1619765119,openssh,nyx,1,b_per,18.2
1619765119,openssh,nyx,1,b_abs,3121
1619765123,openssh,nyx,1,l_per,28.7
1619765123,openssh,nyx,1,l_abs,6021
1619765123,openssh,nyx,1,b_per,18.3
1619765123,openssh,nyx,1,b_abs,3128
1619765129,openssh,nyx,1,l_per,30.0
1619765129,openssh,nyx,1,l_abs,6278
1619765129,openssh,nyx,1,b_per,18.6
1619765129,openssh,nyx,1,b_abs,3182
1619765134,openssh,nyx,1,l_per,30.0
1619765134,openssh,nyx,1,l_abs,6292
1619765134,openssh,nyx,1,b_per,18.7
1619765134,openssh,nyx,1,b_abs,3193
1619765140,openssh,nyx,1,l_per,30.3
1619765140,openssh,nyx,1,l_abs,6347
1619765140,openssh,nyx,1,b_per,18.9
1619765140,openssh,nyx,1,b_abs,3233
1619765146,openssh,nyx,1,l_per,30.3
1619765146,openssh,nyx,1,l_abs,6347
1619765146,openssh,nyx,1,b_per,18.9
1619765146,openssh,nyx,1,b_abs,3238
1619765155,openssh,nyx,1,l_per,30.4
1619765155,openssh,nyx,1,l_abs,6370
1619765155,openssh,nyx,1,b_per,19.1
1619765155,openssh,nyx,1,b_abs,3262
1619765170,openssh,nyx,1,l_per,30.5
1619765170,openssh,nyx,1,l_abs,6399
1619765170,openssh,nyx,1,b_per,19.2
1619765170,openssh,nyx,1,b_abs,3278
1619765182,openssh,nyx,1,l_per,30.6
1619765182,openssh,nyx,1,l_abs,6411
1619765182,openssh,nyx,1,b_per,19.2
1619765182,openssh,nyx,1,b_abs,3287
1619765191,openssh,nyx,1,l_per,31.2
1619765191,openssh,nyx,1,l_abs,6533
1619765191,openssh,nyx,1,b_per,19.6
1619765191,openssh,nyx,1,b_abs,3360
1619765200,openssh,nyx,1,l_per,31.2
1619765200,openssh,nyx,1,l_abs,6535
1619765200,openssh,nyx,1,b_per,19.7
1619765200,openssh,nyx,1,b_abs,3370
1619765212,openssh,nyx,1,l_per,31.2
1619765212,openssh,nyx,1,l_abs,6543
1619765212,openssh,nyx,1,b_per,19.7
1619765212,openssh,nyx,1,b_abs,3377
1619765225,openssh,nyx,1,l_per,31.3
1619765225,openssh,nyx,1,l_abs,6554
1619765225,openssh,nyx,1,b_per,19.8
1619765225,openssh,nyx,1,b_abs,3394
1619765240,openssh,nyx,1,l_per,31.3
1619765240,openssh,nyx,1,l_abs,6555
1619765240,openssh,nyx,1,b_per,19.9
1619765240,openssh,nyx,1,b_abs,3398
1619765261,openssh,nyx,1,l_per,31.3
1619765261,openssh,nyx,1,l_abs,6560
1619765261,openssh,nyx,1,b_per,19.9
1619765261,openssh,nyx,1,b_abs,3404
1619765268,openssh,nyx,1,l_per,31.6
1619765268,openssh,nyx,1,l_abs,6613
1619765268,openssh,nyx,1,b_per,20.1
1619765268,openssh,nyx,1,b_abs,3441
1619765277,openssh,nyx,1,l_per,31.6
1619765277,openssh,nyx,1,l_abs,6613
1619765277,openssh,nyx,1,b_per,20.1
1619765277,openssh,nyx,1,b_abs,3445
1619765297,openssh,nyx,1,l_per,31.7
1619765297,openssh,nyx,1,l_abs,6631
1619765297,openssh,nyx,1,b_per,20.2
1619765297,openssh,nyx,1,b_abs,3455
1619765326,openssh,nyx,1,l_per,31.7
1619765326,openssh,nyx,1,l_abs,6634
1619765326,openssh,nyx,1,b_per,20.2
1619765326,openssh,nyx,1,b_abs,3462
1619765340,openssh,nyx,1,l_per,31.7
1619765340,openssh,nyx,1,l_abs,6635
1619765340,openssh,nyx,1,b_per,20.3
1619765340,openssh,nyx,1,b_abs,3469
1619765368,openssh,nyx,1,l_per,31.7
1619765368,openssh,nyx,1,l_abs,6639
1619765368,openssh,nyx,1,b_per,20.3
1619765368,openssh,nyx,1,b_abs,3472
1619765408,openssh,nyx,1,l_per,31.8
1619765408,openssh,nyx,1,l_abs,6653
1619765408,openssh,nyx,1,b_per,20.3
1619765408,openssh,nyx,1,b_abs,3480
1619765481,openssh,nyx,1,l_per,31.8
1619765481,openssh,nyx,1,l_abs,6659
1619765481,openssh,nyx,1,b_per,20.4
1619765481,openssh,nyx,1,b_abs,3487
1619765605,openssh,nyx,1,l_per,31.8
1619765605,openssh,nyx,1,l_abs,6661
1619765605,openssh,nyx,1,b_per,20.4
1619765605,openssh,nyx,1,b_abs,3491
1619765785,openssh,nyx,1,l_per,31.8
1619765785,openssh,nyx,1,l_abs,6667
1619765785,openssh,nyx,1,b_per,20.4
1619765785,openssh,nyx,1,b_abs,3499
1619765929,openssh,nyx,1,l_per,31.9
