time,subject,fuzzer,run,cov_type,cov
1619853479,openssl,aflnet,1,l_per,13.0
1619853479,openssl,aflnet,1,l_abs,18676
1619853479,openssl,aflnet,1,b_per,8.7
1619853479,openssl,aflnet,1,b_abs,7910
1619853488,openssl,aflnet,1,l_per,13.0
1619853488,openssl,aflnet,1,l_abs,18727
1619853488,openssl,aflnet,1,b_per,8.7
1619853488,openssl,aflnet,1,b_abs,7972
1619853523,openssl,aflnet,1,l_per,13.0
1619853523,openssl,aflnet,1,l_abs,18755
1619853523,openssl,aflnet,1,b_per,8.8
1619853523,openssl,aflnet,1,b_abs,7996
1619853546,openssl,aflnet,1,l_per,13.0
1619853546,openssl,aflnet,1,l_abs,18761
1619853546,openssl,aflnet,1,b_per,8.8
1619853546,openssl,aflnet,1,b_abs,8002
1619853586,openssl,aflnet,1,l_per,13.0
1619853586,openssl,aflnet,1,l_abs,18790
1619853586,openssl,aflnet,1,b_per,8.8
1619853586,openssl,aflnet,1,b_abs,8011
1619853625,openssl,aflnet,1,l_per,13.1
1619853625,openssl,aflnet,1,l_abs,18799
1619853625,openssl,aflnet,1,b_per,8.8
1619853625,openssl,aflnet,1,b_abs,8021
1619853659,openssl,aflnet,1,l_per,13.1
1619853659,openssl,aflnet,1,l_abs,18806
1619853659,openssl,aflnet,1,b_per,8.8
1619853659,openssl,aflnet,1,b_abs,8025
1619853705,openssl,aflnet,1,l_per,13.1
1619853705,openssl,aflnet,1,l_abs,18811
1619853705,openssl,aflnet,1,b_per,8.8
1619853705,openssl,aflnet,1,b_abs,8030
1619853743,openssl,aflnet,1,l_per,13.4
1619853743,openssl,aflnet,1,l_abs,19311
1619853743,openssl,aflnet,1,b_per,9.2
1619853743,openssl,aflnet,1,b_abs,8364
1619853768,openssl,aflnet,1,l_per,13.4
1619853768,openssl,aflnet,1,l_abs,19325
1619853768,openssl,aflnet,1,b_per,9.2
1619853768,openssl,aflnet,1,b_abs,8373
1619853802,openssl,aflnet,1,l_per,13.4
1619853802,openssl,aflnet,1,l_abs,19326
1619853802,openssl,aflnet,1,b_per,9.2
1619853802,openssl,aflnet,1,b_abs,8375
1619853849,openssl,aflnet,1,l_per,13.4
1619853849,openssl,aflnet,1,l_abs,19330
1619853849,openssl,aflnet,1,b_per,9.2
1619853849,openssl,aflnet,1,b_abs,8378
1619853909,openssl,aflnet,1,l_per,13.4
1619853909,openssl,aflnet,1,l_abs,19330
1619853909,openssl,aflnet,1,b_per,9.2
1619853909,openssl,aflnet,1,b_abs,8379
1619853977,openssl,aflnet,1,l_per,13.4
1619853977,openssl,aflnet,1,l_abs,19343
1619853977,openssl,aflnet,1,b_per,9.2
1619853977,openssl,aflnet,1,b_abs,8390
1619854029,openssl,aflnet,1,l_per,13.4
1619854029,openssl,aflnet,1,l_abs,19344
1619854029,openssl,aflnet,1,b_per,9.2
1619854029,openssl,aflnet,1,b_abs,8393
1619854140,openssl,aflnet,1,l_per,13.4
1619854140,openssl,aflnet,1,l_abs,19346
1619854140,openssl,aflnet,1,b_per,9.2
1619854140,openssl,aflnet,1,b_abs,8394
1619854201,openssl,aflnet,1,l_per,13.4
1619854201,openssl,aflnet,1,l_abs,19350
1619854201,openssl,aflnet,1,b_per,9.2
1619854201,openssl,aflnet,1,b_abs,8398
1619854234,openssl,aflnet,1,l_per,13.4
1619854234,openssl,aflnet,1,l_abs,19357
1619854234,openssl,aflnet,1,b_per,9.2
1619854234,openssl,aflnet,1,b_abs,8403
1619854285,openssl,aflnet,1,l_per,13.7
1619854285,openssl,aflnet,1,l_abs,19667
1619854285,openssl,aflnet,1,b_per,9.4
1619854285,openssl,aflnet,1,b_abs,8550
1619854378,openssl,aflnet,1,l_per,13.7
1619854378,openssl,aflnet,1,l_abs,19668
1619854378,openssl,aflnet,1,b_per,9.4
1619854378,openssl,aflnet,1,b_abs,8552
1619854461,openssl,aflnet,1,l_per,13.7
1619854461,openssl,aflnet,1,l_abs,19670
1619854461,openssl,aflnet,1,b_per,9.4
1619854461,openssl,aflnet,1,b_abs,8554
1619854566,openssl,aflnet,1,l_per,13.8
1619854566,openssl,aflnet,1,l_abs,19916
1619854566,openssl,aflnet,1,b_per,9.5
1619854566,openssl,aflnet,1,b_abs,8646
1619854754,openssl,aflnet,1,l_per,13.8
1619854754,openssl,aflnet,1,l_abs,19937
1619854754,openssl,aflnet,1,b_per,9.5
1619854754,openssl,aflnet,1,b_abs,8665
1619854814,openssl,aflnet,1,l_per,13.8
1619854814,openssl,aflnet,1,l_abs,19937
1619854814,openssl,aflnet,1,b_per,9.5
1619854814,openssl,aflnet,1,b_abs,8665
1619854925,openssl,aflnet,1,l_per,13.8
1619854925,openssl,aflnet,1,l_abs,19937
1619854925,openssl,aflnet,1,b_per,9.5
1619854925,openssl,aflnet,1,b_abs,8667
1619855013,openssl,aflnet,1,l_per,13.8
1619855013,openssl,aflnet,1,l_abs,19937
1619855013,openssl,aflnet,1,b_per,9.5
1619855013,openssl,aflnet,1,b_abs,8667
1619855185,openssl,aflnet,1,l_per,13.8
1619855185,openssl,aflnet,1,l_abs,19939
1619855185,openssl,aflnet,1,b_per,9.5
1619855185,openssl,aflnet,1,b_abs,8670
1619855401,openssl,aflnet,1,l_per,13.8
1619855401,openssl,aflnet,1,l_abs,19939
1619855401,openssl,aflnet,1,b_per,9.5
1619855401,openssl,aflnet,1,b_abs,8670
1619855446,openssl,aflnet,1,l_per,13.8
1619855446,openssl,aflnet,1,l_abs,19940
1619855446,openssl,aflnet,1,b_per,9.5
1619855446,openssl,aflnet,1,b_abs,8673
1619855501,openssl,aflnet,1,l_per,13.8
1619855501,openssl,aflnet,1,l_abs,19940
1619855501,openssl,aflnet,1,b_per,9.5
1619855501,openssl,aflnet,1,b_abs,8674
1619855595,openssl,aflnet,1,l_per,13.8
1619855595,openssl,aflnet,1,l_abs,19945
1619855595,openssl,aflnet,1,b_per,9.5
1619855595,openssl,aflnet,1,b_abs,8679
1619855658,openssl,aflnet,1,l_per,13.8
1619855658,openssl,aflnet,1,l_abs,19945
1619855658,openssl,aflnet,1,b_per,9.5
1619855658,openssl,aflnet,1,b_abs,8679
1619855761,openssl,aflnet,1,l_per,13.8
1619855761,openssl,aflnet,1,l_abs,19945
