time,subject,fuzzer,run,cov_type,cov
1619765087,openssl,nyx,1,l_per,13.0
1619765087,openssl,nyx,1,l_abs,18733
1619765087,openssl,nyx,1,b_per,8.8
1619765087,openssl,nyx,1,b_abs,7983
1619765087,openssl,nyx,1,l_per,13.0
1619765087,openssl,nyx,1,l_abs,18771
1619765087,openssl,nyx,1,b_per,8.8
1619765087,openssl,nyx,1,b_abs,8011
1619765088,openssl,nyx,1,l_per,13.1
1619765088,openssl,nyx,1,l_abs,18829
1619765088,openssl,nyx,1,b_per,8.8
1619765088,openssl,nyx,1,b_abs,8062
1619765088,openssl,nyx,1,l_per,13.1
1619765088,openssl,nyx,1,l_abs,18847
1619765088,openssl,nyx,1,b_per,8.9
1619765088,openssl,nyx,1,b_abs,8078
1619765088,openssl,nyx,1,l_per,13.6
1619765088,openssl,nyx,1,l_abs,19612
1619765088,openssl,nyx,1,b_per,9.3
1619765088,openssl,nyx,1,b_abs,8498
1619765089,openssl,nyx,1,l_per,13.6
1619765089,openssl,nyx,1,l_abs,19628
1619765089,openssl,nyx,1,b_per,9.3
1619765089,openssl,nyx,1,b_abs,8512
1619765090,openssl,nyx,1,l_per,13.8
1619765090,openssl,nyx,1,l_abs,19885
1619765090,openssl,nyx,1,b_per,9.5
1619765090,openssl,nyx,1,b_abs,8697
1619765090,openssl,nyx,1,l_per,13.8
1619765090,openssl,nyx,1,l_abs,19938
1619765090,openssl,nyx,1,b_per,9.6
1619765090,openssl,nyx,1,b_abs,8754
1619765091,openssl,nyx,1,l_per,13.8
1619765091,openssl,nyx,1,l_abs,19943
1619765091,openssl,nyx,1,b_per,9.6
1619765091,openssl,nyx,1,b_abs,8759
1619765092,openssl,nyx,1,l_per,14.0
1619765092,openssl,nyx,1,l_abs,20206
1619765092,openssl,nyx,1,b_per,9.7
1619765092,openssl,nyx,1,b_abs,8858
1619765093,openssl,nyx,1,l_per,14.4
1619765093,openssl,nyx,1,l_abs,20805
1619765093,openssl,nyx,1,b_per,10.0
1619765093,openssl,nyx,1,b_abs,9136
1619765093,openssl,nyx,1,l_per,14.4
1619765093,openssl,nyx,1,l_abs,20810
1619765093,openssl,nyx,1,b_per,10.0
1619765093,openssl,nyx,1,b_abs,9144
1619765094,openssl,nyx,1,l_per,14.5
1619765094,openssl,nyx,1,l_abs,20840
1619765094,openssl,nyx,1,b_per,10.1
1619765094,openssl,nyx,1,b_abs,9167
1619765097,openssl,nyx,1,l_per,14.5
1619765097,openssl,nyx,1,l_abs,20876
1619765097,openssl,nyx,1,b_per,10.1
1619765097,openssl,nyx,1,b_abs,9186
1619765098,openssl,nyx,1,l_per,14.7
1619765098,openssl,nyx,1,l_abs,21227
1619765098,openssl,nyx,1,b_per,10.2
1619765098,openssl,nyx,1,b_abs,9314
1619765100,openssl,nyx,1,l_per,14.8
1619765100,openssl,nyx,1,l_abs,21257
1619765100,openssl,nyx,1,b_per,10.2
1619765100,openssl,nyx,1,b_abs,9342
1619765101,openssl,nyx,1,l_per,15.1
1619765101,openssl,nyx,1,l_abs,21730
1619765101,openssl,nyx,1,b_per,10.5
1619765101,openssl,nyx,1,b_abs,9576
1619765104,openssl,nyx,1,l_per,15.1
1619765104,openssl,nyx,1,l_abs,21735
1619765104,openssl,nyx,1,b_per,10.5
1619765104,openssl,nyx,1,b_abs,9584
1619765108,openssl,nyx,1,l_per,15.1
1619765108,openssl,nyx,1,l_abs,21758
1619765108,openssl,nyx,1,b_per,10.5
1619765108,openssl,nyx,1,b_abs,9601
1619765109,openssl,nyx,1,l_per,15.1
1619765109,openssl,nyx,1,l_abs,21788
1619765109,openssl,nyx,1,b_per,10.5
1619765109,openssl,nyx,1,b_abs,9619
1619765113,openssl,nyx,1,l_per,15.1
1619765113,openssl,nyx,1,l_abs,21795
1619765113,openssl,nyx,1,b_per,10.6
1619765113,openssl,nyx,1,b_abs,9626
1619765119,openssl,nyx,1,l_per,15.4
1619765119,openssl,nyx,1,l_abs,22199
1619765119,openssl,nyx,1,b_per,10.7
1619765119,openssl,nyx,1,b_abs,9764
1619765122,openssl,nyx,1,l_per,15.4
1619765122,openssl,nyx,1,l_abs,22213
1619765122,openssl,nyx,1,b_per,10.7
1619765122,openssl,nyx,1,b_abs,9773
1619765134,openssl,nyx,1,l_per,15.4
1619765134,openssl,nyx,1,l_abs,22243
1619765134,openssl,nyx,1,b_per,10.7
1619765134,openssl,nyx,1,b_abs,9798
1619765146,openssl,nyx,1,l_per,15.4
1619765146,openssl,nyx,1,l_abs,22256
1619765146,openssl,nyx,1,b_per,10.8
1619765146,openssl,nyx,1,b_abs,9809
1619765163,openssl,nyx,1,l_per,15.5
1619765163,openssl,nyx,1,l_abs,22264
1619765163,openssl,nyx,1,b_per,10.8
1619765163,openssl,nyx,1,b_abs,9819
1619765177,openssl,nyx,1,l_per,15.5
1619765177,openssl,nyx,1,l_abs,22286
1619765177,openssl,nyx,1,b_per,10.8
1619765177,openssl,nyx,1,b_abs,9831
1619765201,openssl,nyx,1,l_per,15.5
1619765201,openssl,nyx,1,l_abs,22299
1619765201,openssl,nyx,1,b_per,10.8
1619765201,openssl,nyx,1,b_abs,9839
1619765227,openssl,nyx,1,l_per,15.5
1619765227,openssl,nyx,1,l_abs,22324
1619765227,openssl,nyx,1,b_per,10.8
1619765227,openssl,nyx,1,b_abs,9859
1619765246,openssl,nyx,1,l_per,15.5
1619765246,openssl,nyx,1,l_abs,22332
1619765246,openssl,nyx,1,b_per,10.8
1619765246,openssl,nyx,1,b_abs,9864
1619765261,openssl,nyx,1,l_per,15.5
1619765261,openssl,nyx,1,l_abs,22394
1619765261,openssl,nyx,1,b_per,10.9
1619765261,openssl,nyx,1,b_abs,9899
1619765325,openssl,nyx,1,l_per,15.5
1619765325,openssl,nyx,1,l_abs,22407
1619765325,openssl,nyx,1,b_per,10.9
1619765325,openssl,nyx,1,b_abs,9908
1619765351,openssl,nyx,1,l_per,15.6
1619765351,openssl,nyx,1,l_abs,22514
1619765351,openssl,nyx,1,b_per,10.9
1619765351,openssl,nyx,1,b_abs,9986
1619765390,openssl,nyx,1,l_per,15.6
1619765390,openssl,nyx,1,l_abs,22519
1619765390,openssl,nyx,1,b_per,11.0
1619765390,openssl,nyx,1,b_abs,9992
1619765438,openssl,nyx,1,l_per,15.6
1619765438,openssl,nyx,1,l_abs,22529
1619765438,openssl,nyx,1,b_per,11.0
1619765438,openssl,nyx,1,b_abs,10008
1619765483,openssl,nyx,1,l_per,15.6
1619765483,openssl,nyx,1,l_abs,22536
1619765483,openssl,nyx,1,b_per,11.0
1619765483,openssl,nyx,1,b_abs,10014
1619765560,openssl,nyx,1,l_per,15.7
1619765560,openssl,nyx,1,l_abs,22558
1619765560,openssl,nyx,1,b_per,11.0
1619765560,openssl,nyx,1,b_abs,10027
1619765641,openssl,nyx,1,l_per,15.7
1619765641,openssl,nyx,1,l_abs,22587
1619765641,openssl,nyx,1,b_per,11.0
1619765641,openssl,nyx,1,b_abs,10043
1619765771,openssl,nyx,1,l_per,15.7
1619765771,openssl,nyx,1,l_abs,22610
1619765771,openssl,nyx,1,b_per,11.0
1619765771,openssl,nyx,1,b_abs,10059
1619765960,openssl,nyx,1,l_per,15.7
1619765960,openssl,nyx,1,l_abs,22624
1619765960,openssl,nyx,1,b_per,11.0
1619765960,openssl,nyx,1,b_abs,10070
1619766137,openssl,nyx,1,l_per,15.7
1619766137,openssl,nyx,1,l_abs,22669
1619766137,openssl,nyx,1,b_per,11.1
1619766137,openssl,nyx,1,b_abs,10098
1619766325,openssl,nyx,1,l_per,15.7
1619766325,openssl,nyx,1,l_abs,22684
1619766325,openssl,nyx,1,b_per,11.1
1619766325,openssl,nyx,1,b_abs,10107
1619766458,openssl,nyx,1,l_per,15.7
1619766458,openssl,nyx,1,l_abs,22691
1619766458,openssl,nyx,1,b_per,11.1
1619766458,openssl,nyx,1,b_abs,10113
1619766604,openssl,nyx,1,l_per,15.8
1619766604,openssl,nyx,1,l_abs,22705
1619766604,openssl,nyx,1,b_per,11.1
1619766604,openssl,nyx,1,b_abs,10123
1619766993,openssl,nyx,1,l_per,15.8
1619766993,openssl,nyx,1,l_abs,22724
1619766993,openssl,nyx,1,b_per,11.1
1619766993,openssl,nyx,1,b_abs,10139
1619767792,openssl,nyx,1,l_per,15.8
1619767792,openssl,nyx,1,l_abs,22729
1619767792,openssl,nyx,1,b_per,11.1
1619767792,openssl,nyx,1,b_abs,10142
1619768082,openssl,nyx,1,l_per,15.8
1619768082,openssl,nyx,1,l_abs,22753
1619768082,openssl,nyx,1,b_per,11.1
1619768082,openssl,nyx,1,b_abs,10166
1619768393,openssl,nyx,1,l_per,15.8
1619768393,openssl,nyx,1,l_abs,22770
1619768393,openssl,nyx,1,b_per,11.2
1619768393,openssl,nyx,1,b_abs,10180
1619769707,openssl,nyx,1,l_per,15.8
1619769707,openssl,nyx,1,l_abs,22797
1619769707,openssl,nyx,1,b_per,11.2
1619769707,openssl,nyx,1,b_abs,10193
1619770549,openssl,nyx,1,l_per,16.4
1619770549,openssl,nyx,1,l_abs,23668
1619770549,openssl,nyx,1,b_per,11.6
1619770549,openssl,nyx,1,b_abs,10624
1619773776,openssl,nyx,1,l_per,16.4
1619773776,openssl,nyx,1,l_abs,23704
1619773776,openssl,nyx,1,b_per,11.7
1619773776,openssl,nyx,1,b_abs,10652
1619779585,openssl,nyx,1,l_per,16.5
1619779585,openssl,nyx,1,l_abs,23770
1619779585,openssl,nyx,1,b_per,11.7
1619779585,openssl,nyx,1,b_abs,10684
1619787943,openssl,nyx,1,l_per,16.9
1619787943,openssl,nyx,1,l_abs,24368
1619787943,openssl,nyx,1,b_per,12.0
1619787943,openssl,nyx,1,b_abs,10946
1619791801,openssl,nyx,1,l_per,16.9
1619791801,openssl,nyx,1,l_abs,24389
1619791801,openssl,nyx,1,b_per,12.0
1619791801,openssl,nyx,1,b_abs,10968
1619804124,openssl,nyx,1,l_per,17.0
1619804124,openssl,nyx,1,l_abs,24439
1619804124,openssl,nyx,1,b_per,12.1
1619804124,openssl,nyx,1,b_abs,10995
1619827086,openssl,nyx,1,l_per,17.0
1619827086,openssl,nyx,1,l_abs,24439
1619827086,openssl,nyx,1,b_per,12.1
1619827086,openssl,nyx,1,b_abs,10995
1619765089,openssl,nyx,2,l_per,13.0
1619765089,openssl,nyx,2,l_abs,18721
1619765089,openssl,nyx,2,b_per,8.7
1619765089,openssl,nyx,2,b_abs,7969
1619765090,openssl,nyx,2,l_per,13.0
1619765090,openssl,nyx,2,l_abs,18762
1619765090,openssl,nyx,2,b_per,8.8
1619765090,openssl,nyx,2,b_abs,7999
1619765090,openssl,nyx,2,l_per,13.0
1619765090,openssl,nyx,2,l_abs,18789
1619765090,openssl,nyx,2,b_per,8.8
1619765090,openssl,nyx,2,b_abs,8024
1619765091,openssl,nyx,2,l_per,13.1
1619765091,openssl,nyx,2,l_abs,18816
1619765091,openssl,nyx,2,b_per,8.8
1619765091,openssl,nyx,2,b_abs,8050
1619765091,openssl,nyx,2,l_per,13.1
1619765091,openssl,nyx,2,l_abs,18831
1619765091,openssl,nyx,2,b_per,8.8
1619765091,openssl,nyx,2,b_abs,8063
1619765091,openssl,nyx,2,l_per,13.4
1619765091,openssl,nyx,2,l_abs,19309
1619765091,openssl,nyx,2,b_per,9.2
1619765091,openssl,nyx,2,b_abs,8373
1619765092,openssl,nyx,2,l_per,13.4
1619765092,openssl,nyx,2,l_abs,19346
1619765092,openssl,nyx,2,b_per,9.2
1619765092,openssl,nyx,2,b_abs,8392
1619765093,openssl,nyx,2,l_per,13.6
1619765093,openssl,nyx,2,l_abs,19594
1619765093,openssl,nyx,2,b_per,9.3
1619765093,openssl,nyx,2,b_abs,8485
1619765094,openssl,nyx,2,l_per,13.6
1619765094,openssl,nyx,2,l_abs,19609
1619765094,openssl,nyx,2,b_per,9.3
1619765094,openssl,nyx,2,b_abs,8495
1619765095,openssl,nyx,2,l_per,13.8
1619765095,openssl,nyx,2,l_abs,19920
1619765095,openssl,nyx,2,b_per,9.5
1619765095,openssl,nyx,2,b_abs,8647
1619765096,openssl,nyx,2,l_per,14.5
1619765096,openssl,nyx,2,l_abs,20819
1619765096,openssl,nyx,2,b_per,9.9
1619765096,openssl,nyx,2,b_abs,9027
1619765097,openssl,nyx,2,l_per,14.5
1619765097,openssl,nyx,2,l_abs,20884
1619765097,openssl,nyx,2,b_per,9.9
1619765097,openssl,nyx,2,b_abs,9062
1619765099,openssl,nyx,2,l_per,14.5
1619765099,openssl,nyx,2,l_abs,20894
1619765099,openssl,nyx,2,b_per,10.0
1619765099,openssl,nyx,2,b_abs,9076
1619765101,openssl,nyx,2,l_per,14.5
1619765101,openssl,nyx,2,l_abs,20903
1619765101,openssl,nyx,2,b_per,10.0
1619765101,openssl,nyx,2,b_abs,9093
1619765103,openssl,nyx,2,l_per,14.6
1619765103,openssl,nyx,2,l_abs,20963
1619765103,openssl,nyx,2,b_per,10.0
1619765103,openssl,nyx,2,b_abs,9121
1619765105,openssl,nyx,2,l_per,14.9
1619765105,openssl,nyx,2,l_abs,21440
1619765105,openssl,nyx,2,b_per,10.3
1619765105,openssl,nyx,2,b_abs,9358
1619765108,openssl,nyx,2,l_per,14.9
1619765108,openssl,nyx,2,l_abs,21522
1619765108,openssl,nyx,2,b_per,10.3
1619765108,openssl,nyx,2,b_abs,9426
1619765109,openssl,nyx,2,l_per,15.0
1619765109,openssl,nyx,2,l_abs,21539
1619765109,openssl,nyx,2,b_per,10.3
1619765109,openssl,nyx,2,b_abs,9438
1619765111,openssl,nyx,2,l_per,15.0
1619765111,openssl,nyx,2,l_abs,21556
1619765111,openssl,nyx,2,b_per,10.4
1619765111,openssl,nyx,2,b_abs,9453
1619765115,openssl,nyx,2,l_per,15.0
1619765115,openssl,nyx,2,l_abs,21572
1619765115,openssl,nyx,2,b_per,10.4
1619765115,openssl,nyx,2,b_abs,9468
1619765117,openssl,nyx,2,l_per,15.2
1619765117,openssl,nyx,2,l_abs,21966
1619765117,openssl,nyx,2,b_per,10.5
1619765117,openssl,nyx,2,b_abs,9604
1619765119,openssl,nyx,2,l_per,15.2
1619765119,openssl,nyx,2,l_abs,21975
1619765119,openssl,nyx,2,b_per,10.5
1619765119,openssl,nyx,2,b_abs,9613
1619765128,openssl,nyx,2,l_per,15.3
1619765128,openssl,nyx,2,l_abs,21983
1619765128,openssl,nyx,2,b_per,10.5
1619765128,openssl,nyx,2,b_abs,9621
1619765140,openssl,nyx,2,l_per,15.3
1619765140,openssl,nyx,2,l_abs,22047
1619765140,openssl,nyx,2,b_per,10.6
1619765140,openssl,nyx,2,b_abs,9656
1619765150,openssl,nyx,2,l_per,15.4
1619765150,openssl,nyx,2,l_abs,22124
1619765150,openssl,nyx,2,b_per,10.6
1619765150,openssl,nyx,2,b_abs,9708
1619765157,openssl,nyx,2,l_per,15.4
1619765157,openssl,nyx,2,l_abs,22157
1619765157,openssl,nyx,2,b_per,10.7
1619765157,openssl,nyx,2,b_abs,9735
1619765166,openssl,nyx,2,l_per,15.4
1619765166,openssl,nyx,2,l_abs,22169
1619765166,openssl,nyx,2,b_per,10.7
1619765166,openssl,nyx,2,b_abs,9745
1619765175,openssl,nyx,2,l_per,15.4
1619765175,openssl,nyx,2,l_abs,22196
1619765175,openssl,nyx,2,b_per,10.7
1619765175,openssl,nyx,2,b_abs,9770
1619765188,openssl,nyx,2,l_per,15.4
1619765188,openssl,nyx,2,l_abs,22199
1619765188,openssl,nyx,2,b_per,10.7
1619765188,openssl,nyx,2,b_abs,9772
1619765197,openssl,nyx,2,l_per,15.5
1619765197,openssl,nyx,2,l_abs,22264
1619765197,openssl,nyx,2,b_per,10.8
1619765197,openssl,nyx,2,b_abs,9814
1619765235,openssl,nyx,2,l_per,15.5
1619765235,openssl,nyx,2,l_abs,22272
