time,subject,fuzzer,run,cov_type,cov
1619851545,proftpd,aflnet,1,l_per,0.0
1619851545,proftpd,aflnet,1,l_abs,0
1619851545,proftpd,aflnet,1,b_per,0.0
1619851545,proftpd,aflnet,1,b_abs,0
1619851546,proftpd,aflnet,1,l_per,0.0
1619851546,proftpd,aflnet,1,l_abs,0
1619851546,proftpd,aflnet,1,b_per,0.0
1619851546,proftpd,aflnet,1,b_abs,0
1619851547,proftpd,aflnet,1,l_per,0.0
1619851547,proftpd,aflnet,1,l_abs,0
1619851547,proftpd,aflnet,1,b_per,0.0
1619851547,proftpd,aflnet,1,b_abs,0
1619851548,proftpd,aflnet,1,l_per,0.0
1619851548,proftpd,aflnet,1,l_abs,0
1619851548,proftpd,aflnet,1,b_per,0.0
1619851548,proftpd,aflnet,1,b_abs,0
1619851549,proftpd,aflnet,1,l_per,0.0
1619851549,proftpd,aflnet,1,l_abs,0
1619851549,proftpd,aflnet,1,b_per,0.0
1619851549,proftpd,aflnet,1,b_abs,0
1619851555,proftpd,aflnet,1,l_per,0.0
1619851555,proftpd,aflnet,1,l_abs,0
1619851555,proftpd,aflnet,1,b_per,0.0
1619851555,proftpd,aflnet,1,b_abs,0
1619851556,proftpd,aflnet,1,l_per,0.0
1619851556,proftpd,aflnet,1,l_abs,0
1619851556,proftpd,aflnet,1,b_per,0.0
1619851556,proftpd,aflnet,1,b_abs,0
1619851557,proftpd,aflnet,1,l_per,0.0
1619851557,proftpd,aflnet,1,l_abs,0
1619851557,proftpd,aflnet,1,b_per,0.0
1619851557,proftpd,aflnet,1,b_abs,0
1619851558,proftpd,aflnet,1,l_per,0.0
1619851558,proftpd,aflnet,1,l_abs,0
1619851558,proftpd,aflnet,1,b_per,0.0
1619851558,proftpd,aflnet,1,b_abs,0
1619851558,proftpd,aflnet,1,l_per,0.0
1619851558,proftpd,aflnet,1,l_abs,0
1619851558,proftpd,aflnet,1,b_per,0.0
1619851558,proftpd,aflnet,1,b_abs,0
1619851559,proftpd,aflnet,1,l_per,0.0
1619851559,proftpd,aflnet,1,l_abs,0
1619851559,proftpd,aflnet,1,b_per,0.0
1619851559,proftpd,aflnet,1,b_abs,0
1619851560,proftpd,aflnet,1,l_per,0.0
1619851560,proftpd,aflnet,1,l_abs,0
1619851560,proftpd,aflnet,1,b_per,0.0
1619851560,proftpd,aflnet,1,b_abs,0
1619851561,proftpd,aflnet,1,l_per,0.0
1619851561,proftpd,aflnet,1,l_abs,0
1619851561,proftpd,aflnet,1,b_per,0.0
1619851561,proftpd,aflnet,1,b_abs,0
1619851549,proftpd,aflnet,1,l_per,0.0
1619851549,proftpd,aflnet,1,l_abs,0
1619851549,proftpd,aflnet,1,b_per,0.0
1619851549,proftpd,aflnet,1,b_abs,0
1619851558,proftpd,aflnet,1,l_per,0.0
1619851558,proftpd,aflnet,1,l_abs,0
1619851558,proftpd,aflnet,1,b_per,0.0
1619851558,proftpd,aflnet,1,b_abs,0
1619851566,proftpd,aflnet,1,l_per,17.5
1619851566,proftpd,aflnet,1,l_abs,6513
1619851566,proftpd,aflnet,1,b_per,11.9
1619851566,proftpd,aflnet,1,b_abs,2803
1619851573,proftpd,aflnet,1,l_per,17.5
1619851573,proftpd,aflnet,1,l_abs,6529
1619851573,proftpd,aflnet,1,b_per,12.0
1619851573,proftpd,aflnet,1,b_abs,2819
1619851583,proftpd,aflnet,1,l_per,17.5
1619851583,proftpd,aflnet,1,l_abs,6531
1619851583,proftpd,aflnet,1,b_per,12.0
1619851583,proftpd,aflnet,1,b_abs,2820
1619851591,proftpd,aflnet,1,l_per,17.5
1619851591,proftpd,aflnet,1,l_abs,6531
1619851591,proftpd,aflnet,1,b_per,12.0
1619851591,proftpd,aflnet,1,b_abs,2822
1619851600,proftpd,aflnet,1,l_per,17.5
1619851600,proftpd,aflnet,1,l_abs,6531
1619851600,proftpd,aflnet,1,b_per,12.0
1619851600,proftpd,aflnet,1,b_abs,2822
1619851609,proftpd,aflnet,1,l_per,17.6
1619851609,proftpd,aflnet,1,l_abs,6542
1619851609,proftpd,aflnet,1,b_per,12.1
1619851609,proftpd,aflnet,1,b_abs,2835
1619851618,proftpd,aflnet,1,l_per,17.6
1619851618,proftpd,aflnet,1,l_abs,6542
1619851618,proftpd,aflnet,1,b_per,12.1
1619851618,proftpd,aflnet,1,b_abs,2835
1619851633,proftpd,aflnet,1,l_per,17.6
1619851633,proftpd,aflnet,1,l_abs,6545
1619851633,proftpd,aflnet,1,b_per,12.1
1619851633,proftpd,aflnet,1,b_abs,2837
1619851648,proftpd,aflnet,1,l_per,17.6
1619851648,proftpd,aflnet,1,l_abs,6545
1619851648,proftpd,aflnet,1,b_per,12.1
1619851648,proftpd,aflnet,1,b_abs,2838
1619851664,proftpd,aflnet,1,l_per,17.6
1619851664,proftpd,aflnet,1,l_abs,6545
1619851664,proftpd,aflnet,1,b_per,12.1
1619851664,proftpd,aflnet,1,b_abs,2838
1619851681,proftpd,aflnet,1,l_per,17.6
1619851681,proftpd,aflnet,1,l_abs,6545
1619851681,proftpd,aflnet,1,b_per,12.1
1619851681,proftpd,aflnet,1,b_abs,2838
1619851698,proftpd,aflnet,1,l_per,17.7
1619851698,proftpd,aflnet,1,l_abs,6591
1619851698,proftpd,aflnet,1,b_per,12.2
1619851698,proftpd,aflnet,1,b_abs,2865
1619851711,proftpd,aflnet,1,l_per,17.7
1619851711,proftpd,aflnet,1,l_abs,6592
1619851711,proftpd,aflnet,1,b_per,12.2
1619851711,proftpd,aflnet,1,b_abs,2866
1619851731,proftpd,aflnet,1,l_per,17.7
1619851731,proftpd,aflnet,1,l_abs,6595
1619851731,proftpd,aflnet,1,b_per,12.2
1619851731,proftpd,aflnet,1,b_abs,2867
1619851750,proftpd,aflnet,1,l_per,17.7
1619851750,proftpd,aflnet,1,l_abs,6596
1619851750,proftpd,aflnet,1,b_per,12.2
1619851750,proftpd,aflnet,1,b_abs,2869
1619851771,proftpd,aflnet,1,l_per,17.7
1619851771,proftpd,aflnet,1,l_abs,6599
1619851771,proftpd,aflnet,1,b_per,12.2
1619851771,proftpd,aflnet,1,b_abs,2871
1619851788,proftpd,aflnet,1,l_per,17.7
1619851788,proftpd,aflnet,1,l_abs,6606
1619851788,proftpd,aflnet,1,b_per,12.2
1619851788,proftpd,aflnet,1,b_abs,2874
1619851796,proftpd,aflnet,1,l_per,17.7
1619851796,proftpd,aflnet,1,l_abs,6606
1619851796,proftpd,aflnet,1,b_per,12.2
1619851796,proftpd,aflnet,1,b_abs,2874
1619851806,proftpd,aflnet,1,l_per,17.7
1619851806,proftpd,aflnet,1,l_abs,6606
1619851806,proftpd,aflnet,1,b_per,12.2
1619851806,proftpd,aflnet,1,b_abs,2874
1619851814,proftpd,aflnet,1,l_per,17.8
1619851814,proftpd,aflnet,1,l_abs,6609
1619851814,proftpd,aflnet,1,b_per,12.2
1619851814,proftpd,aflnet,1,b_abs,2876
1619851824,proftpd,aflnet,1,l_per,17.8
1619851824,proftpd,aflnet,1,l_abs,6609
1619851824,proftpd,aflnet,1,b_per,12.2
1619851824,proftpd,aflnet,1,b_abs,2876
1619851832,proftpd,aflnet,1,l_per,17.8
1619851832,proftpd,aflnet,1,l_abs,6609
1619851832,proftpd,aflnet,1,b_per,12.2
1619851832,proftpd,aflnet,1,b_abs,2876
1619851842,proftpd,aflnet,1,l_per,17.8
1619851842,proftpd,aflnet,1,l_abs,6609
1619851842,proftpd,aflnet,1,b_per,12.2
1619851842,proftpd,aflnet,1,b_abs,2876
1619851850,proftpd,aflnet,1,l_per,17.8
1619851850,proftpd,aflnet,1,l_abs,6615
1619851850,proftpd,aflnet,1,b_per,12.2
1619851850,proftpd,aflnet,1,b_abs,2878
