time,subject,fuzzer,run,cov_type,cov
1619764918,proftpd,nyx,1,l_per,15.1
1619764918,proftpd,nyx,1,l_abs,5634
1619764918,proftpd,nyx,1,b_per,9.9
1619764918,proftpd,nyx,1,b_abs,2337
1619764919,proftpd,nyx,1,l_per,15.7
1619764919,proftpd,nyx,1,l_abs,5837
1619764919,proftpd,nyx,1,b_per,10.4
1619764919,proftpd,nyx,1,b_abs,2448
1619764922,proftpd,nyx,1,l_per,15.7
1619764922,proftpd,nyx,1,l_abs,5840
1619764922,proftpd,nyx,1,b_per,10.4
1619764922,proftpd,nyx,1,b_abs,2450
1619764925,proftpd,nyx,1,l_per,15.7
1619764925,proftpd,nyx,1,l_abs,5844
1619764925,proftpd,nyx,1,b_per,10.4
1619764925,proftpd,nyx,1,b_abs,2454
1619764928,proftpd,nyx,1,l_per,22.4
1619764928,proftpd,nyx,1,l_abs,8360
1619764928,proftpd,nyx,1,b_per,15.7
1619764928,proftpd,nyx,1,b_abs,3689
1619764928,proftpd,nyx,1,l_per,22.6
1619764928,proftpd,nyx,1,l_abs,8405
1619764928,proftpd,nyx,1,b_per,15.8
1619764928,proftpd,nyx,1,b_abs,3711
1619764929,proftpd,nyx,1,l_per,23.1
1619764929,proftpd,nyx,1,l_abs,8606
1619764929,proftpd,nyx,1,b_per,16.2
1619764929,proftpd,nyx,1,b_abs,3819
1619764929,proftpd,nyx,1,l_per,23.8
1619764929,proftpd,nyx,1,l_abs,8875
1619764929,proftpd,nyx,1,b_per,16.9
1619764929,proftpd,nyx,1,b_abs,3966
1619764929,proftpd,nyx,1,l_per,24.6
1619764929,proftpd,nyx,1,l_abs,9176
1619764929,proftpd,nyx,1,b_per,17.6
1619764929,proftpd,nyx,1,b_abs,4128
1619764930,proftpd,nyx,1,l_per,25.0
1619764930,proftpd,nyx,1,l_abs,9314
1619764930,proftpd,nyx,1,b_per,17.8
1619764930,proftpd,nyx,1,b_abs,4183
1619764930,proftpd,nyx,1,l_per,25.0
1619764930,proftpd,nyx,1,l_abs,9314
1619764930,proftpd,nyx,1,b_per,17.8
1619764930,proftpd,nyx,1,b_abs,4183
1619764930,proftpd,nyx,1,l_per,25.0
1619764930,proftpd,nyx,1,l_abs,9329
1619764930,proftpd,nyx,1,b_per,17.8
1619764930,proftpd,nyx,1,b_abs,4188
1619764930,proftpd,nyx,1,l_per,25.3
1619764930,proftpd,nyx,1,l_abs,9414
1619764930,proftpd,nyx,1,b_per,18.0
1619764930,proftpd,nyx,1,b_abs,4235
1619764932,proftpd,nyx,1,l_per,25.4
1619764932,proftpd,nyx,1,l_abs,9453
1619764932,proftpd,nyx,1,b_per,18.1
1619764932,proftpd,nyx,1,b_abs,4251
1619764932,proftpd,nyx,1,l_per,25.4
1619764932,proftpd,nyx,1,l_abs,9457
1619764932,proftpd,nyx,1,b_per,18.1
1619764932,proftpd,nyx,1,b_abs,4257
1619764935,proftpd,nyx,1,l_per,25.5
1619764935,proftpd,nyx,1,l_abs,9491
1619764935,proftpd,nyx,1,b_per,18.2
1619764935,proftpd,nyx,1,b_abs,4276
1619764936,proftpd,nyx,1,l_per,25.6
1619764936,proftpd,nyx,1,l_abs,9528
1619764936,proftpd,nyx,1,b_per,18.3
1619764936,proftpd,nyx,1,b_abs,4303
1619764939,proftpd,nyx,1,l_per,25.6
1619764939,proftpd,nyx,1,l_abs,9542
1619764939,proftpd,nyx,1,b_per,18.4
1619764939,proftpd,nyx,1,b_abs,4313
1619764940,proftpd,nyx,1,l_per,25.6
1619764940,proftpd,nyx,1,l_abs,9554
1619764940,proftpd,nyx,1,b_per,18.4
1619764940,proftpd,nyx,1,b_abs,4323
1619764955,proftpd,nyx,1,l_per,25.9
1619764955,proftpd,nyx,1,l_abs,9640
1619764955,proftpd,nyx,1,b_per,18.6
1619764955,proftpd,nyx,1,b_abs,4368
1619764957,proftpd,nyx,1,l_per,25.9
1619764957,proftpd,nyx,1,l_abs,9656
1619764957,proftpd,nyx,1,b_per,18.6
1619764957,proftpd,nyx,1,b_abs,4374
1619764959,proftpd,nyx,1,l_per,26.0
1619764959,proftpd,nyx,1,l_abs,9691
1619764959,proftpd,nyx,1,b_per,18.7
1619764959,proftpd,nyx,1,b_abs,4402
1619764965,proftpd,nyx,1,l_per,26.0
1619764965,proftpd,nyx,1,l_abs,9693
1619764965,proftpd,nyx,1,b_per,18.7
1619764965,proftpd,nyx,1,b_abs,4405
1619764969,proftpd,nyx,1,l_per,26.1
1619764969,proftpd,nyx,1,l_abs,9731
1619764969,proftpd,nyx,1,b_per,18.8
1619764969,proftpd,nyx,1,b_abs,4423
1619764971,proftpd,nyx,1,l_per,26.3
1619764971,proftpd,nyx,1,l_abs,9780
1619764971,proftpd,nyx,1,b_per,18.9
1619764971,proftpd,nyx,1,b_abs,4450
1619764975,proftpd,nyx,1,l_per,26.3
1619764975,proftpd,nyx,1,l_abs,9792
1619764975,proftpd,nyx,1,b_per,19.0
1619764975,proftpd,nyx,1,b_abs,4455
1619764977,proftpd,nyx,1,l_per,26.5
1619764977,proftpd,nyx,1,l_abs,9869
1619764977,proftpd,nyx,1,b_per,19.1
1619764977,proftpd,nyx,1,b_abs,4490
1619764985,proftpd,nyx,1,l_per,26.7
1619764985,proftpd,nyx,1,l_abs,9941
1619764985,proftpd,nyx,1,b_per,19.3
1619764985,proftpd,nyx,1,b_abs,4532
1619764997,proftpd,nyx,1,l_per,26.8
1619764997,proftpd,nyx,1,l_abs,9974
1619764997,proftpd,nyx,1,b_per,19.3
1619764997,proftpd,nyx,1,b_abs,4546
1619765008,proftpd,nyx,1,l_per,26.9
1619765008,proftpd,nyx,1,l_abs,10020
1619765008,proftpd,nyx,1,b_per,19.5
1619765008,proftpd,nyx,1,b_abs,4572
1619765013,proftpd,nyx,1,l_per,26.9
1619765013,proftpd,nyx,1,l_abs,10035
1619765013,proftpd,nyx,1,b_per,19.5
1619765013,proftpd,nyx,1,b_abs,4582
1619765018,proftpd,nyx,1,l_per,27.0
1619765018,proftpd,nyx,1,l_abs,10055
1619765018,proftpd,nyx,1,b_per,19.6
1619765018,proftpd,nyx,1,b_abs,4603
1619765032,proftpd,nyx,1,l_per,27.0
1619765032,proftpd,nyx,1,l_abs,10076
1619765032,proftpd,nyx,1,b_per,19.6
1619765032,proftpd,nyx,1,b_abs,4614
1619765047,proftpd,nyx,1,l_per,27.1
1619765047,proftpd,nyx,1,l_abs,10114
1619765047,proftpd,nyx,1,b_per,19.7
1619765047,proftpd,nyx,1,b_abs,4630
1619765059,proftpd,nyx,1,l_per,27.2
1619765059,proftpd,nyx,1,l_abs,10120
1619765059,proftpd,nyx,1,b_per,19.7
1619765059,proftpd,nyx,1,b_abs,4634
1619765067,proftpd,nyx,1,l_per,27.2
1619765067,proftpd,nyx,1,l_abs,10121
1619765067,proftpd,nyx,1,b_per,19.7
1619765067,proftpd,nyx,1,b_abs,4635
1619765079,proftpd,nyx,1,l_per,27.4
1619765079,proftpd,nyx,1,l_abs,10192
1619765079,proftpd,nyx,1,b_per,19.9
1619765079,proftpd,nyx,1,b_abs,4676
1619765099,proftpd,nyx,1,l_per,27.4
1619765099,proftpd,nyx,1,l_abs,10196
1619765099,proftpd,nyx,1,b_per,19.9
1619765099,proftpd,nyx,1,b_abs,4680
1619765109,proftpd,nyx,1,l_per,27.4
1619765109,proftpd,nyx,1,l_abs,10204
1619765109,proftpd,nyx,1,b_per,19.9
1619765109,proftpd,nyx,1,b_abs,4688
1619765116,proftpd,nyx,1,l_per,27.5
1619765116,proftpd,nyx,1,l_abs,10233
1619765116,proftpd,nyx,1,b_per,20.0
1619765116,proftpd,nyx,1,b_abs,4710
1619765131,proftpd,nyx,1,l_per,27.5
1619765131,proftpd,nyx,1,l_abs,10233
1619765131,proftpd,nyx,1,b_per,20.0
1619765131,proftpd,nyx,1,b_abs,4710
1619765168,proftpd,nyx,1,l_per,27.5
1619765168,proftpd,nyx,1,l_abs,10233
1619765168,proftpd,nyx,1,b_per,20.0
1619765168,proftpd,nyx,1,b_abs,4710
1619765189,proftpd,nyx,1,l_per,27.5
1619765189,proftpd,nyx,1,l_abs,10245
1619765189,proftpd,nyx,1,b_per,20.1
1619765189,proftpd,nyx,1,b_abs,4717
1619765220,proftpd,nyx,1,l_per,27.5
