time,subject,fuzzer,run,cov_type,cov
1619764917,pure-ftpd,nyx,1,l_per,12.2
1619764917,pure-ftpd,nyx,1,l_abs,573
1619764917,pure-ftpd,nyx,1,b_per,6.0
1619764917,pure-ftpd,nyx,1,b_abs,217
1619764919,pure-ftpd,nyx,1,l_per,18.0
1619764919,pure-ftpd,nyx,1,l_abs,844
1619764919,pure-ftpd,nyx,1,b_per,11.0
1619764919,pure-ftpd,nyx,1,b_abs,396
1619764919,pure-ftpd,nyx,1,l_per,19.4
1619764919,pure-ftpd,nyx,1,l_abs,911
1619764919,pure-ftpd,nyx,1,b_per,11.8
1619764919,pure-ftpd,nyx,1,b_abs,424
1619764919,pure-ftpd,nyx,1,l_per,19.4
1619764919,pure-ftpd,nyx,1,l_abs,911
1619764919,pure-ftpd,nyx,1,b_per,11.8
1619764919,pure-ftpd,nyx,1,b_abs,424
1619764919,pure-ftpd,nyx,1,l_per,19.4
1619764919,pure-ftpd,nyx,1,l_abs,913
1619764919,pure-ftpd,nyx,1,b_per,11.8
1619764919,pure-ftpd,nyx,1,b_abs,425
1619764920,pure-ftpd,nyx,1,l_per,21.6
1619764920,pure-ftpd,nyx,1,l_abs,1017
1619764920,pure-ftpd,nyx,1,b_per,13.0
1619764920,pure-ftpd,nyx,1,b_abs,468
1619764920,pure-ftpd,nyx,1,l_per,22.9
1619764920,pure-ftpd,nyx,1,l_abs,1079
1619764920,pure-ftpd,nyx,1,b_per,14.1
1619764920,pure-ftpd,nyx,1,b_abs,508
1619764920,pure-ftpd,nyx,1,l_per,23.0
1619764920,pure-ftpd,nyx,1,l_abs,1081
1619764920,pure-ftpd,nyx,1,b_per,14.3
1619764920,pure-ftpd,nyx,1,b_abs,514
1619764920,pure-ftpd,nyx,1,l_per,24.4
1619764920,pure-ftpd,nyx,1,l_abs,1151
1619764920,pure-ftpd,nyx,1,b_per,15.4
1619764920,pure-ftpd,nyx,1,b_abs,554
1619764920,pure-ftpd,nyx,1,l_per,24.9
1619764920,pure-ftpd,nyx,1,l_abs,1175
1619764920,pure-ftpd,nyx,1,b_per,15.9
1619764920,pure-ftpd,nyx,1,b_abs,571
1619764920,pure-ftpd,nyx,1,l_per,26.8
1619764920,pure-ftpd,nyx,1,l_abs,1261
1619764920,pure-ftpd,nyx,1,b_per,17.2
1619764920,pure-ftpd,nyx,1,b_abs,619
1619764921,pure-ftpd,nyx,1,l_per,27.0
1619764921,pure-ftpd,nyx,1,l_abs,1274
1619764921,pure-ftpd,nyx,1,b_per,17.4
1619764921,pure-ftpd,nyx,1,b_abs,625
1619764921,pure-ftpd,nyx,1,l_per,27.2
1619764921,pure-ftpd,nyx,1,l_abs,1282
1619764921,pure-ftpd,nyx,1,b_per,17.5
1619764921,pure-ftpd,nyx,1,b_abs,630
1619764922,pure-ftpd,nyx,1,l_per,27.6
1619764922,pure-ftpd,nyx,1,l_abs,1303
1619764922,pure-ftpd,nyx,1,b_per,17.9
1619764922,pure-ftpd,nyx,1,b_abs,644
1619764923,pure-ftpd,nyx,1,l_per,27.9
1619764923,pure-ftpd,nyx,1,l_abs,1316
1619764923,pure-ftpd,nyx,1,b_per,18.2
1619764923,pure-ftpd,nyx,1,b_abs,654
1619764924,pure-ftpd,nyx,1,l_per,28.3
1619764924,pure-ftpd,nyx,1,l_abs,1335
1619764924,pure-ftpd,nyx,1,b_per,18.7
1619764924,pure-ftpd,nyx,1,b_abs,672
1619764925,pure-ftpd,nyx,1,l_per,28.6
1619764925,pure-ftpd,nyx,1,l_abs,1350
1619764925,pure-ftpd,nyx,1,b_per,19.0
1619764925,pure-ftpd,nyx,1,b_abs,685
1619764926,pure-ftpd,nyx,1,l_per,28.7
1619764926,pure-ftpd,nyx,1,l_abs,1355
1619764926,pure-ftpd,nyx,1,b_per,19.1
1619764926,pure-ftpd,nyx,1,b_abs,688
1619764927,pure-ftpd,nyx,1,l_per,28.8
1619764927,pure-ftpd,nyx,1,l_abs,1359
1619764927,pure-ftpd,nyx,1,b_per,19.2
1619764927,pure-ftpd,nyx,1,b_abs,691
1619764930,pure-ftpd,nyx,1,l_per,29.1
1619764930,pure-ftpd,nyx,1,l_abs,1371
1619764930,pure-ftpd,nyx,1,b_per,19.4
1619764930,pure-ftpd,nyx,1,b_abs,700
1619764932,pure-ftpd,nyx,1,l_per,30.0
1619764932,pure-ftpd,nyx,1,l_abs,1414
1619764932,pure-ftpd,nyx,1,b_per,20.2
