time,subject,fuzzer,run,cov_type,cov
1619851656,tinydtls,aflnet,1,l_per,15.9
1619851656,tinydtls,aflnet,1,l_abs,423
1619851656,tinydtls,aflnet,1,b_per,7.1
1619851656,tinydtls,aflnet,1,b_abs,121
1619851659,tinydtls,aflnet,1,l_per,15.9
1619851659,tinydtls,aflnet,1,l_abs,423
1619851659,tinydtls,aflnet,1,b_per,7.1
1619851659,tinydtls,aflnet,1,b_abs,121
1619851660,tinydtls,aflnet,1,l_per,16.0
1619851660,tinydtls,aflnet,1,l_abs,427
1619851660,tinydtls,aflnet,1,b_per,7.2
1619851660,tinydtls,aflnet,1,b_abs,123
1619851662,tinydtls,aflnet,1,l_per,16.0
1619851662,tinydtls,aflnet,1,l_abs,427
1619851662,tinydtls,aflnet,1,b_per,7.2
1619851662,tinydtls,aflnet,1,b_abs,123
1619851666,tinydtls,aflnet,1,l_per,16.0
1619851666,tinydtls,aflnet,1,l_abs,427
1619851666,tinydtls,aflnet,1,b_per,7.3
1619851666,tinydtls,aflnet,1,b_abs,124
1619851680,tinydtls,aflnet,1,l_per,16.1
1619851680,tinydtls,aflnet,1,l_abs,429
1619851680,tinydtls,aflnet,1,b_per,7.5
1619851680,tinydtls,aflnet,1,b_abs,127
1619851726,tinydtls,aflnet,1,l_per,21.2
1619851726,tinydtls,aflnet,1,l_abs,565
1619851726,tinydtls,aflnet,1,b_per,11.8
1619851726,tinydtls,aflnet,1,b_abs,200
1619851796,tinydtls,aflnet,1,l_per,22.0
1619851796,tinydtls,aflnet,1,l_abs,586
1619851796,tinydtls,aflnet,1,b_per,12.9
1619851796,tinydtls,aflnet,1,b_abs,220
1619851882,tinydtls,aflnet,1,l_per,22.1
1619851882,tinydtls,aflnet,1,l_abs,587
1619851882,tinydtls,aflnet,1,b_per,13.0
1619851882,tinydtls,aflnet,1,b_abs,221
1619851906,tinydtls,aflnet,1,l_per,24.0
1619851906,tinydtls,aflnet,1,l_abs,640
1619851906,tinydtls,aflnet,1,b_per,14.8
1619851906,tinydtls,aflnet,1,b_abs,252
1619851946,tinydtls,aflnet,1,l_per,24.0
1619851946,tinydtls,aflnet,1,l_abs,640
1619851946,tinydtls,aflnet,1,b_per,14.8
1619851946,tinydtls,aflnet,1,b_abs,252
1619852000,tinydtls,aflnet,1,l_per,24.2
1619852000,tinydtls,aflnet,1,l_abs,644
1619852000,tinydtls,aflnet,1,b_per,14.9
1619852000,tinydtls,aflnet,1,b_abs,254
1619852030,tinydtls,aflnet,1,l_per,24.2
1619852030,tinydtls,aflnet,1,l_abs,644
1619852030,tinydtls,aflnet,1,b_per,14.9
1619852030,tinydtls,aflnet,1,b_abs,254
1619852064,tinydtls,aflnet,1,l_per,24.2
1619852064,tinydtls,aflnet,1,l_abs,644
1619852064,tinydtls,aflnet,1,b_per,14.9
1619852064,tinydtls,aflnet,1,b_abs,254
1619852087,tinydtls,aflnet,1,l_per,24.2
1619852087,tinydtls,aflnet,1,l_abs,644
1619852087,tinydtls,aflnet,1,b_per,14.9
1619852087,tinydtls,aflnet,1,b_abs,254
1619852140,tinydtls,aflnet,1,l_per,24.3
1619852140,tinydtls,aflnet,1,l_abs,646
1619852140,tinydtls,aflnet,1,b_per,15.0
1619852140,tinydtls,aflnet,1,b_abs,255
1619852188,tinydtls,aflnet,1,l_per,24.3
1619852188,tinydtls,aflnet,1,l_abs,646
1619852188,tinydtls,aflnet,1,b_per,15.0
1619852188,tinydtls,aflnet,1,b_abs,256
1619852271,tinydtls,aflnet,1,l_per,24.3
1619852271,tinydtls,aflnet,1,l_abs,646
1619852271,tinydtls,aflnet,1,b_per,15.0
1619852271,tinydtls,aflnet,1,b_abs,256
1619852323,tinydtls,aflnet,1,l_per,24.3
1619852323,tinydtls,aflnet,1,l_abs,646
1619852323,tinydtls,aflnet,1,b_per,15.1
1619852323,tinydtls,aflnet,1,b_abs,257
1619852446,tinydtls,aflnet,1,l_per,24.3
1619852446,tinydtls,aflnet,1,l_abs,646
1619852446,tinydtls,aflnet,1,b_per,15.1
1619852446,tinydtls,aflnet,1,b_abs,257
1619852590,tinydtls,aflnet,1,l_per,24.3
1619852590,tinydtls,aflnet,1,l_abs,646
1619852590,tinydtls,aflnet,1,b_per,15.1
1619852590,tinydtls,aflnet,1,b_abs,257
1619852649,tinydtls,aflnet,1,l_per,24.3
1619852649,tinydtls,aflnet,1,l_abs,646
1619852649,tinydtls,aflnet,1,b_per,15.1
1619852649,tinydtls,aflnet,1,b_abs,257
1619852918,tinydtls,aflnet,1,l_per,24.3
1619852918,tinydtls,aflnet,1,l_abs,648
1619852918,tinydtls,aflnet,1,b_per,15.3
1619852918,tinydtls,aflnet,1,b_abs,260
1619853177,tinydtls,aflnet,1,l_per,24.4
1619853177,tinydtls,aflnet,1,l_abs,649
1619853177,tinydtls,aflnet,1,b_per,15.3
1619853177,tinydtls,aflnet,1,b_abs,261
1619853277,tinydtls,aflnet,1,l_per,24.5
1619853277,tinydtls,aflnet,1,l_abs,652
1619853277,tinydtls,aflnet,1,b_per,15.5
1619853277,tinydtls,aflnet,1,b_abs,263
1619853293,tinydtls,aflnet,1,l_per,24.5
1619853293,tinydtls,aflnet,1,l_abs,652
1619853293,tinydtls,aflnet,1,b_per,15.5
1619853293,tinydtls,aflnet,1,b_abs,263
1619853328,tinydtls,aflnet,1,l_per,24.5
1619853328,tinydtls,aflnet,1,l_abs,653
1619853328,tinydtls,aflnet,1,b_per,15.6
1619853328,tinydtls,aflnet,1,b_abs,265
1619853564,tinydtls,aflnet,1,l_per,26.7
1619853564,tinydtls,aflnet,1,l_abs,712
1619853564,tinydtls,aflnet,1,b_per,17.5
1619853564,tinydtls,aflnet,1,b_abs,297
1619853612,tinydtls,aflnet,1,l_per,26.8
1619853612,tinydtls,aflnet,1,l_abs,715
1619853612,tinydtls,aflnet,1,b_per,17.6
1619853612,tinydtls,aflnet,1,b_abs,299
1619853757,tinydtls,aflnet,1,l_per,26.8
1619853757,tinydtls,aflnet,1,l_abs,715
1619853757,tinydtls,aflnet,1,b_per,17.6
1619853757,tinydtls,aflnet,1,b_abs,299
1619853912,tinydtls,aflnet,1,l_per,26.8
1619853912,tinydtls,aflnet,1,l_abs,715
1619853912,tinydtls,aflnet,1,b_per,17.6
1619853912,tinydtls,aflnet,1,b_abs,299
1619854185,tinydtls,aflnet,1,l_per,26.8
1619854185,tinydtls,aflnet,1,l_abs,715
1619854185,tinydtls,aflnet,1,b_per,17.6
1619854185,tinydtls,aflnet,1,b_abs,299
1619854658,tinydtls,aflnet,1,l_per,26.8
1619854658,tinydtls,aflnet,1,l_abs,715
1619854658,tinydtls,aflnet,1,b_per,17.6
1619854658,tinydtls,aflnet,1,b_abs,299
1619855356,tinydtls,aflnet,1,l_per,27.4
1619855356,tinydtls,aflnet,1,l_abs,729
1619855356,tinydtls,aflnet,1,b_per,18.2
1619855356,tinydtls,aflnet,1,b_abs,310
1619856042,tinydtls,aflnet,1,l_per,27.4
1619856042,tinydtls,aflnet,1,l_abs,729
1619856042,tinydtls,aflnet,1,b_per,18.2
1619856042,tinydtls,aflnet,1,b_abs,310
1619856468,tinydtls,aflnet,1,l_per,27.4
1619856468,tinydtls,aflnet,1,l_abs,729
1619856468,tinydtls,aflnet,1,b_per,18.2
1619856468,tinydtls,aflnet,1,b_abs,310
1619857129,tinydtls,aflnet,1,l_per,27.4
1619857129,tinydtls,aflnet,1,l_abs,729
1619857129,tinydtls,aflnet,1,b_per,18.2
1619857129,tinydtls,aflnet,1,b_abs,310
1619858485,tinydtls,aflnet,1,l_per,27.4
1619858485,tinydtls,aflnet,1,l_abs,729
1619858485,tinydtls,aflnet,1,b_per,18.2
1619858485,tinydtls,aflnet,1,b_abs,310
1619858999,tinydtls,aflnet,1,l_per,27.4
1619858999,tinydtls,aflnet,1,l_abs,729
1619858999,tinydtls,aflnet,1,b_per,18.2
1619858999,tinydtls,aflnet,1,b_abs,310
1619860300,tinydtls,aflnet,1,l_per,27.4
1619860300,tinydtls,aflnet,1,l_abs,729
1619860300,tinydtls,aflnet,1,b_per,18.2
1619860300,tinydtls,aflnet,1,b_abs,310
1619861983,tinydtls,aflnet,1,l_per,32.4
1619861983,tinydtls,aflnet,1,l_abs,864
1619861983,tinydtls,aflnet,1,b_per,22.7
1619861983,tinydtls,aflnet,1,b_abs,386
1619862679,tinydtls,aflnet,1,l_per,43.8
1619862679,tinydtls,aflnet,1,l_abs,1171
1619862679,tinydtls,aflnet,1,b_per,27.2
1619862679,tinydtls,aflnet,1,b_abs,463
1619863857,tinydtls,aflnet,1,l_per,44.2
1619863857,tinydtls,aflnet,1,l_abs,1182
1619863857,tinydtls,aflnet,1,b_per,27.6
1619863857,tinydtls,aflnet,1,b_abs,470
1619864204,tinydtls,aflnet,1,l_per,44.3
1619864204,tinydtls,aflnet,1,l_abs,1186
1619864204,tinydtls,aflnet,1,b_per,27.8
1619864204,tinydtls,aflnet,1,b_abs,473
1619864860,tinydtls,aflnet,1,l_per,44.3
1619864860,tinydtls,aflnet,1,l_abs,1186
1619864860,tinydtls,aflnet,1,b_per,27.8
1619864860,tinydtls,aflnet,1,b_abs,473
1619865211,tinydtls,aflnet,1,l_per,44.4
1619865211,tinydtls,aflnet,1,l_abs,1188
1619865211,tinydtls,aflnet,1,b_per,27.9
1619865211,tinydtls,aflnet,1,b_abs,474
1619868065,tinydtls,aflnet,1,l_per,44.4
1619868065,tinydtls,aflnet,1,l_abs,1188
1619868065,tinydtls,aflnet,1,b_per,27.9
1619868065,tinydtls,aflnet,1,b_abs,474
1619869582,tinydtls,aflnet,1,l_per,44.4
1619869582,tinydtls,aflnet,1,l_abs,1188
1619869582,tinydtls,aflnet,1,b_per,27.9
1619869582,tinydtls,aflnet,1,b_abs,474
1619870763,tinydtls,aflnet,1,l_per,44.4
1619870763,tinydtls,aflnet,1,l_abs,1188
1619870763,tinydtls,aflnet,1,b_per,27.9
1619870763,tinydtls,aflnet,1,b_abs,474
1619872286,tinydtls,aflnet,1,l_per,44.4
1619872286,tinydtls,aflnet,1,l_abs,1188
1619872286,tinydtls,aflnet,1,b_per,27.9
1619872286,tinydtls,aflnet,1,b_abs,474
1619872382,tinydtls,aflnet,1,l_per,44.4
1619872382,tinydtls,aflnet,1,l_abs,1188
1619872382,tinydtls,aflnet,1,b_per,27.9
1619872382,tinydtls,aflnet,1,b_abs,474
1619874435,tinydtls,aflnet,1,l_per,44.4
1619874435,tinydtls,aflnet,1,l_abs,1188
1619874435,tinydtls,aflnet,1,b_per,27.9
1619874435,tinydtls,aflnet,1,b_abs,474
1619876661,tinydtls,aflnet,1,l_per,44.4
1619876661,tinydtls,aflnet,1,l_abs,1188
1619876661,tinydtls,aflnet,1,b_per,27.9
1619876661,tinydtls,aflnet,1,b_abs,474
1619877269,tinydtls,aflnet,1,l_per,44.4
1619877269,tinydtls,aflnet,1,l_abs,1188
1619877269,tinydtls,aflnet,1,b_per,27.9
1619877269,tinydtls,aflnet,1,b_abs,474
1619882093,tinydtls,aflnet,1,l_per,44.4
1619882093,tinydtls,aflnet,1,l_abs,1188
1619882093,tinydtls,aflnet,1,b_per,27.9
1619882093,tinydtls,aflnet,1,b_abs,474
1619884197,tinydtls,aflnet,1,l_per,44.4
1619884197,tinydtls,aflnet,1,l_abs,1188
1619884197,tinydtls,aflnet,1,b_per,28.0
1619884197,tinydtls,aflnet,1,b_abs,476
1619887626,tinydtls,aflnet,1,l_per,44.4
1619887626,tinydtls,aflnet,1,l_abs,1188
1619887626,tinydtls,aflnet,1,b_per,28.0
1619887626,tinydtls,aflnet,1,b_abs,476
1619890888,tinydtls,aflnet,1,l_per,44.4
1619890888,tinydtls,aflnet,1,l_abs,1188
1619890888,tinydtls,aflnet,1,b_per,28.0
1619890888,tinydtls,aflnet,1,b_abs,476
1619894119,tinydtls,aflnet,1,l_per,44.5
1619894119,tinydtls,aflnet,1,l_abs,1191
1619894119,tinydtls,aflnet,1,b_per,28.3
1619894119,tinydtls,aflnet,1,b_abs,481
1619897706,tinydtls,aflnet,1,l_per,44.5
1619897706,tinydtls,aflnet,1,l_abs,1191
1619897706,tinydtls,aflnet,1,b_per,28.4
1619897706,tinydtls,aflnet,1,b_abs,483
1619899558,tinydtls,aflnet,1,l_per,44.5
1619899558,tinydtls,aflnet,1,l_abs,1191
1619899558,tinydtls,aflnet,1,b_per,28.4
1619899558,tinydtls,aflnet,1,b_abs,483
1619903743,tinydtls,aflnet,1,l_per,44.5
1619903743,tinydtls,aflnet,1,l_abs,1191
1619903743,tinydtls,aflnet,1,b_per,28.4
1619903743,tinydtls,aflnet,1,b_abs,483
1619908371,tinydtls,aflnet,1,l_per,44.5
1619908371,tinydtls,aflnet,1,l_abs,1191
1619908371,tinydtls,aflnet,1,b_per,28.5
1619908371,tinydtls,aflnet,1,b_abs,484
1619910103,tinydtls,aflnet,1,l_per,44.5
1619910103,tinydtls,aflnet,1,l_abs,1191
1619910103,tinydtls,aflnet,1,b_per,28.5
1619910103,tinydtls,aflnet,1,b_abs,485
1619916622,tinydtls,aflnet,1,l_per,44.5
1619916622,tinydtls,aflnet,1,l_abs,1191
1619916622,tinydtls,aflnet,1,b_per,28.5
1619916622,tinydtls,aflnet,1,b_abs,485
1619928593,tinydtls,aflnet,1,l_per,44.7
1619928593,tinydtls,aflnet,1,l_abs,1195
1619928593,tinydtls,aflnet,1,b_per,28.9
1619928593,tinydtls,aflnet,1,b_abs,491
1619934289,tinydtls,aflnet,1,l_per,44.7
1619934289,tinydtls,aflnet,1,l_abs,1196
1619934289,tinydtls,aflnet,1,b_per,29.0
1619934289,tinydtls,aflnet,1,b_abs,493
1619936335,tinydtls,aflnet,1,l_per,44.7
1619936335,tinydtls,aflnet,1,l_abs,1196
1619936335,tinydtls,aflnet,1,b_per,29.0
1619936335,tinydtls,aflnet,1,b_abs,493
1619936369,tinydtls,aflnet,1,l_per,44.7
1619936369,tinydtls,aflnet,1,l_abs,1196
1619936369,tinydtls,aflnet,1,b_per,29.0
1619936369,tinydtls,aflnet,1,b_abs,493
1619851657,tinydtls,aflnet,2,l_per,15.9
1619851657,tinydtls,aflnet,2,l_abs,423
1619851657,tinydtls,aflnet,2,b_per,7.1
1619851657,tinydtls,aflnet,2,b_abs,121
1619851660,tinydtls,aflnet,2,l_per,15.9
1619851660,tinydtls,aflnet,2,l_abs,423
1619851660,tinydtls,aflnet,2,b_per,7.1
1619851660,tinydtls,aflnet,2,b_abs,121
1619851661,tinydtls,aflnet,2,l_per,16.0
1619851661,tinydtls,aflnet,2,l_abs,427
1619851661,tinydtls,aflnet,2,b_per,7.2
1619851661,tinydtls,aflnet,2,b_abs,123
1619851663,tinydtls,aflnet,2,l_per,16.0
1619851663,tinydtls,aflnet,2,l_abs,427
1619851663,tinydtls,aflnet,2,b_per,7.2
1619851663,tinydtls,aflnet,2,b_abs,123
1619851667,tinydtls,aflnet,2,l_per,16.0
1619851667,tinydtls,aflnet,2,l_abs,427
1619851667,tinydtls,aflnet,2,b_per,7.2
1619851667,tinydtls,aflnet,2,b_abs,123
1619851680,tinydtls,aflnet,2,l_per,16.2
1619851680,tinydtls,aflnet,2,l_abs,431
1619851680,tinydtls,aflnet,2,b_per,7.5
1619851680,tinydtls,aflnet,2,b_abs,128
1619851694,tinydtls,aflnet,2,l_per,16.2
1619851694,tinydtls,aflnet,2,l_abs,432
1619851694,tinydtls,aflnet,2,b_per,7.7
1619851694,tinydtls,aflnet,2,b_abs,131
1619851740,tinydtls,aflnet,2,l_per,23.3
1619851740,tinydtls,aflnet,2,l_abs,621
1619851740,tinydtls,aflnet,2,b_per,13.9
1619851740,tinydtls,aflnet,2,b_abs,236
1619851843,tinydtls,aflnet,2,l_per,23.3
1619851843,tinydtls,aflnet,2,l_abs,621
1619851843,tinydtls,aflnet,2,b_per,13.9
1619851843,tinydtls,aflnet,2,b_abs,237
1619851892,tinydtls,aflnet,2,l_per,23.4
1619851892,tinydtls,aflnet,2,l_abs,623
1619851892,tinydtls,aflnet,2,b_per,14.0
1619851892,tinydtls,aflnet,2,b_abs,238
1619851955,tinydtls,aflnet,2,l_per,23.6
1619851955,tinydtls,aflnet,2,l_abs,627
1619851955,tinydtls,aflnet,2,b_per,14.1
1619851955,tinydtls,aflnet,2,b_abs,240
1619852005,tinydtls,aflnet,2,l_per,23.6
1619852005,tinydtls,aflnet,2,l_abs,627
1619852005,tinydtls,aflnet,2,b_per,14.1
1619852005,tinydtls,aflnet,2,b_abs,240
1619852040,tinydtls,aflnet,2,l_per,24.1
1619852040,tinydtls,aflnet,2,l_abs,641
1619852040,tinydtls,aflnet,2,b_per,14.8
1619852040,tinydtls,aflnet,2,b_abs,252
1619852103,tinydtls,aflnet,2,l_per,24.2
1619852103,tinydtls,aflnet,2,l_abs,645
1619852103,tinydtls,aflnet,2,b_per,15.0
1619852103,tinydtls,aflnet,2,b_abs,256
1619852178,tinydtls,aflnet,2,l_per,24.2
1619852178,tinydtls,aflnet,2,l_abs,645
1619852178,tinydtls,aflnet,2,b_per,15.0
1619852178,tinydtls,aflnet,2,b_abs,256
1619852225,tinydtls,aflnet,2,l_per,24.2
1619852225,tinydtls,aflnet,2,l_abs,645
1619852225,tinydtls,aflnet,2,b_per,15.0
1619852225,tinydtls,aflnet,2,b_abs,256
1619852306,tinydtls,aflnet,2,l_per,24.3
1619852306,tinydtls,aflnet,2,l_abs,646
1619852306,tinydtls,aflnet,2,b_per,15.1
1619852306,tinydtls,aflnet,2,b_abs,257
1619852348,tinydtls,aflnet,2,l_per,24.3
1619852348,tinydtls,aflnet,2,l_abs,646
1619852348,tinydtls,aflnet,2,b_per,15.1
1619852348,tinydtls,aflnet,2,b_abs,257
1619852376,tinydtls,aflnet,2,l_per,24.3
1619852376,tinydtls,aflnet,2,l_abs,647
1619852376,tinydtls,aflnet,2,b_per,15.2
1619852376,tinydtls,aflnet,2,b_abs,259
1619852415,tinydtls,aflnet,2,l_per,24.3
1619852415,tinydtls,aflnet,2,l_abs,647
1619852415,tinydtls,aflnet,2,b_per,15.2
1619852415,tinydtls,aflnet,2,b_abs,259
1619852487,tinydtls,aflnet,2,l_per,24.4
1619852487,tinydtls,aflnet,2,l_abs,649
1619852487,tinydtls,aflnet,2,b_per,15.3
1619852487,tinydtls,aflnet,2,b_abs,260
1619852535,tinydtls,aflnet,2,l_per,24.4
1619852535,tinydtls,aflnet,2,l_abs,649
1619852535,tinydtls,aflnet,2,b_per,15.3
1619852535,tinydtls,aflnet,2,b_abs,260
1619852581,tinydtls,aflnet,2,l_per,24.4
1619852581,tinydtls,aflnet,2,l_abs,650
1619852581,tinydtls,aflnet,2,b_per,15.4
1619852581,tinydtls,aflnet,2,b_abs,262
1619852640,tinydtls,aflnet,2,l_per,24.5
1619852640,tinydtls,aflnet,2,l_abs,652
1619852640,tinydtls,aflnet,2,b_per,15.5
1619852640,tinydtls,aflnet,2,b_abs,263
1619852674,tinydtls,aflnet,2,l_per,25.0
1619852674,tinydtls,aflnet,2,l_abs,666
1619852674,tinydtls,aflnet,2,b_per,16.1
1619852674,tinydtls,aflnet,2,b_abs,274
1619852759,tinydtls,aflnet,2,l_per,25.0
1619852759,tinydtls,aflnet,2,l_abs,666
1619852759,tinydtls,aflnet,2,b_per,16.2
1619852759,tinydtls,aflnet,2,b_abs,275
1619852861,tinydtls,aflnet,2,l_per,25.0
1619852861,tinydtls,aflnet,2,l_abs,666
1619852861,tinydtls,aflnet,2,b_per,16.2
1619852861,tinydtls,aflnet,2,b_abs,275
1619853227,tinydtls,aflnet,2,l_per,25.1
1619853227,tinydtls,aflnet,2,l_abs,667
1619853227,tinydtls,aflnet,2,b_per,16.2
1619853227,tinydtls,aflnet,2,b_abs,276
1619853608,tinydtls,aflnet,2,l_per,25.1
1619853608,tinydtls,aflnet,2,l_abs,668
1619853608,tinydtls,aflnet,2,b_per,16.3
1619853608,tinydtls,aflnet,2,b_abs,278
1619854180,tinydtls,aflnet,2,l_per,27.0
1619854180,tinydtls,aflnet,2,l_abs,720
1619854180,tinydtls,aflnet,2,b_per,17.9
1619854180,tinydtls,aflnet,2,b_abs,304
1619854501,tinydtls,aflnet,2,l_per,27.0
1619854501,tinydtls,aflnet,2,l_abs,720
1619854501,tinydtls,aflnet,2,b_per,17.9
1619854501,tinydtls,aflnet,2,b_abs,304
1619854707,tinydtls,aflnet,2,l_per,27.2
1619854707,tinydtls,aflnet,2,l_abs,725
1619854707,tinydtls,aflnet,2,b_per,18.0
1619854707,tinydtls,aflnet,2,b_abs,306
1619854817,tinydtls,aflnet,2,l_per,27.2
1619854817,tinydtls,aflnet,2,l_abs,725
1619854817,tinydtls,aflnet,2,b_per,18.0
1619854817,tinydtls,aflnet,2,b_abs,306
1619854893,tinydtls,aflnet,2,l_per,27.2
1619854893,tinydtls,aflnet,2,l_abs,725
1619854893,tinydtls,aflnet,2,b_per,18.2
1619854893,tinydtls,aflnet,2,b_abs,309
1619854975,tinydtls,aflnet,2,l_per,27.2
1619854975,tinydtls,aflnet,2,l_abs,725
1619854975,tinydtls,aflnet,2,b_per,18.2
1619854975,tinydtls,aflnet,2,b_abs,309
1619854989,tinydtls,aflnet,2,l_per,27.3
1619854989,tinydtls,aflnet,2,l_abs,726
1619854989,tinydtls,aflnet,2,b_per,18.3
1619854989,tinydtls,aflnet,2,b_abs,311
1619855134,tinydtls,aflnet,2,l_per,27.6
1619855134,tinydtls,aflnet,2,l_abs,735
1619855134,tinydtls,aflnet,2,b_per,18.9
1619855134,tinydtls,aflnet,2,b_abs,322
1619855331,tinydtls,aflnet,2,l_per,27.6
1619855331,tinydtls,aflnet,2,l_abs,735
1619855331,tinydtls,aflnet,2,b_per,18.9
1619855331,tinydtls,aflnet,2,b_abs,322
1619855895,tinydtls,aflnet,2,l_per,27.6
1619855895,tinydtls,aflnet,2,l_abs,735
1619855895,tinydtls,aflnet,2,b_per,18.9
1619855895,tinydtls,aflnet,2,b_abs,322
1619856711,tinydtls,aflnet,2,l_per,27.6
1619856711,tinydtls,aflnet,2,l_abs,735
1619856711,tinydtls,aflnet,2,b_per,18.9
1619856711,tinydtls,aflnet,2,b_abs,322
1619857251,tinydtls,aflnet,2,l_per,27.6
1619857251,tinydtls,aflnet,2,l_abs,735
1619857251,tinydtls,aflnet,2,b_per,18.9
1619857251,tinydtls,aflnet,2,b_abs,322
1619857788,tinydtls,aflnet,2,l_per,27.6
1619857788,tinydtls,aflnet,2,l_abs,735
1619857788,tinydtls,aflnet,2,b_per,18.9
1619857788,tinydtls,aflnet,2,b_abs,322
1619858748,tinydtls,aflnet,2,l_per,27.7
1619858748,tinydtls,aflnet,2,l_abs,737
1619858748,tinydtls,aflnet,2,b_per,19.0
1619858748,tinydtls,aflnet,2,b_abs,323
1619858993,tinydtls,aflnet,2,l_per,27.7
1619858993,tinydtls,aflnet,2,l_abs,737
1619858993,tinydtls,aflnet,2,b_per,19.0
1619858993,tinydtls,aflnet,2,b_abs,323
1619859881,tinydtls,aflnet,2,l_per,27.7
1619859881,tinydtls,aflnet,2,l_abs,737
1619859881,tinydtls,aflnet,2,b_per,19.0
1619859881,tinydtls,aflnet,2,b_abs,323
1619861291,tinydtls,aflnet,2,l_per,27.7
1619861291,tinydtls,aflnet,2,l_abs,737
1619861291,tinydtls,aflnet,2,b_per,19.0
1619861291,tinydtls,aflnet,2,b_abs,323
1619862482,tinydtls,aflnet,2,l_per,27.7
1619862482,tinydtls,aflnet,2,l_abs,737
1619862482,tinydtls,aflnet,2,b_per,19.0
1619862482,tinydtls,aflnet,2,b_abs,323
1619864369,tinydtls,aflnet,2,l_per,27.7
1619864369,tinydtls,aflnet,2,l_abs,737
1619864369,tinydtls,aflnet,2,b_per,19.0
1619864369,tinydtls,aflnet,2,b_abs,323
1619865556,tinydtls,aflnet,2,l_per,30.6
1619865556,tinydtls,aflnet,2,l_abs,814
1619865556,tinydtls,aflnet,2,b_per,21.4
1619865556,tinydtls,aflnet,2,b_abs,364
1619866483,tinydtls,aflnet,2,l_per,30.6
1619866483,tinydtls,aflnet,2,l_abs,814
1619866483,tinydtls,aflnet,2,b_per,21.5
1619866483,tinydtls,aflnet,2,b_abs,365
1619868679,tinydtls,aflnet,2,l_per,30.6
1619868679,tinydtls,aflnet,2,l_abs,814
1619868679,tinydtls,aflnet,2,b_per,21.5
1619868679,tinydtls,aflnet,2,b_abs,365
1619869362,tinydtls,aflnet,2,l_per,30.6
1619869362,tinydtls,aflnet,2,l_abs,814
1619869362,tinydtls,aflnet,2,b_per,21.5
1619869362,tinydtls,aflnet,2,b_abs,365
1619870992,tinydtls,aflnet,2,l_per,30.6
1619870992,tinydtls,aflnet,2,l_abs,814
1619870992,tinydtls,aflnet,2,b_per,21.5
1619870992,tinydtls,aflnet,2,b_abs,366
1619871548,tinydtls,aflnet,2,l_per,30.6
1619871548,tinydtls,aflnet,2,l_abs,814
