time,subject,fuzzer,run,cov_type,cov
1619764716,tinydtls,nyx,1,l_per,26.8
1619764716,tinydtls,nyx,1,l_abs,715
1619764716,tinydtls,nyx,1,b_per,16.6
1619764716,tinydtls,nyx,1,b_abs,282
1619764716,tinydtls,nyx,1,l_per,26.8
1619764716,tinydtls,nyx,1,l_abs,715
1619764716,tinydtls,nyx,1,b_per,16.6
1619764716,tinydtls,nyx,1,b_abs,282
1619764716,tinydtls,nyx,1,l_per,26.8
1619764716,tinydtls,nyx,1,l_abs,715
1619764716,tinydtls,nyx,1,b_per,16.6
1619764716,tinydtls,nyx,1,b_abs,282
1619764718,tinydtls,nyx,1,l_per,27.6
1619764718,tinydtls,nyx,1,l_abs,735
1619764718,tinydtls,nyx,1,b_per,17.4
1619764718,tinydtls,nyx,1,b_abs,296
1619764718,tinydtls,nyx,1,l_per,31.3
1619764718,tinydtls,nyx,1,l_abs,835
1619764718,tinydtls,nyx,1,b_per,20.8
1619764718,tinydtls,nyx,1,b_abs,354
1619764718,tinydtls,nyx,1,l_per,42.1
1619764718,tinydtls,nyx,1,l_abs,1125
1619764718,tinydtls,nyx,1,b_per,25.0
1619764718,tinydtls,nyx,1,b_abs,425
1619764719,tinydtls,nyx,1,l_per,42.7
1619764719,tinydtls,nyx,1,l_abs,1142
1619764719,tinydtls,nyx,1,b_per,25.6
1619764719,tinydtls,nyx,1,b_abs,435
1619764719,tinydtls,nyx,1,l_per,42.8
1619764719,tinydtls,nyx,1,l_abs,1145
1619764719,tinydtls,nyx,1,b_per,25.9
1619764719,tinydtls,nyx,1,b_abs,441
1619764719,tinydtls,nyx,1,l_per,42.8
1619764719,tinydtls,nyx,1,l_abs,1145
1619764719,tinydtls,nyx,1,b_per,26.0
1619764719,tinydtls,nyx,1,b_abs,443
1619764719,tinydtls,nyx,1,l_per,42.9
1619764719,tinydtls,nyx,1,l_abs,1148
1619764719,tinydtls,nyx,1,b_per,26.2
1619764719,tinydtls,nyx,1,b_abs,446
1619764720,tinydtls,nyx,1,l_per,43.6
1619764720,tinydtls,nyx,1,l_abs,1167
