time,subject,fuzzer,run,cov_type,cov
1619764915,lightftp,aflnet,1,l_per,37.2
1619764915,lightftp,aflnet,1,l_abs,421
1619764915,lightftp,aflnet,1,b_per,20.3
1619764915,lightftp,aflnet,1,b_abs,164
1619764916,lightftp,aflnet,1,l_per,39.1
1619764916,lightftp,aflnet,1,l_abs,442
1619764916,lightftp,aflnet,1,b_per,22.6
1619764916,lightftp,aflnet,1,b_abs,182
1619764922,lightftp,aflnet,1,l_per,39.7
1619764922,lightftp,aflnet,1,l_abs,449
1619764922,lightftp,aflnet,1,b_per,24.0
1619764922,lightftp,aflnet,1,b_abs,194
1619764928,lightftp,aflnet,1,l_per,39.7
1619764928,lightftp,aflnet,1,l_abs,449
1619764928,lightftp,aflnet,1,b_per,24.2
1619764928,lightftp,aflnet,1,b_abs,195
1619764936,lightftp,aflnet,1,l_per,40.7
1619764936,lightftp,aflnet,1,l_abs,460
1619764936,lightftp,aflnet,1,b_per,24.7
1619764936,lightftp,aflnet,1,b_abs,199
1619764946,lightftp,aflnet,1,l_per,40.7
1619764946,lightftp,aflnet,1,l_abs,460
1619764946,lightftp,aflnet,1,b_per,24.9
1619764946,lightftp,aflnet,1,b_abs,201
1619764962,lightftp,aflnet,1,l_per,40.8
1619764962,lightftp,aflnet,1,l_abs,462
1619764962,lightftp,aflnet,1,b_per,24.9
1619764962,lightftp,aflnet,1,b_abs,201
1619764983,lightftp,aflnet,1,l_per,41.6
1619764983,lightftp,aflnet,1,l_abs,471
1619764983,lightftp,aflnet,1,b_per,25.3
1619764983,lightftp,aflnet,1,b_abs,204
1619765022,lightftp,aflnet,1,l_per,41.8
1619765022,lightftp,aflnet,1,l_abs,473
1619765022,lightftp,aflnet,1,b_per,25.3
1619765022,lightftp,aflnet,1,b_abs,204
1619765027,lightftp,aflnet,1,l_per,41.8
1619765027,lightftp,aflnet,1,l_abs,473
1619765027,lightftp,aflnet,1,b_per,25.3
1619765027,lightftp,aflnet,1,b_abs,204
1619765034,lightftp,aflnet,1,l_per,42.1
1619765034,lightftp,aflnet,1,l_abs,476
1619765034,lightftp,aflnet,1,b_per,25.4
1619765034,lightftp,aflnet,1,b_abs,205
1619765066,lightftp,aflnet,1,l_per,42.1
1619765066,lightftp,aflnet,1,l_abs,476
1619765066,lightftp,aflnet,1,b_per,25.4
1619765066,lightftp,aflnet,1,b_abs,205
1619765081,lightftp,aflnet,1,l_per,42.4
1619765081,lightftp,aflnet,1,l_abs,479
1619765081,lightftp,aflnet,1,b_per,25.5
1619765081,lightftp,aflnet,1,b_abs,206
1619765107,lightftp,aflnet,1,l_per,43.5
1619765107,lightftp,aflnet,1,l_abs,492
1619765107,lightftp,aflnet,1,b_per,26.0
1619765107,lightftp,aflnet,1,b_abs,210
1619765164,lightftp,aflnet,1,l_per,44.4
