time,subject,fuzzer,run,cov_type,cov
1619765083,live555,aflnet,1,l_per,19.3
1619765083,live555,aflnet,1,l_abs,3027
1619765083,live555,aflnet,1,b_per,11.2
1619765083,live555,aflnet,1,b_abs,1525
1619765083,live555,aflnet,1,l_per,20.2
1619765083,live555,aflnet,1,l_abs,3171
1619765083,live555,aflnet,1,b_per,11.5
1619765083,live555,aflnet,1,b_abs,1561
1619765086,live555,aflnet,1,l_per,24.2
1619765086,live555,aflnet,1,l_abs,3826
1619765086,live555,aflnet,1,b_per,14.0
1619765086,live555,aflnet,1,b_abs,1904
1619765086,live555,aflnet,1,l_per,24.3
1619765086,live555,aflnet,1,l_abs,3845
1619765086,live555,aflnet,1,b_per,14.1
1619765086,live555,aflnet,1,b_abs,1916
1619765089,live555,aflnet,1,l_per,27.4
1619765089,live555,aflnet,1,l_abs,4336
1619765089,live555,aflnet,1,b_per,15.6
1619765089,live555,aflnet,1,b_abs,2129
1619765090,live555,aflnet,1,l_per,28.7
1619765090,live555,aflnet,1,l_abs,4542
1619765090,live555,aflnet,1,b_per,16.6
1619765090,live555,aflnet,1,b_abs,2263
1619765092,live555,aflnet,1,l_per,29.6
1619765092,live555,aflnet,1,l_abs,4686
1619765092,live555,aflnet,1,b_per,17.2
1619765092,live555,aflnet,1,b_abs,2351
1619765089,live555,aflnet,1,l_per,32.5
1619765089,live555,aflnet,1,l_abs,5150
1619765089,live555,aflnet,1,b_per,18.7
1619765089,live555,aflnet,1,b_abs,2549
1619765099,live555,aflnet,1,l_per,32.6
1619765099,live555,aflnet,1,l_abs,5175
1619765099,live555,aflnet,1,b_per,18.8
1619765099,live555,aflnet,1,b_abs,2567
1619765108,live555,aflnet,1,l_per,32.7
1619765108,live555,aflnet,1,l_abs,5182
1619765108,live555,aflnet,1,b_per,19.0
1619765108,live555,aflnet,1,b_abs,2589
1619765115,live555,aflnet,1,l_per,32.7
1619765115,live555,aflnet,1,l_abs,5182
1619765115,live555,aflnet,1,b_per,19.0
