time,subject,fuzzer,run,cov_type,cov
1620153236,openssh,aflnet,1,l_per,23.7
1620153236,openssh,aflnet,1,l_abs,4945
1620153236,openssh,aflnet,1,b_per,15.5
1620153236,openssh,aflnet,1,b_abs,2645
1620153242,openssh,aflnet,1,l_per,23.8
1620153242,openssh,aflnet,1,l_abs,4966
1620153242,openssh,aflnet,1,b_per,15.7
1620153242,openssh,aflnet,1,b_abs,2679
1620153246,openssh,aflnet,1,l_per,23.9
1620153246,openssh,aflnet,1,l_abs,4995
1620153246,openssh,aflnet,1,b_per,15.8
1620153246,openssh,aflnet,1,b_abs,2712
1620153250,openssh,aflnet,1,l_per,23.9
1620153250,openssh,aflnet,1,l_abs,4995
1620153250,openssh,aflnet,1,b_per,15.8
1620153250,openssh,aflnet,1,b_abs,2712
1620153254,openssh,aflnet,1,l_per,23.9
1620153254,openssh,aflnet,1,l_abs,4996
1620153254,openssh,aflnet,1,b_per,15.9
1620153254,openssh,aflnet,1,b_abs,2715
1620153263,openssh,aflnet,1,l_per,23.9
1620153263,openssh,aflnet,1,l_abs,4996
1620153263,openssh,aflnet,1,b_per,15.9
1620153263,openssh,aflnet,1,b_abs,2717
1620153266,openssh,aflnet,1,l_per,23.9
1620153266,openssh,aflnet,1,l_abs,5002
1620153266,openssh,aflnet,1,b_per,15.9
1620153266,openssh,aflnet,1,b_abs,2719
1620153282,openssh,aflnet,1,l_per,23.9
1620153282,openssh,aflnet,1,l_abs,5002
1620153282,openssh,aflnet,1,b_per,15.9
1620153282,openssh,aflnet,1,b_abs,2720
1620153298,openssh,aflnet,1,l_per,23.9
1620153298,openssh,aflnet,1,l_abs,5002
1620153298,openssh,aflnet,1,b_per,15.9
1620153298,openssh,aflnet,1,b_abs,2720
1620153306,openssh,aflnet,1,l_per,24.0
1620153306,openssh,aflnet,1,l_abs,5023
1620153306,openssh,aflnet,1,b_per,16.0
1620153306,openssh,aflnet,1,b_abs,2735
1620153315,openssh,aflnet,1,l_per,24.0
1620153315,openssh,aflnet,1,l_abs,5023
1620153315,openssh,aflnet,1,b_per,16.0
1620153315,openssh,aflnet,1,b_abs,2735
1620153325,openssh,aflnet,1,l_per,24.1
1620153325,openssh,aflnet,1,l_abs,5033
1620153325,openssh,aflnet,1,b_per,16.1
1620153325,openssh,aflnet,1,b_abs,2747
1620153331,openssh,aflnet,1,l_per,24.4
1620153331,openssh,aflnet,1,l_abs,5109
1620153331,openssh,aflnet,1,b_per,16.2
1620153331,openssh,aflnet,1,b_abs,2772
1620153345,openssh,aflnet,1,l_per,24.5
1620153345,openssh,aflnet,1,l_abs,5113
1620153345,openssh,aflnet,1,b_per,16.3
1620153345,openssh,aflnet,1,b_abs,2782
1620153358,openssh,aflnet,1,l_per,25.0
1620153358,openssh,aflnet,1,l_abs,5219
1620153358,openssh,aflnet,1,b_per,16.4
1620153358,openssh,aflnet,1,b_abs,2803
1620153362,openssh,aflnet,1,l_per,25.0
1620153362,openssh,aflnet,1,l_abs,5237
1620153362,openssh,aflnet,1,b_per,16.5
1620153362,openssh,aflnet,1,b_abs,2816
1620153377,openssh,aflnet,1,l_per,25.1
1620153377,openssh,aflnet,1,l_abs,5245
1620153377,openssh,aflnet,1,b_per,16.5
1620153377,openssh,aflnet,1,b_abs,2820
1620153385,openssh,aflnet,1,l_per,27.8
1620153385,openssh,aflnet,1,l_abs,5810
1620153385,openssh,aflnet,1,b_per,17.5
1620153385,openssh,aflnet,1,b_abs,2999
1620153396,openssh,aflnet,1,l_per,28.5
1620153396,openssh,aflnet,1,l_abs,5963
1620153396,openssh,aflnet,1,b_per,17.8
1620153396,openssh,aflnet,1,b_abs,3040
1620153403,openssh,aflnet,1,l_per,28.5
1620153403,openssh,aflnet,1,l_abs,5963
1620153403,openssh,aflnet,1,b_per,17.8
1620153403,openssh,aflnet,1,b_abs,3041
1620153421,openssh,aflnet,1,l_per,28.5
1620153421,openssh,aflnet,1,l_abs,5967
1620153421,openssh,aflnet,1,b_per,17.8
1620153421,openssh,aflnet,1,b_abs,3048
1620153429,openssh,aflnet,1,l_per,28.6
1620153429,openssh,aflnet,1,l_abs,5980
1620153429,openssh,aflnet,1,b_per,17.9
1620153429,openssh,aflnet,1,b_abs,3056
1620153436,openssh,aflnet,1,l_per,28.6
1620153436,openssh,aflnet,1,l_abs,5983
1620153436,openssh,aflnet,1,b_per,17.9
1620153436,openssh,aflnet,1,b_abs,3061
